feedback,issue,distance,53/150,,1suggestion,,19/50,,2suggestion,,37/100,,,Matching Bug Report,Firefox,Matching Bug Report,Nextcloud,Matching Bug Report,Signal,Matching Bug Report,VLC,,,,Matching?Bug?Report,ALL
Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,Starting web-apps via shortcut without a profile; downloads .webapp and launches empty app,[0.6858367],0,,"Not the best browser, struggles to download, display video properly in player, ect unlike chrome does. Only reason I'll keep using it is adblock support","With ""don't keep activities"", possible to put the browser in a bad state where no pages load",0,,"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!",Opening large image kills the browser and home screen,0,,,FALSE,0.6858367,FALSE,0.7944671,TRUE,0.66778004,FALSE,0.5276546,,,,TRUE,0.775001
Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,Installed Application before auth and is now not Listed in apps menu,[0.66950405],0,,Hurry up and wait. This app is incredibly slow. Photos and videos take forever to load and when they do load the quality is very poor.,"Don't display low-res screenshots on slow devices, because they stay there too long",1,,"Firefox great as always in personal control, but horrible slow in the android departure.",Firefox on Android Crashes constantly,0,,,FALSE,0.66950405,TRUE,0.7938875,FALSE,0.6673672,FALSE,0.52051044,,,,TRUE,0.648491
"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",Firefox for Android crashes shortly after starting it on Impression I10,[0.62222266],0,,"Good app when it works, but it constantly crashes when starting up.",Crashes when installing apps,1,,"Firefox great as always in personal control, but horrible slow in the android departure.",Firefox for Android frequently crashes with no crash dialog,0,,,FALSE,0.62222266,FALSE,0.57426405,TRUE,0.73916245,FALSE,0.6047578,,,,TRUE,0.589792
"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.","Android: uninstalling firefox will delete all downloaded files, very annoying",[0.58143806],0,,"This browser is great, and the sync feature is also useful. My only problem here is: I noticed that this browser takes a lot of battery (9.35% of my power consumption for the last 12 hours - and I only used the app for half an hour)","Zooming ""too close"" on repeated occasions leads to zoom issues until browser is restarted",0,,"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","Maximal scrolling speed is too low, making the browser feel slow",0,,,FALSE,0.58143806,FALSE,0.5406118,FALSE,0.72581697,FALSE,0.5722984,,,,TRUE,0.576571
"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.","Opening new window from link inside frame, then tapping Android back button results in minimizing Fennec",[0.5693201],0,,Good browser with great features. The scrolling speed is slow compared to chrome while also dropping fps count.but i use Firefox it Will be great if u cold fix these issues because this will make it perfect,"Maximal scrolling speed is too low, making the browser feel slow",1,,"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","Sync occasionally spins the CPU, making interaction very slow and the phone hot",0,,,FALSE,0.5693201,FALSE,0.52312505,TRUE,0.720355,FALSE,0.54916096,,,,TRUE,0.754266
The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,Tabs from last time can get lost if Firefox is mistakenly opened/killed,[0.754266],1,,"I use only Firefox. Some bugs: sometimes I press the go button to browse to a website after typing a url and nothing happens until I close that tab and try with a new one. Today, long pressing links only seems to highlight text(can't open in a new tab). The tab interface should have a faster way to switch. Sometimes android warns me that Firefox is draining my battery.",Firefox crashes when trying to open a link in browser in Tfe RSS,0,,"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.",I am able to type words in Firefox search bar but unable to type anything in the websites,0,,,TRUE,0.754266,FALSE,0.6823239,FALSE,0.6690277,FALSE,0.54520684,,,,TRUE,0.743511
The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,Firefox Accounts (Sign-Up/Sign-In) - Age year not remembered if switching from Sign-Up/Sign-In,[0.7510133],0,,"Been using Firefox since version 3 on windows and was happy to see they made the Android version as I rather stick to a browser I already know and trust. Best thing about this is being able to sync my tabs between my PC and smartphone and it's as fast on my phone even with multiple tabs open and does not drain my battery. Disappointed that no add-ons I installed works so far, but maybe that will improve in the future.","When I add a site to my homescreen it's ok for a few days then the symbol become the firefox symbol and I end up with a sea of Firefox symbols, why is this happening? It happen on my s3 and now my s5. Until this bug is fixed It's not worth using Firefox.",0,,"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.",On Facebook in comments YOU CAN NOT EDIT THE CURSER WILL NOT click and blink at the word being edited to fix a messed up typo .I thought by now Firefox would have fived the problem its really anoring you can't fix typos cause FIREFOX BUG .,0,,,FALSE,0.7510133,FALSE,0.6799787,FALSE,0.6368425,FALSE,0.50738525,,,,TRUE,0.654247
The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,Tabs are not restored correctly when restarting Firefox after swiping it out of recents,[0.7435113],1,,"Good for privacy as it allows privacy minded extensions but the UI is absolutely terrible from a poweruser's perspective. Simple gestures like drag to reload is missing. No way to copy only the text portion of a link. No way to open a new tab from the detailed context menu when inside the tabs view (can only launch new tab with the + icon), and more.","Button to open tabs has no proper accessibility label, TalkBack uust says ""Image button""",0,,Good browser but it is not possible tochange default download folder to external sd. Too bad.,Sync does not work If the browser is stored on the external SD card,0,,,TRUE,0.7435113,TRUE,0.66043186,FALSE,0.63178235,FALSE,0.50525254,,,,TRUE,0.676742
"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!","With ""don't keep activities"", possible to put the browser in a bad state where no pages load",[0.6624286],0,,"almost all of addons are not available for installation? what the hell happened,I keep getting connection failed error.i can't even install adguard extension...",Cannot install old extension from addons site,1,,Good browser but it is not possible tochange default download folder to external sd. Too bad.,Slow loading script and no response when trying to load Zimbra desktop web interface in Nightly on Galaxy Tab,0,,,FALSE,0.6624286,FALSE,0.66605544,FALSE,0.7211496,FALSE,0.646011,,,,TRUE,0.777172
"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!",Opening large image kills the browser and home screen,[0.656315],0,,I don't waste time with systems that don't work. Avoid the headaches don't waste time on this browser. Firefox not accepting my signin password so I cannot setup firefox as my browser. Firefox makes it almost impossible to get help.,"Firefox does not load manually entered webpages after device restart or app install if ""Do not keep activities"" is enabled",0,,Browser doesn't work on home Depot website.,"[TABLET] ""Request desktop site"" does not work on youtube.com",0,,,FALSE,0.656315,FALSE,0.66097826,FALSE,0.7113784,FALSE,0.598718,,,,TRUE,0.776795
"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!",Setting a homepage makes Nightly unresponsive,[0.65424657],1,,Not optimised for desktop modes like Samsung DeX. Scaling is terrible and there is no right-click functionality with a mouse. Will continue to use Samsung Internet instead.,placing shortcut on homescreen while viewing site as desktop did not work,0,,Browser doesn't work on home Depot website.,Visited links doesn't work at google.com,0,,,TRUE,0.65424657,FALSE,0.65933156,TRUE,0.70917374,FALSE,0.58059335,,,,TRUE,0.788134
"Firefox great as always in personal control, but horrible slow in the android departure.",Firefox on Android Crashes constantly,[0.72843456],0,,"Browser is so slow at loading pages and crashes the majority of the time I use it. Most of the time I get so frustrated with it that I go and use chrome because I dont have any issuess when I use chrome and I hate chrome and would prefer not to use it. I like the desktop version of firefox, but this mobile version is garbage. I never knew how bad a browser could be until I used this one. Almost every time I try to go to a new page it either takes 5 minutes to load or doesnt load or crashes.","Maximal scrolling speed is too low, making the browser feel slow",1,,"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work",This URL is not valid and cannot be loaded dialog appears if the browser has several pages in memory,0,,,FALSE,0.72843456,FALSE,0.6985782,FALSE,0.69673204,FALSE,0.43684217,,,,TRUE,0.787697
"Firefox great as always in personal control, but horrible slow in the android departure.",Firefox for Android frequently crashes with no crash dialog,[0.6970785],0,,"The browser always crash for no reason, this version is whacked I swear.",Browser crashes continuously on restart after a flash crash,1,,"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work",redirect pages do not update the url bar with the correct webpage,1,,,FALSE,0.6970785,FALSE,0.6545818,FALSE,0.69177693,FALSE,0.4352433,,,,TRUE,0.726954
"Firefox great as always in personal control, but horrible slow in the android departure.",Firefox Nightly 61 keeps crashing on Android,[0.6835136],0,,1. The menu of the selected text does not show all options which the google chrome does. 2. the Pul-down to refresh doesn't work.,Custom Tabs: The menu is not displayed in the right position when rotating the device,0,,Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,"Since last update wont load proper page. Crrashes constantly,  runs bad scripts. Very frustrating.",1,,,FALSE,0.6835136,FALSE,0.6501471,FALSE,0.6901734,FALSE,0.43152007,,,,TRUE,0.71958
"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","Maximal scrolling speed is too low, making the browser feel slow",[0.74600804],0,,"Slow and with updates getting all the time more complicated to use. Still, is my go to browser, my only browser which I use when I need to trust the browser, f.ex shopping etc.",Custom Tabs load the page slow if the browser isn't in background,1,,Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,Loading web pages doesn't work,1,,,FALSE,0.74600804,FALSE,0.71836615,FALSE,0.65504616,FALSE,0.71259093,,,,TRUE,0.717468
"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","Sync occasionally spins the CPU, making interaction very slow and the phone hot",[0.74339247],0,,"everytime I search directly in the address bar, either I need to do it again cause the browser doesn't detect the search, or I have to wait until the page is loaded to see if the web page was even doing anything in the first place. but otherwise, Mozilla is fantastic. Great mission. Good UI",odd experience when doing Google search from within browser,0,,"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!",Removing an app from the recent apps launched list and re-running the app causes the app to lose internet connection,0,,,FALSE,0.74339247,FALSE,0.71159863,FALSE,0.6530584,FALSE,0.6847395,,,,TRUE,0.75452
"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","Using find in page slows down device, forcing system restart.",[0.73744535],0,,Videos or songs don't stop playing after you shut down the app. Have to force stop or turn volume off to stop.,"Video plays only sound, can't pause or stop",0,,"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!",Everytime I open a link from my email it seem like it doesn't want to load the website,0,,,FALSE,0.73744535,FALSE,0.709771,FALSE,0.639898,FALSE,0.67936766,,,,TRUE,0.74239
"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.",I am able to type words in Firefox search bar but unable to type anything in the websites,[0.75477314],0,,"I'm trying to cast to my roku, but there is no casting tab when I try to browse movies online.",Can't fling TED video to roku,0,,"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone","After viewing some pages, switching tabs or navigating back to prior pages do not display at all in content view",0,,,FALSE,0.75477314,FALSE,0.6945006,FALSE,0.68929076,TRUE,0.6069454,,,,TRUE,0.738662
"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.",On Facebook in comments YOU CAN NOT EDIT THE CURSER WILL NOT click and blink at the word being edited to fix a messed up typo .I thought by now Firefox would have fived the problem its really anoring you can't fix typos cause FIREFOX BUG .,[0.7215248],0,,"Not keen on firefox as a obile device browser. I was unable to download any pdf document, which as a uni student is very frustrating.",Bad experience with no Firefox browser installed,0,,"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone","Quit function is not working. App closes, but tabs still there when you reopen app.",0,,,FALSE,0.7215248,TRUE,0.6631423,FALSE,0.6610909,FALSE,0.6066568,,,,TRUE,0.737671
"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.","Firefox is not responding at adding a new search engine - Crash in java.lang.IndexOutOfBoundsException: Invalid index 0, size is 0 at java.util.ArrayList.throwIndexOutOfBoundsException(ArrayList.java)",[0.69693935],0,,was once best browser for android... now it got worse than before.... the extensions are not available for android ... when I hit on add-ons it shows me windows as platform...most extensions don't work... and flash support has been removed... after latest update it started to lag and crash on s9 plus android 9.0... Firefox was best for android...few years back.... did you have to mess it up like that?,Firefox for Android for Intel crashes frequently when slowly scrolling,1,,"Not the best browser, struggles to download, display video properly in player, ect unlike chrome does. Only reason I'll keep using it is adblock support","With ""don't keep activities"", possible to put the browser in a bad state where no pages load",0,,,FALSE,0.69693935,FALSE,0.6564547,FALSE,0.65826166,FALSE,0.58237064,,,,TRUE,0.724536
Good browser but it is not possible tochange default download folder to external sd. Too bad.,Sync does not work If the browser is stored on the external SD card,[0.70480096],0,,"It's the slowest app on the planet. I've used it for years, for its ability to copy a file into a pdf. But the initial speed was always slow. I have it paired with my weather app. now and it takes a whole minute to 2 minutes to work the radar function.",Typing in Google search field is hideously slow,1,,"Not the best browser, struggles to download, display video properly in player, ect unlike chrome does. Only reason I'll keep using it is adblock support",Main Link of Browser is not working properly,0,,,FALSE,0.70480096,FALSE,0.6533422,TRUE,0.6613197,FALSE,0.6014979,,,,TRUE,0.661434
Good browser but it is not possible tochange default download folder to external sd. Too bad.,"""Slow loading script"" and no response when trying to load Zimbra desktop web interface in Nightly on Galaxy Tab",[0.6936256],0,,Since the update the app crashes non stop and its so bad it messes up the crash report and the rest of my phone. It is straight trash someone should be fired for coding this garbage.,"Since last update wont load proper page. Crrashes constantly,  runs bad scripts. Very frustrating.",1,,Hurry up and wait. This app is incredibly slow. Photos and videos take forever to load and when they do load the quality is very poor.,"Don't display low-res screenshots on slow devices, because they stay there too long",1,,,FALSE,0.6936256,FALSE,0.6468244,FALSE,0.6584307,FALSE,0.5750211,,,,TRUE,0.734808
Good browser but it is not possible tochange default download folder to external sd. Too bad.,There is no option to change Download folder location,[0.6767417],1,,crashes nearly every time I use it for an extended period.,Crashes continuously,1,,Hurry up and wait. This app is incredibly slow. Photos and videos take forever to load and when they do load the quality is very poor.,Slow page loading on some URL,1,,,TRUE,0.6767417,FALSE,0.63353765,FALSE,0.65091646,FALSE,0.565683,,,,TRUE,0.78242
