feedback,issue,distance,50/150,,,,21/50,,feedback,issue,distance,51/100
"Everything all right but two small things - it is very uncomfortable for me that there is no delete option inside message, and I can't share multiple photos at once.",Mark/Select picture attachment at conversation - problems.,[0.8602341],0,,"Don't use unless you want to lose your messages. Terrible backup restoration support. The backup file has to be in a particular directory on the first launch, or it doesn't even show the option for restoring a backup.",Again Problems with the Backup feature,1,,"Everything all right but two small things - it is very uncomfortable for me that there is no delete option inside message, and I can't share multiple photos at once.",Mark/Select picture attachment at conversation - problems.,[0.8602341],0
"Everything all right but two small things - it is very uncomfortable for me that there is no delete option inside message, and I can't share multiple photos at once.",Can't share multiple photos from the Google Photos app,[0.856784],1,6,"Keep seeing reviews that the update messed up the app. I didnt have the app before the update so cant comment on that. The app seems to be working fine for me. I like the interface and settings available. Calls routed through their servers arent super clear though, but you can choose to use your provider.",Aesthetic and UX improvements on first run (pre-filled phone number; registering aborts on bad connection),1,,"Everything all right but two small things - it is very uncomfortable for me that there is no delete option inside message, and I can't share multiple photos at once.",Can't share multiple photos from the Google Photos app,[0.856784],1
"It never saves my groups or the group name, making it very irritating to text my family. You also can't send more than one photo. -Moto G7, Android 9.",Can't rename MMS group chat,[0.8750959],0,,"My signal app keeps crashing when I try to open it. I contacted support twice over the past 2 weeks, but haven't received any response. I get the impression that signal deleted my data somehow. Nice that privacy is the highest priority, but it's also nice to still have your data.",Crashes when opening Signal or switching conversations (SIGABRT),1,,"It never saves my groups or the group name, making it very irritating to text my family. You also can't send more than one photo. -Moto G7, Android 9.",Can't rename MMS group chat,[0.8750959],0
"It never saves my groups or the group name, making it very irritating to text my family. You also can't send more than one photo. -Moto G7, Android 9.",Can't send multiple sms,[0.8709376],0,,"Excellent application that can bring encryption and privacy to the masses. I would love to see integrated: OTR (OFF THE RECORD) messaging capabilities to add the ultimate privacy experience. Small issue: messages sent using android API don't show up in history but work. Makes conversations had after sending a message using voice commands a bit confusing. But because they work i didn't penalize you, unless it's not fixed.. then i will adjust. 😉",Signal Messenger for Android,0,,"It never saves my groups or the group name, making it very irritating to text my family. You also can't send more than one photo. -Moto G7, Android 9.",Can't send multiple sms,[0.8709376],0
"It never saves my groups or the group name, making it very irritating to text my family. You also can't send more than one photo. -Moto G7, Android 9.",Unable to rename MMS or SMS group name,[0.8677639],0,7,Messages tend to send out of order in group chats. The recovery key is hit or miss. I lost a lot of conversations after doing a restore. Definitely used to be better.,Backup/restore doesn't properly import group chats,1,,"It never saves my groups or the group name, making it very irritating to text my family. You also can't send more than one photo. -Moto G7, Android 9.",Unable to rename MMS or SMS group name,[0.8677639],0
"good for privacy but a bunch of glitches. on rare occasion, it will suddenly send me a few hours' worth of texts - and not in chronological order either. i believe it's because Signal spontaneously relies on my phone's data being switched on to receive messages, despite that the senders are not fellow Signal users nor sending me encrypted messages. also it occasionally shuts down because of some error, making me lose whatever i was composing.",Sometimes problems sending textmessages,[0.86454093],1,,i message my boyfriend with this exclusively instead of text. love it. calls are spotty but they sound terrific when it works. not a huge fan of the video chat since it doesn't rotate to landscape and you cant move your selfie-cam window,when using video call only working rear facing camera ...not working front camera although both camera working in whatsapp and FB messenger..,0,,"good for privacy but a bunch of glitches. on rare occasion, it will suddenly send me a few hours' worth of texts - and not in chronological order either. i believe it's because Signal spontaneously relies on my phone's data being switched on to receive messages, despite that the senders are not fellow Signal users nor sending me encrypted messages. also it occasionally shuts down because of some error, making me lose whatever i was composing.",Sometimes problems sending textmessages,[0.86454093],1
"good for privacy but a bunch of glitches. on rare occasion, it will suddenly send me a few hours' worth of texts - and not in chronological order either. i believe it's because Signal spontaneously relies on my phone's data being switched on to receive messages, despite that the senders are not fellow Signal users nor sending me encrypted messages. also it occasionally shuts down because of some error, making me lose whatever i was composing.","Able to receive messages from contact securely, but cannot send securely.",[0.8634703],0,,Connection issues. Keep getting kicked off on call. Callers soind robotic most of the time. Not very reliable. Text messaging works well though.,"Can't call or recieve call, always gets a misscall",0,,"good for privacy but a bunch of glitches. on rare occasion, it will suddenly send me a few hours' worth of texts - and not in chronological order either. i believe it's because Signal spontaneously relies on my phone's data being switched on to receive messages, despite that the senders are not fellow Signal users nor sending me encrypted messages. also it occasionally shuts down because of some error, making me lose whatever i was composing.","Able to receive messages from contact securely, but cannot send securely.",[0.8634703],0
"good for privacy but a bunch of glitches. on rare occasion, it will suddenly send me a few hours' worth of texts - and not in chronological order either. i believe it's because Signal spontaneously relies on my phone's data being switched on to receive messages, despite that the senders are not fellow Signal users nor sending me encrypted messages. also it occasionally shuts down because of some error, making me lose whatever i was composing.",Can receive but not send secured texts,[0.85897976],0,8,"So here's a really basic issue: playback pauses as soon as the screen is turned off, regardless of whether this is due to locking the screen. My phone turns off the screen if I hold it next to my cheek. This makes listening to audio-messages in private without headphones nigh-impossible.",Unable to manage audio message volume when you put your smartphone close to your ear,0,,"good for privacy but a bunch of glitches. on rare occasion, it will suddenly send me a few hours' worth of texts - and not in chronological order either. i believe it's because Signal spontaneously relies on my phone's data being switched on to receive messages, despite that the senders are not fellow Signal users nor sending me encrypted messages. also it occasionally shuts down because of some error, making me lose whatever i was composing.",Can receive but not send secured texts,[0.85897976],0
"General a good secure app, voice calls sometimes glitches.",Secure call problem,[0.87110925],1,,"Photos don't come out right, even when sent/recieved from non-signal users. Will bump this back up to 5 stars when fixed :)",Pictures taken by Camera not always displayed for sending,0,,"General a good secure app, voice calls sometimes glitches.",Secure call problem,[0.87110925],1
"General a good secure app, voice calls sometimes glitches.",Tap & Hold for Insecure Calls,[0.8604665],0,,what is going on with group chats... I don't seem to be getting them consistently. some I get some I don't. I can't get group chats if I don't start them.... what's up?,Problemes with group chats,1,,"General a good secure app, voice calls sometimes glitches.",Tap & Hold for Insecure Calls,[0.8604665],0
"General a good secure app, voice calls sometimes glitches.",Secure call on Huawei Nexus 6P uses rear mic,[0.85068154],0,9,Was fine for plain text messages but when I received a vCard for a contact it froze my Samsung Note 8. Had to switch to a different app that could handle MMS.,Sometimes problems sending textmessages,0,,"General a good secure app, voice calls sometimes glitches.",Secure call on Huawei Nexus 6P uses rear mic,[0.85068154],0
"it is a good app. i am mostly satisfied with it but sometimes, the notifications would not work; so, I would not know that someone messaged me until I open the app. it might have been fixed because it hasn't been happening in the last month or so. Would recommended.",Sometimes I don't receive Signal Messages until I open the app,[0.8552139],1,,Call gets dropped frequently. Most of the time if someone calls me I am only notified after they hang up as a missed call. Same happens if I call them too. They don't get the call and just get a missed call notification.,Signal crashes sometimes while calling and the person doesn't answer,0,,"it is a good app. i am mostly satisfied with it but sometimes, the notifications would not work; so, I would not know that someone messaged me until I open the app. it might have been fixed because it hasn't been happening in the last month or so. Would recommended.",Sometimes I don't receive Signal Messages until I open the app,[0.8552139],1
"it is a good app. i am mostly satisfied with it but sometimes, the notifications would not work; so, I would not know that someone messaged me until I open the app. it might have been fixed because it hasn't been happening in the last month or so. Would recommended.","""Mute notifications"" doesn't completely(?) mark new messages as read.",[0.852638],1,,"I received odd texts after installing this app. Will not use as a default, too scary.",Installation sent a random text,0,,"it is a good app. i am mostly satisfied with it but sometimes, the notifications would not work; so, I would not know that someone messaged me until I open the app. it might have been fixed because it hasn't been happening in the last month or so. Would recommended.","""Mute notifications"" doesn't completely(?) mark new messages as read.",[0.852638],1
"it is a good app. i am mostly satisfied with it but sometimes, the notifications would not work; so, I would not know that someone messaged me until I open the app. it might have been fixed because it hasn't been happening in the last month or so. Would recommended.",Messages don't come in immediately,[0.8388926],1,10,"Really like the app and have managed to get friends and family to move over to get away from the large FB owned message app BUT what's the problem with calls? My phone doesn't ring, it only shows missed calls. I've done everything to try and rectify this but nothing works. Do I really need to go back to the data thieves?",Can't call some of my friends securely,0,,"it is a good app. i am mostly satisfied with it but sometimes, the notifications would not work; so, I would not know that someone messaged me until I open the app. it might have been fixed because it hasn't been happening in the last month or so. Would recommended.",Messages don't come in immediately,[0.8388926],1
Opened up my SMSes today and was locked out from them by Signal. It is insisting I create a pin so it can upload data to their cloud servers. I feel like they have violated my trust.,Cannot establish a secure SMS session anymore,[0.8608394],1,,Messages sent from none signal subscribers (like my bank) seem to take 10 to 15 minutes to arrive. Sometimes even longer.,Messages don't come in immediately,0,,Opened up my SMSes today and was locked out from them by Signal. It is insisting I create a pin so it can upload data to their cloud servers. I feel like they have violated my trust.,Cannot establish a secure SMS session anymore,[0.8608394],1
Opened up my SMSes today and was locked out from them by Signal. It is insisting I create a pin so it can upload data to their cloud servers. I feel like they have violated my trust.,The new TextSecure is undermining my Privacy,[0.85802484],1,,"I enjoy the app but I never get a notification when I receive a message, even though I adjusted my settings.",Sometimes I don't receive Signal Messages until I open the app,0,,Opened up my SMSes today and was locked out from them by Signal. It is insisting I create a pin so it can upload data to their cloud servers. I feel like they have violated my trust.,The new TextSecure is undermining my Privacy,[0.85802484],1
Opened up my SMSes today and was locked out from them by Signal. It is insisting I create a pin so it can upload data to their cloud servers. I feel like they have violated my trust.,Can't verify - Hangouts steals the SMS message and Signal can't see it,[0.8579769],0,11,"Notifications often do not clear after reading messages. Chat itself works well but this bug is quite annoying. Update: months later this bug is actually worse, notifications still often remain after hours.","""Mute notifications"" doesn't completely(?) mark new messages as read.",0,,Opened up my SMSes today and was locked out from them by Signal. It is insisting I create a pin so it can upload data to their cloud servers. I feel like they have violated my trust.,Can't verify - Hangouts steals the SMS message and Signal can't see it,[0.8579769],0
Is the notification dot supposed to work? is annoying it doesnt show when there are unread messages. In general I feel Signal is worse at highlighting unread threads. I am also lacking a way to Mark as Unread for later.,"""Mute notifications"" doesn't completely(?) mark new messages as read.",[0.8987514],1,,Forced to use a PIN number. Which I don't want to use. Deleted the app because it froze and when I reinstalled it all my messages were gone. Lost a ton of information. Garbage.,Signal deleted all my texts =(,0,,Is the notification dot supposed to work? is annoying it doesnt show when there are unread messages. In general I feel Signal is worse at highlighting unread threads. I am also lacking a way to Mark as Unread for later.,"""Mute notifications"" doesn't completely(?) mark new messages as read.",[0.8987514],1
Is the notification dot supposed to work? is annoying it doesnt show when there are unread messages. In general I feel Signal is worse at highlighting unread threads. I am also lacking a way to Mark as Unread for later.,Missing option to notify of unread status of thread not on each incoming message,[0.89356077],1,,Earlier this app used to run very smoothly but from past few days as soon as I'm opening this app it immediately colses by itself. What is wrong has happened. Just fix it,Not getting notification in real time unless I open the app,0,,Is the notification dot supposed to work? is annoying it doesnt show when there are unread messages. In general I feel Signal is worse at highlighting unread threads. I am also lacking a way to Mark as Unread for later.,Missing option to notify of unread status of thread not on each incoming message,[0.89356077],1
Is the notification dot supposed to work? is annoying it doesnt show when there are unread messages. In general I feel Signal is worse at highlighting unread threads. I am also lacking a way to Mark as Unread for later.,"""Mark as read"" feature from notification channel not working after reply.",[0.88331056],0,12,So confusing! Most messages are significantly delayed and it's hard to tell who they're from and how to respond to the right person.,messages seem to take too long.,0,,Is the notification dot supposed to work? is annoying it doesnt show when there are unread messages. In general I feel Signal is worse at highlighting unread threads. I am also lacking a way to Mark as Unread for later.,"""Mark as read"" feature from notification channel not working after reply.",[0.88331056],0
"Don't use unless you want to lose your messages. Terrible backup restoration support. The backup file has to be in a particular directory on the first launch, or it doesn't even show the option for restoring a backup.",Again Problems with the Backup feature,[0.8810724],1,,"App closes every time I try to read a message or send one. Have cleared cache, all data and restarted it. Can't add numbers or send messages. Very strange.",app crash every time I try to compose a message,1,,"Don't use unless you want to lose your messages. Terrible backup restoration support. The backup file has to be in a particular directory on the first launch, or it doesn't even show the option for restoring a backup.",Again Problems with the Backup feature,[0.8810724],1
"Don't use unless you want to lose your messages. Terrible backup restoration support. The backup file has to be in a particular directory on the first launch, or it doesn't even show the option for restoring a backup.",Unable to restore backups on Signal Beta,[0.8572284],1,,Never fails even when no regular phone signal. Update to my opinion of this app. Has become very user unfriendly. Won't let you use the app unless you meet their demands every 2 seconds while you are trying to use it. I am uninstalling it.,App permanently stops sending & receiving messages or calls,0,,"Don't use unless you want to lose your messages. Terrible backup restoration support. The backup file has to be in a particular directory on the first launch, or it doesn't even show the option for restoring a backup.",Unable to restore backups on Signal Beta,[0.8572284],1
"Don't use unless you want to lose your messages. Terrible backup restoration support. The backup file has to be in a particular directory on the first launch, or it doesn't even show the option for restoring a backup.",Unable to create a conversation backup,[0.855133],1,13,"Update, after one year use. No favorite or star tool for needed messages.Forward them to the notes to self. I had issues with uploading media, documents, photos or videos. It doesn't allow uploading multiple ones, and sometimes the app freezes on uploading and holds on all following messages. For unknowns reasons, the calling service does not connect. I have these issues in multiple countries, including the US, and multiple devices, Android or iOS.",Sends/Receives messages but calls not going through?,0,,"Don't use unless you want to lose your messages. Terrible backup restoration support. The backup file has to be in a particular directory on the first launch, or it doesn't even show the option for restoring a backup.",Unable to create a conversation backup,[0.855133],1
"Keep seeing reviews that the update messed up the app. I didnt have the app before the update so cant comment on that. The app seems to be working fine for me. I like the interface and settings available. Calls routed through their servers arent super clear though, but you can choose to use your provider.",Aesthetic and UX improvements on first run (pre-filled phone number; registering aborts on bad connection),[0.84305143],1,,"Overall, a fantastic app that I think maaaany more people should use. I have some issues though. Contacts only sync with your phone when you have a cellular signal. There isn't a good way to see all of the people in group chats. I get they are shooting for minimalism but it looks a little plain. I can't put my finger on it, but it is just missing something. Once again, other than that: I have only had good experiences with this app.",Not all contacts of a group chat receive same messages,0,,"Keep seeing reviews that the update messed up the app. I didnt have the app before the update so cant comment on that. The app seems to be working fine for me. I like the interface and settings available. Calls routed through their servers arent super clear though, but you can choose to use your provider.",Aesthetic and UX improvements on first run (pre-filled phone number; registering aborts on bad connection),[0.84305143],1
"Keep seeing reviews that the update messed up the app. I didnt have the app before the update so cant comment on that. The app seems to be working fine for me. I like the interface and settings available. Calls routed through their servers arent super clear though, but you can choose to use your provider.","Loads of issues with new update - not sending messages, not clearing unread notification, and more",[0.84228706],0,,"Great app overall! I would have given 5 stars, however, there can be issues with texting and calling. Sometimes it doesnt get a signal or something happens to where i get like 5 text msgs all at once, that were suppose to be sent periodically witnin the last 30min. When I make a phone call, most of the time evertrhing is fine but sometimes ""Signal"" doesn't connect properly, or at all and i have to give up trying to use it.Not sure exactly what happens there but it does not connect sometimes.",Sometimes problems sending textmessages,1,,"Keep seeing reviews that the update messed up the app. I didnt have the app before the update so cant comment on that. The app seems to be working fine for me. I like the interface and settings available. Calls routed through their servers arent super clear though, but you can choose to use your provider.","Loads of issues with new update - not sending messages, not clearing unread notification, and more",[0.84228706],0
"Keep seeing reviews that the update messed up the app. I didnt have the app before the update so cant comment on that. The app seems to be working fine for me. I like the interface and settings available. Calls routed through their servers arent super clear though, but you can choose to use your provider.",Issues with MMS after MMS was working correctly,[0.8382187],0,14,It is very worst application.it is frequently hanged. Messages are Updating very delayed.. sometimes messages are not Updating.We can't delete message.also we cant delete Messages from group.also no any group admin..any one can add any one to group.and also no any admin and ee cant remove any one from group.disabling feature is alos very bad.we cant forword ine message in different groups or person.overall its very bad application.please improve features as said above immediately.,Messages in a particular groups is getting delayed in delivery,1,,"Keep seeing reviews that the update messed up the app. I didnt have the app before the update so cant comment on that. The app seems to be working fine for me. I like the interface and settings available. Calls routed through their servers arent super clear though, but you can choose to use your provider.",Issues with MMS after MMS was working correctly,[0.8382187],0
"My signal app keeps crashing when I try to open it. I contacted support twice over the past 2 weeks, but haven't received any response. I get the impression that signal deleted my data somehow. Nice that privacy is the highest priority, but it's also nice to still have your data.",Crashes when opening Signal or switching conversations (SIGABRT),[0.8802906],1,,Messages aren't received in background anymore. Something broke in recent updates. Have to open app to get messages to come through. UPDATE: Seems the issue is resolved.,Messages not delivered until signal is opened since upgrade to Android 6.01,1,,"My signal app keeps crashing when I try to open it. I contacted support twice over the past 2 weeks, but haven't received any response. I get the impression that signal deleted my data somehow. Nice that privacy is the highest priority, but it's also nice to still have your data.",Crashes when opening Signal or switching conversations (SIGABRT),[0.8802906],1
"My signal app keeps crashing when I try to open it. I contacted support twice over the past 2 weeks, but haven't received any response. I get the impression that signal deleted my data somehow. Nice that privacy is the highest priority, but it's also nice to still have your data.",[Crash] Signal crash and makes the phone restart if locking the phone while Signal is on foreground,[0.87914133],1,,Works well but gives me 2 check marks immediately after sending my text. I know the receivers are not reading the texts so fast. Why 2 check marks?,Messages don't come in immediately,0,,"My signal app keeps crashing when I try to open it. I contacted support twice over the past 2 weeks, but haven't received any response. I get the impression that signal deleted my data somehow. Nice that privacy is the highest priority, but it's also nice to still have your data.",[Crash] Signal crash and makes the phone restart if locking the phone while Signal is on foreground,[0.87914133],1
"My signal app keeps crashing when I try to open it. I contacted support twice over the past 2 weeks, but haven't received any response. I get the impression that signal deleted my data somehow. Nice that privacy is the highest priority, but it's also nice to still have your data.",Crash (password request) OR call activity fails to stop OR call screen does not close after hanging up a call immediately,[0.8771528],1,15,"I used signal for my SMS messages, and now it crashes and I can't access my messages. Too bad if I had anything important I wanted to read! Removing this app from the store would improve the world more than its existence ever could.",[Issue] SMS messaging part in Signal slows down and becomes unusable,0,,"My signal app keeps crashing when I try to open it. I contacted support twice over the past 2 weeks, but haven't received any response. I get the impression that signal deleted my data somehow. Nice that privacy is the highest priority, but it's also nice to still have your data.",Crash (password request) OR call activity fails to stop OR call screen does not close after hanging up a call immediately,[0.8771528],1
"Excellent application that can bring encryption and privacy to the masses. I would love to see integrated: OTR (OFF THE RECORD) messaging capabilities to add the ultimate privacy experience. Small issue: messages sent using android API don't show up in history but work. Makes conversations had after sending a message using voice commands a bit confusing. But because they work i didn't penalize you, unless it's not fixed.. then i will adjust. 😉",Signal Messenger for Android,[0.8667567],0,,2 stars now since nothing is getting fixed. Occasionally I'm getting playback errors on voicenotes and videos. When I reset my phone the same clip or video starts to play. VERY INCONVENIENT. Also I'm missing calls and not getting notified unless I open the app. Then it'll show the messages and that I missed a call. So if i don't open my app I won't receive anything? THAT'S ridiculous.,poor voice messages quality,0,,"Excellent application that can bring encryption and privacy to the masses. I would love to see integrated: OTR (OFF THE RECORD) messaging capabilities to add the ultimate privacy experience. Small issue: messages sent using android API don't show up in history but work. Makes conversations had after sending a message using voice commands a bit confusing. But because they work i didn't penalize you, unless it's not fixed.. then i will adjust. 😉",Signal Messenger for Android,[0.8667567],0
"Excellent application that can bring encryption and privacy to the masses. I would love to see integrated: OTR (OFF THE RECORD) messaging capabilities to add the ultimate privacy experience. Small issue: messages sent using android API don't show up in history but work. Makes conversations had after sending a message using voice commands a bit confusing. But because they work i didn't penalize you, unless it's not fixed.. then i will adjust. 😉","Attachments - ""Quick Capture"" audio/video recording and playback  (Google's  ""Messenger"" Android app style)?",[0.86253166],0,,"Not very secure. After hanging up on a video call with my wife, we were still able to hear each other. We both could not find a way to hang up. Killing the app didn't work. I had to go to settings and force quit the Signal application.",Cannot Close Signal App,0,,"Excellent application that can bring encryption and privacy to the masses. I would love to see integrated: OTR (OFF THE RECORD) messaging capabilities to add the ultimate privacy experience. Small issue: messages sent using android API don't show up in history but work. Makes conversations had after sending a message using voice commands a bit confusing. But because they work i didn't penalize you, unless it's not fixed.. then i will adjust. 😉","Attachments - ""Quick Capture"" audio/video recording and playback  (Google's  ""Messenger"" Android app style)?",[0.86253166],0
"Excellent application that can bring encryption and privacy to the masses. I would love to see integrated: OTR (OFF THE RECORD) messaging capabilities to add the ultimate privacy experience. Small issue: messages sent using android API don't show up in history but work. Makes conversations had after sending a message using voice commands a bit confusing. But because they work i didn't penalize you, unless it's not fixed.. then i will adjust. 😉",Improve privacy of contact discovery,[0.8617762],0,16,"I set Signal as my default app when my factory default Samsung text messaging app began delaying incoming messages by hours or days, or not delivering them at all. Signal does everything Samsung did, exept for scheduling later delivery. Signal adds more privacy and ability to make free international calls and video. I would often schedule Samsung SMS messages for next morning or Monday delivery. If Signal implements Scheduled Messages, I can think of no disadvantage to using it by default.",Is setting Signal as default SMS app reliable?,0,,"Excellent application that can bring encryption and privacy to the masses. I would love to see integrated: OTR (OFF THE RECORD) messaging capabilities to add the ultimate privacy experience. Small issue: messages sent using android API don't show up in history but work. Makes conversations had after sending a message using voice commands a bit confusing. But because they work i didn't penalize you, unless it's not fixed.. then i will adjust. 😉",Improve privacy of contact discovery,[0.8617762],0
