feedback,issue,distance,,,,,,,4.13,,,,,1suggestio 14/50,,,feedback,issue,distance,25/100
"Not up to the great standard of the web app. Sync function needs a lot of improvement, when a folder is synced and I add a new file in the app, this file is not synced. I then have to manually download the file which removes the point of syncing in the first place. Also if I add a new doc, removing the extension .odt and naming it example.doc it saves as example.doc.odt meaning I cant make blank word files, I have to make one in the office app and share it to next cloud.",Not able to use multiple accounts. I log into a second account and it removes the first. I exit the app and go back in and it has me log back in.,0.8240074,0,0.4617,,"Everything works great until I back out of a folder. Then, when I try to open a new folder, the app just crashes on me. Running an LG G4.",App crashes every time I try to create a new folder,,,,,1,,1,,,App keep crashing when i try to make changes im auto upload. Hope there will be a quick update to fix it.,"Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.7650945,0
"Not up to the great standard of the web app. Sync function needs a lot of improvement, when a folder is synced and I add a new file in the app, this file is not synced. I then have to manually download the file which removes the point of syncing in the first place. Also if I add a new doc, removing the extension .odt and naming it example.doc it saves as example.doc.odt meaning I cant make blank word files, I have to make one in the office app and share it to next cloud.","Nexcloud Android ""Account"" disappears after reboot, when nextcloud app has been moved to sdcard, sdcard formatted as internal storage (Android 6.0)",0.78443,0,0.4009,,"Not up to the great standard of the web app. Sync function needs a lot of improvement, when a folder is synced and I add a new file in the app, this file is not synced. I then have to manually download the file which removes the point of syncing in the first place. Also if I add a new doc, removing the extension .odt and naming it example.doc it saves as example.doc.odt meaning I cant make blank word files, I have to make one in the office app and share it to next cloud.","Nexcloud Android ""Account"" disappears after reboot, when nextcloud app has been moved to sdcard, sdcard formatted as internal storage (Android 6.0)",,,,,0,,0,,,App keep crashing when i try to make changes im auto upload. Hope there will be a quick update to fix it.,3.0.0: app is crashing whenever I try and enter certain folders,0.76375234,0
"I love nextcloud. But unfortunately the app keeps crashing, when I try to setup a new account and try to enter a username.  Edit: It works with the token though. When i try to enter the username there it works. Edit: The Problem probably was the App Dashlane. Had form difficulties with other apps and after removing dashlabe it works great!!","Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.83672756,0,,,"App works only few hours, next - problems with login. Can't login, must reinstall app again, and again!馃槧",Not able to use multiple accounts. I log into a second account and it removes the first. I exit the app and go back in and it has me log back in.,,,,,0,,0,,,With the latest update to the app auto upload fails to work.,"Auto-Upload is not working, after update on version 3.12.1",0.7795353,1
"I love nextcloud. But unfortunately the app keeps crashing, when I try to setup a new account and try to enter a username.  Edit: It works with the token though. When i try to enter the username there it works. Edit: The Problem probably was the App Dashlane. Had form difficulties with other apps and after removing dashlabe it works great!!",Not able to use multiple accounts. I log into a second account and it removes the first. I exit the app and go back in and it has me log back in.,0.79886353,1,,,App keep crashing when i try to make changes im auto upload. Hope there will be a quick update to fix it.,3.0.0: app is crashing whenever I try and enter certain folders,,,,,1,,0,,,With the latest update to the app auto upload fails to work.,Auto-upload not working since the 2.0 update,0.7562874,1
"I love nextcloud. But unfortunately the app keeps crashing, when I try to setup a new account and try to enter a username.  Edit: It works with the token though. When i try to enter the username there it works. Edit: The Problem probably was the App Dashlane. Had form difficulties with other apps and after removing dashlabe it works great!!",3.0.0: app is crashing whenever I try and enter certain folders,0.73668045,0,,,With the latest update to the app auto upload fails to work.,Upgrading from old version (1.4.1) to newest on Play Store breaks the app completely.,,,,,0,,0,,,Absolutely destroys battery life. Phone always lasts all day well past midnight. Had it installed for 3 days and will now go from fully charged at 7am to dead at 5pm with hardly any phone use and no phone calls. Android reporting app responsible for 19% of battery drain. Can't keep it installed like that.,"Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.7693988,0
"App works only few hours, next - problems with login. Can't login, must reinstall app again, and again!馃槧",Not able to use multiple accounts. I log into a second account and it removes the first. I exit the app and go back in and it has me log back in.,0.7764097,0,,,Stopped working all of a sudden. Asking for pattern or fingerprint. Neither my real device pattern nor my fingerprints are working. Fresh install. Only added one account. Did not change any settings. All prior versions worked. Cannot send any debug data as the app does not let me start. Please fix this.,"Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",,,,,0,,1,,,Absolutely destroys battery life. Phone always lasts all day well past midnight. Had it installed for 3 days and will now go from fully charged at 7am to dead at 5pm with hardly any phone use and no phone calls. Android reporting app responsible for 19% of battery drain. Can't keep it installed like that.,Not able to use multiple accounts. I log into a second account and it removes the first. I exit the app and go back in and it has me log back in.,0.7165634,0
"App works only few hours, next - problems with login. Can't login, must reinstall app again, and again!馃槧","Can't use the app anymore after update to 3.3: ""Wrong login details""",0.7686165,1,,,"I just started using this app with a home server and I'm having the issue 
where the log in screen keeps popping up. Interestingly, it's not logging 
me out. I can hit back, quickly interact with my files, and then the login 
comes back up. If I enter the settings menu, the login menu won't come up, 
but as soon as I leave settings it starts happening again.","Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",,,,,0,,0,,,Stopped working all of a sudden. Asking for pattern or fingerprint. Neither my real device pattern nor my fingerprints are working. Fresh install. Only added one account. Did not change any settings. All prior versions worked. Cannot send any debug data as the app does not let me start. Please fix this.,"Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.790536,0
"App works only few hours, next - problems with login. Can't login, must reinstall app again, and again!馃槧","Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.7470202,0,,,"Not working on Pixel 4 XL stock Android 10, won't.let me log in. Provider is Google FI (not Fiber) with automatic VPN.......is that the issue?","Can't use the app anymore after update to 3.3: ""Wrong login details""",,,,,1,,1,,,Stopped working all of a sudden. Asking for pattern or fingerprint. Neither my real device pattern nor my fingerprints are working. Fresh install. Only added one account. Did not change any settings. All prior versions worked. Cannot send any debug data as the app does not let me start. Please fix this.,Not able to use multiple accounts. I log into a second account and it removes the first. I exit the app and go back in and it has me log back in.,0.76629794,0
App keep crashing when i try to make changes im auto upload. Hope there will be a quick update to fix it.,"Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.7650945,0,,,,,,,,,1,,0,,,"I just started using this app with a home server and I'm having the issue 
where the log in screen keeps popping up. Interestingly, it's not logging 
me out. I can hit back, quickly interact with my files, and then the login 
comes back up. If I enter the settings menu, the login menu won't come up, 
but as soon as I leave settings it starts happening again.",Not able to use multiple accounts. I log into a second account and it removes the first. I exit the app and go back in and it has me log back in.,0.8588404,1
App keep crashing when i try to make changes im auto upload. Hope there will be a quick update to fix it.,3.0.0: app is crashing whenever I try and enter certain folders,0.76375234,0,,,,,,,,,1,,0,,,"I just started using this app with a home server and I'm having the issue 
where the log in screen keeps popping up. Interestingly, it's not logging 
me out. I can hit back, quickly interact with my files, and then the login 
comes back up. If I enter the settings menu, the login menu won't come up, 
but as soon as I leave settings it starts happening again.","Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.7890247,0
App keep crashing when i try to make changes im auto upload. Hope there will be a quick update to fix it.,Not auto uploading and app (android) crashing every time i turn auto upload on or off a folder ,0.7346539,1,,,,,,,,,0,,1,,,"Not working on Pixel 4 XL stock Android 10, won't.let me log in. Provider is Google FI (not Fiber) with automatic VPN.......is that the issue?","Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.82723635,0
With the latest update to the app auto upload fails to work.,"Auto-Upload is not working, after update on version 3.12.1",0.7795353,1,0.6724,,,,,,,,0,,0,,,"Not working on Pixel 4 XL stock Android 10, won't.let me log in. Provider is Google FI (not Fiber) with automatic VPN.......is that the issue?",Crash on openning app on Android 7.1 (android.app.RemoteServiceException: can't deliver broadcast),0.7851863,0
With the latest update to the app auto upload fails to work.,Auto-upload not working since the 2.0 update,0.7562874,1,0.7028,,,,,,,,0,,1,,,App is draining all of my battery because it seems to loop all day long. Temporarily enabled auto upload over cellular. Now I disabled this option again but Nextcloud continues to upload data over cellular. Sometimes it's not even properly auto-uploading my pictures. Phone: Samsung S9 Worst app I ever used.,"Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.8200324,1
With the latest update to the app auto upload fails to work.,Upgrading from old version (1.4.1) to newest on Play Store breaks the app completely.,0.7553321,0,0.6397,,,,,,,,0,,0,,,App is draining all of my battery because it seems to loop all day long. Temporarily enabled auto upload over cellular. Now I disabled this option again but Nextcloud continues to upload data over cellular. Sometimes it's not even properly auto-uploading my pictures. Phone: Samsung S9 Worst app I ever used.,Not able to use multiple accounts. I log into a second account and it removes the first. I exit the app and go back in and it has me log back in.,0.77535105,0
Absolutely destroys battery life. Phone always lasts all day well past midnight. Had it installed for 3 days and will now go from fully charged at 7am to dead at 5pm with hardly any phone use and no phone calls. Android reporting app responsible for 19% of battery drain. Can't keep it installed like that.,"Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.7693988,0,,,,,,,,,0,,0,,,Why I CAN login in my nextclowd from the phone's browser and this app is still asking and asking and asking me for password to login in app?? Why? What's wrong????,"Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.7830132,0
Absolutely destroys battery life. Phone always lasts all day well past midnight. Had it installed for 3 days and will now go from fully charged at 7am to dead at 5pm with hardly any phone use and no phone calls. Android reporting app responsible for 19% of battery drain. Can't keep it installed like that.,Not able to use multiple accounts. I log into a second account and it removes the first. I exit the app and go back in and it has me log back in.,0.7165634,0,,,,,,,,,0,,0,,,Why I CAN login in my nextclowd from the phone's browser and this app is still asking and asking and asking me for password to login in app?? Why? What's wrong????,Not able to use multiple accounts. I log into a second account and it removes the first. I exit the app and go back in and it has me log back in.,0.7420522,0
Absolutely destroys battery life. Phone always lasts all day well past midnight. Had it installed for 3 days and will now go from fully charged at 7am to dead at 5pm with hardly any phone use and no phone calls. Android reporting app responsible for 19% of battery drain. Can't keep it installed like that.,"App crashes every ~2 seconds, rendering the phone unusable for most things",0.7134445,0,,,,,,,,,1,,0,,,"I kinda like that you have to be real particular about selecting folders to upload, but until there's an auto-sync, I'll be using Syncthing. a little more detail: you can select ""auto-upload"" and specify a local folder, a remote folder, and some other stuff (defaults are probably fine). It will then _upload_ _new_ files in that local directory (but not subdirectories, which is important for music). So all those existing files, never touched. And if you delete a file, that doesn't propagate out to your server, and therefore to your other devices. And if a file is changed/created/etc on the server, you'll never know about it until you manually sync that folder.","Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.7838165,0
Stopped working all of a sudden. Asking for pattern or fingerprint. Neither my real device pattern nor my fingerprints are working. Fresh install. Only added one account. Did not change any settings. All prior versions worked. Cannot send any debug data as the app does not let me start. Please fix this.,"Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.790536,0,,,,,,,,,1,,1,,,"I kinda like that you have to be real particular about selecting folders to upload, but until there's an auto-sync, I'll be using Syncthing. a little more detail: you can select ""auto-upload"" and specify a local folder, a remote folder, and some other stuff (defaults are probably fine). It will then _upload_ _new_ files in that local directory (but not subdirectories, which is important for music). So all those existing files, never touched. And if you delete a file, that doesn't propagate out to your server, and therefore to your other devices. And if a file is changed/created/etc on the server, you'll never know about it until you manually sync that folder.","\""""Message\"""":\""""This resource only supports valid vCard or jCard data. Parse error: Invalid Mimedir file. Line starting at 69 did not follow iCalendar\\\/vCard conventions\""""",0.7675345,0
Stopped working all of a sudden. Asking for pattern or fingerprint. Neither my real device pattern nor my fingerprints are working. Fresh install. Only added one account. Did not change any settings. All prior versions worked. Cannot send any debug data as the app does not let me start. Please fix this.,Not able to use multiple accounts. I log into a second account and it removes the first. I exit the app and go back in and it has me log back in.,0.76629794,0,,,,,,,,,0,,0,,,"Can not login, after i enter my password i keep looping back to the login menu",Not able to use multiple accounts. I log into a second account and it removes the first. I exit the app and go back in and it has me log back in.,0.81159335,0
Stopped working all of a sudden. Asking for pattern or fingerprint. Neither my real device pattern nor my fingerprints are working. Fresh install. Only added one account. Did not change any settings. All prior versions worked. Cannot send any debug data as the app does not let me start. Please fix this.,"Allow upload & editing, File Upload,Password Protect Option is not working(url not generated correctly) on android and windows",0.73289937,1,,,,,,,,,0,,0,,,"Can not login, after i enter my password i keep looping back to the login menu", if I change user in the android application I can not delete file,0.75410026,0
"I just started using this app with a home server and I'm having the issue 
where the log in screen keeps popping up. Interestingly, it's not logging 
me out. I can hit back, quickly interact with my files, and then the login 
comes back up. If I enter the settings menu, the login menu won't come up, 
but as soon as I leave settings it starts happening again.",Not able to use multiple accounts. I log into a second account and it removes the first. I exit the app and go back in and it has me log back in.,0.8588404,1,,,,,,,,,0,,1,,,"Having a lot of trouble when trying to auto upload a folder containing multiple sub folders with pictures and video from a SD card. Does not seem to want to sync. I had to send files manually, did not scan the folder apparently. My goal is to move video and photos from the phone to this removable card so I can save some space and backup those to a nas...","Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.8177899,0
"I just started using this app with a home server and I'm having the issue 
where the log in screen keeps popping up. Interestingly, it's not logging 
me out. I can hit back, quickly interact with my files, and then the login 
comes back up. If I enter the settings menu, the login menu won't come up, 
but as soon as I leave settings it starts happening again.","Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.7890247,0,,,,,,,,,0,,0,,,"Having a lot of trouble when trying to auto upload a folder containing multiple sub folders with pictures and video from a SD card. Does not seem to want to sync. I had to send files manually, did not scan the folder apparently. My goal is to move video and photos from the phone to this removable card so I can save some space and backup those to a nas...",Not able to use multiple accounts. I log into a second account and it removes the first. I exit the app and go back in and it has me log back in.,0.7776923,0
"I just started using this app with a home server and I'm having the issue where the log in screen keeps popping up. Interestingly, it's not logging me out. I can hit back, quickly interact with my files, and then the login comes back up. If I enter the settings menu, the login menu won't come up, but as soon as I leave settings it starts happening again.",A newly created auto upload setup isn't displayed in the list if I don't navigate away then come back,0.7686014,0,,,,,,,,,1,,1,,,Auto uploads no longer work. App just freezes on s8+,Auto upload does not work in RC6,0.80967313,1
"Not working on Pixel 4 XL stock Android 10, won't.let me log in. Provider is Google FI (not Fiber) with automatic VPN.......is that the issue?","Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.82723635,0,,,,,,,,,1,,0,,,Auto uploads no longer work. App just freezes on s8+,"Auto upload deletes despite setting ""move to app folder""",0.7698506,0
"Not working on Pixel 4 XL stock Android 10, won't.let me log in. Provider is Google FI (not Fiber) with automatic VPN.......is that the issue?",Crash on openning app on Android 7.1 (android.app.RemoteServiceException: can't deliver broadcast),0.7851863,0,,,,,,,,,0,,0,,,This is useless on Android. It will not sync your old picture files. Only the new ones. This seems to work on IOS though. There are complains about this on the internet dating back to 2016. They were supposed to work on that. It is now Dec 2019.,"Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.7995881,0
"Not working on Pixel 4 XL stock Android 10, won't.let me log in. Provider is Google FI (not Fiber) with automatic VPN.......is that the issue?","Can't use the app anymore after update to 3.3: ""Wrong login details""",0.7777932,1,,,,,,,,,0,,0,,,This is useless on Android. It will not sync your old picture files. Only the new ones. This seems to work on IOS though. There are complains about this on the internet dating back to 2016. They were supposed to work on that. It is now Dec 2019.,"\""""Message\"""":\""""This resource only supports valid vCard or jCard data. Parse error: Invalid Mimedir file. Line starting at 71 did not follow iCalendar\\\/vCard conventions\""""",0.71213084,0
App is draining all of my battery because it seems to loop all day long. Temporarily enabled auto upload over cellular. Now I disabled this option again but Nextcloud continues to upload data over cellular. Sometimes it's not even properly auto-uploading my pictures. Phone: Samsung S9 Worst app I ever used.,"Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.8200324,1,,,,,,,,,0,,0,,,application crashes on clicking Log In,Client crash on Login,0.8186931,1
App is draining all of my battery because it seems to loop all day long. Temporarily enabled auto upload over cellular. Now I disabled this option again but Nextcloud continues to upload data over cellular. Sometimes it's not even properly auto-uploading my pictures. Phone: Samsung S9 Worst app I ever used.,Not able to use multiple accounts. I log into a second account and it removes the first. I exit the app and go back in and it has me log back in.,0.77535105,0,,,,,,,,,0,,1,,,application crashes on clicking Log In,app crash when I click on share button ,0.800977,0
App is draining all of my battery because it seems to loop all day long. Temporarily enabled auto upload over cellular. Now I disabled this option again but Nextcloud continues to upload data over cellular. Sometimes it's not even properly auto-uploading my pictures. Phone: Samsung S9 Worst app I ever used.,"App tries to ""fetch most recent version of the file"" while VPN is in waiting for usable network mode",0.7549572,0,,,,,,,,,0,,0,,,"Could not connect. After feeding correct server address and getting ""Secure connection established"" I get ""Could not find host"". Buggy and unusable.","InstantUpload fail with ""Could not complete operation. Server unavailable""",0.7971383,0
Why I CAN login in my nextclowd from the phone's browser and this app is still asking and asking and asking me for password to login in app?? Why? What's wrong????,"Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.7830132,0,,,,,,,,,0,,1,,,"Could not connect. After feeding correct server address and getting ""Secure connection established"" I get ""Could not find host"". Buggy and unusable.","""Could not save keys, please try again later"" message after ""set up encryption""",0.7881132,0
Why I CAN login in my nextclowd from the phone's browser and this app is still asking and asking and asking me for password to login in app?? Why? What's wrong????,Not able to use multiple accounts. I log into a second account and it removes the first. I exit the app and go back in and it has me log back in.,0.7420522,0,,,,,,,,,0,,0,,,Where has the fingerprint access gone?,Where's the automatic synchronization? ,0.7040805,0
Why I CAN login in my nextclowd from the phone's browser and this app is still asking and asking and asking me for password to login in app?? Why? What's wrong????,"Can't use the app anymore after update to 3.3: ""Wrong login details""",0.73004985,0,,,,,,,,,0,,0,,,Where has the fingerprint access gone?,"Insufficient space to copy files when ""keep files in source folder"" is selected.",0.6380458,0
"I kinda like that you have to be real particular about selecting folders to upload, but until there's an auto-sync, I'll be using Syncthing. a little more detail: you can select ""auto-upload"" and specify a local folder, a remote folder, and some other stuff (defaults are probably fine). It will then _upload_ _new_ files in that local directory (but not subdirectories, which is important for music). So all those existing files, never touched. And if you delete a file, that doesn't propagate out to your server, and therefore to your other devices. And if a file is changed/created/etc on the server, you'll never know about it until you manually sync that folder.","Huawei mate 9 I can't get the automatic synchronization to work The problem of optimizing the battery remains on the screen even if it is set as not allowed The problem will be in emui 9.1.0 because for other mobile phone it works, how can I be helped for this bug  ?",0.7838165,0,,,,,,,,,0,,0,,,"Autoupload not working, android 7, otherwise all seems good. Happy with app and will increase stars to 5 when auto upload is working.","Allow upload & editing, File Upload,Password Protect Option is not working(url not generated correctly) on android and windows",0.80560195,1
"I kinda like that you have to be real particular about selecting folders to upload, but until there's an auto-sync, I'll be using Syncthing. a little more detail: you can select ""auto-upload"" and specify a local folder, a remote folder, and some other stuff (defaults are probably fine). It will then _upload_ _new_ files in that local directory (but not subdirectories, which is important for music). So all those existing files, never touched. And if you delete a file, that doesn't propagate out to your server, and therefore to your other devices. And if a file is changed/created/etc on the server, you'll never know about it until you manually sync that folder.","\""""Message\"""":\""""This resource only supports valid vCard or jCard data. Parse error: Invalid Mimedir file. Line starting at 69 did not follow iCalendar\\\/vCard conventions\""""",0.7675345,0,,,,,,,,,0,,0,,,"Autoupload not working, android 7, otherwise all seems good. Happy with app and will increase stars to 5 when auto upload is working.",Autoupload - Android 9.0 does not work,0.78582704,1
