feedback,issue,distance,26/150,,,,10/50,,feedback,issue,distance,,19/100
"So many bugs... Plays in background, but no controls in notifications. When you tap the app to bring up the controls, the video is a still screen. Navigating is a pain. Resuming forgets my place constantly. Basically unusable.","Video playback can fail to start, freezing the whole app",[0.74106324],0,,The good part : no spam The bad part : at each restart it is going to waste resources to scan whatever even if you set it not to.,"Change Playback speed as low and restore,the video will not play smoothly",0,,"I mainly use the app to stream to a chromecast from my NAS drive. Unfortunately, this app is by far the worst for streaming and has been for some time. It constantly locks up and I have to reset my chromecast, this does not happen for any other apps. Playback of local files is fine, but as stated, my main use case is streaming and I believe a lot more developing needs to be put into strengthening the streaming capabilities of this app.","VLC Android Crash always after some events (Folder scan preferences, for example)",[0.74625474],,0
"So many bugs... Plays in background, but no controls in notifications. When you tap the app to bring up the controls, the video is a still screen. Navigating is a pain. Resuming forgets my place constantly. Basically unusable.",android dvd video iso file menu not working (still same issue as in #20169),[0.7403945],0,,04/21/2019 = The new VCL update for Android sucks. It has my music files all messed up. If something is not broken don't fix it,Crashing Android app by playing a song via upnp with corrupt metadata,0,,"I mainly use the app to stream to a chromecast from my NAS drive. Unfortunately, this app is by far the worst for streaming and has been for some time. It constantly locks up and I have to reset my chromecast, this does not happen for any other apps. Playback of local files is fine, but as stated, my main use case is streaming and I believe a lot more developing needs to be put into strengthening the streaming capabilities of this app.",VLC for Android hangs when focused for huge audio library and fast scrolling is glitchy,[0.71586305],,0
"The app is fine. But the problem is that if we receive a phone call while watching a video, we cannot continue, instead we have to close the app and restart it and in the process the video starts from beginning and we have to go for searching where we were. Hope this problem will be fixed at the earliest.","Tap the bubble when set jump to time, the VLC will be stopped.",[0.7637931],1,,"This app is amazing man, I have tried playing a movie in inbuilt players and share it player too, but the movie didn't played with audio. VLC fixed the issue. Thanks",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,0,,"always shows nortification of scanning media file library, and hangs when i open it stops working and says it isn't responding.","Bookmarks needed; Randomly Shuts Off, Latest verion, Samsung Gal Note 4",[0.7084947],,0
"The app is fine. But the problem is that if we receive a phone call while watching a video, we cannot continue, instead we have to close the app and restart it and in the process the video starts from beginning and we have to go for searching where we were. Hope this problem will be fixed at the earliest.",VLC service stops somethimes after home button tapped,[0.7150563],1,,"Background play I love that background play is an option now, seeing that my phones video player doesn't have the best format adaptive capability. But the BGP doesn't last long and cuts out randomly back to the screen I'm using. I'm sure it will get better! Still a great tool for android!",VLC on Android often loses track of the network drive it's been reading,0,,"always shows nortification of scanning media file library, and hangs when i open it stops working and says it isn't responding.",VLC stopps listing files,[0.69503486],,0
"The app is fine. But the problem is that if we receive a phone call while watching a video, we cannot continue, instead we have to close the app and restart it and in the process the video starts from beginning and we have to go for searching where we were. Hope this problem will be fixed at the earliest.","After plug in USB drive, VLC will not work normally and pop up the error message.",[0.70985055],0,,"For 5 stars: * Enable pinch zoom * It constantly scans for new media when the phone wakes, despite it being disabled.",VLC android scans for media unconditionally for 4 hours before giving option to exclude folders,1,,Great app but had to uninstall and rate lower. Will not stop autoplaying audio files when I get into my car. Annoying beyond belief and cannot find any settings to disable this behavior. Please assist and I will adjust my rating accordingly for this otherwise perfect app.,"No video on the new Nexus 7, only audio seems to work",[0.6582531],,1
"I mainly use the app to stream to a chromecast from my NAS drive. Unfortunately, this app is by far the worst for streaming and has been for some time. It constantly locks up and I have to reset my chromecast, this does not happen for any other apps. Playback of local files is fine, but as stated, my main use case is streaming and I believe a lot more developing needs to be put into strengthening the streaming capabilities of this app.","VLC Android Crash always after some events (Folder scan preferences, for example)",[0.74625474],0,,It's crashing when I am streaming a video from youtube! 🙄,VLC crash after deleting a video,1,,Great app but had to uninstall and rate lower. Will not stop autoplaying audio files when I get into my car. Annoying beyond belief and cannot find any settings to disable this behavior. Please assist and I will adjust my rating accordingly for this otherwise perfect app.,Subtitles stops on my mi max 2 andriod phone once i like lock and unlock the mobile.,[0.6542089],,0
"I mainly use the app to stream to a chromecast from my NAS drive. Unfortunately, this app is by far the worst for streaming and has been for some time. It constantly locks up and I have to reset my chromecast, this does not happen for any other apps. Playback of local files is fine, but as stated, my main use case is streaming and I believe a lot more developing needs to be put into strengthening the streaming capabilities of this app.",VLC for Android hangs when focused for huge audio library and fast scrolling is glitchy,[0.71586305],0,,"VLC player is not working fine now, starts player after trying 2-3 times.",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,1,,Still best media player for me but comes with some issue with new updates for ea. selecting a song but other also get seleceted automatically while making a playlist and recent play option is not like old version ... i hope you guys make it better with new update,"After Appending songs to a playlist, then saving the playlist, the artist and album information is missing in the new playlist, except for this first song.",[0.6490867],,0
"I mainly use the app to stream to a chromecast from my NAS drive. Unfortunately, this app is by far the worst for streaming and has been for some time. It constantly locks up and I have to reset my chromecast, this does not happen for any other apps. Playback of local files is fine, but as stated, my main use case is streaming and I believe a lot more developing needs to be put into strengthening the streaming capabilities of this app.","After plug in USB drive, VLC will not work normally and pop up the error message.",[0.7014377],0,,"The app was working fantastically, until it was updated. For some reason it has trouble finding my video and audio files on my local storage. I travel a lot and I often download my media entertainments so I can be distracted on the go. Please fix issues because I love VLC!!! Been my go-to media player since 2012.",VLC for Android hangs when focused for huge audio library and fast scrolling is glitchy,0,,Still best media player for me but comes with some issue with new updates for ea. selecting a song but other also get seleceted automatically while making a playlist and recent play option is not like old version ... i hope you guys make it better with new update,VLC encountered an error with this media. Please try refreshing the media library,[0.60881495],,0
"always shows nortification of scanning media file library, and hangs when i open it stops working and says it isn't responding.","Bookmarks needed; Randomly Shuts Off, Latest verion, Samsung Gal Note 4",[0.7084947],0,,"Why does this app seem to time out so quickly when playback is paused??? What's the point of Adding a folder to Favourites, if there's nowhere to view Favorites??? Why won't this app remember where it was in a playlist and allow for resuming from there?","After Appending songs to a playlist, then saving the playlist, the artist and album information is missing in the new playlist, except for this first song.",0,,Some of my videos log when I'm connected to the internet and also some of videos don't show up in the folders,VLC on Android often loses track of the network drive it's been reading,[0.72134066],,0
"always shows nortification of scanning media file library, and hangs when i open it stops working and says it isn't responding.",VLC stopps listing files,[0.69503486],0,,"Recent update makes it useless, will be uninstalling. as mentioned by others, dropping in an album folder on phone no longer works as it's displays the whole albums contents as individual albums! useless.",Network stream fails to play due to aggressive caching,0,,Some of my videos log when I'm connected to the internet and also some of videos don't show up in the folders,Vlc background service causing malfunction in other media players in android 2.3.4,[0.6768306],,0
"always shows nortification of scanning media file library, and hangs when i open it stops working and says it isn't responding.",Latest nightly build crashes on playing mp3 files via network,[0.68572956],0,,"I've been using VLC for years, desktop and android versions. Since the latest update, i've been having a little trouble with screen ratio not auto adjusting on my Acer Chromebook 15. Once I load a video it will play but the bottom of the screen is cut off (where the play button is) in which I have to manually press pause than play again to fix the aspect ratio of the screen size. (Not a big deal and I hope it makes sense the way I explained, I can send a picture however)","When playing an .mkv file in vlc for android version 1.3.2, movie get's cut every couple of seconds",0,,The good part : no spam The bad part : at each restart it is going to waste resources to scan whatever even if you set it not to.,"Change Playback speed as low and restore,the video will not play smoothly",[0.73769367],,0
Great app but had to uninstall and rate lower. Will not stop autoplaying audio files when I get into my car. Annoying beyond belief and cannot find any settings to disable this behavior. Please assist and I will adjust my rating accordingly for this otherwise perfect app.,"No video on the new Nexus 7, only audio seems to work",[0.6582531],1,,"Overall app works good. But there's a big when I try to search for subtitles, it fails to load and keeps on showing downloading icon.",VLC on Android often loses track of the network drive it's been reading,0,,The good part : no spam The bad part : at each restart it is going to waste resources to scan whatever even if you set it not to.,Scrub backward quickly doesn't work (Android),[0.73638445],,0
Great app but had to uninstall and rate lower. Will not stop autoplaying audio files when I get into my car. Annoying beyond belief and cannot find any settings to disable this behavior. Please assist and I will adjust my rating accordingly for this otherwise perfect app.,Subtitles stops on my mi max 2 andriod phone once i like lock and unlock the mobile.,[0.6542089],0,,"Actually expect better than this from VLC. Mainly, issues with playlists make this a less than ideal choice. For one LARGE list, all entries were duplicated! I could just remove one but it removes both, thinking they are the same. Plays them all twice tho. Other glitches too like not remembering random play order etc make it frustrating to use. Oh yes, apparently a database is used for the playlists too so no easy way to manage or backup or transfer. And, no answers from support.","After plug in USB drive, VLC will not work normally and pop up the error message.",0,,04/21/2019 = The new VCL update for Android sucks. It has my music files all messed up. If something is not broken don't fix it,Crashing Android app by playing a song via upnp with corrupt metadata,[0.8176099],,0
Great app but had to uninstall and rate lower. Will not stop autoplaying audio files when I get into my car. Annoying beyond belief and cannot find any settings to disable this behavior. Please assist and I will adjust my rating accordingly for this otherwise perfect app.,"Bookmarks needed; Randomly Shuts Off, Latest verion, Samsung Gal Note 4",[0.6496879],0,,"Full of bugs. After the the time sleeper turns the app off, it won't play anything more without closing the app from the app settings. Also, it runs continously on the background even after closed (whether with sleep timer or by any other means) . Can't swipe it off from the notification scroll down bar, and keeps consuming battery.","VLC Android Crash always after some events (Folder scan preferences, for example)",0,,04/21/2019 = The new VCL update for Android sucks. It has my music files all messed up. If something is not broken don't fix it,[vlc for android] crash when playing mpeg-2+mpga(ts) stream,[0.81343687],,0
Still best media player for me but comes with some issue with new updates for ea. selecting a song but other also get seleceted automatically while making a playlist and recent play option is not like old version ... i hope you guys make it better with new update,"After Appending songs to a playlist, then saving the playlist, the artist and album information is missing in the new playlist, except for this first song.",[0.6490867],0,,"The subtitles barely works, keeps saying an error occured, try again in few seconds. Sad","Change Playback speed as low and restore,the video will not play smoothly",0,,"This app is amazing man, I have tried playing a movie in inbuilt players and share it player too, but the movie didn't played with audio. VLC fixed the issue. Thanks",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.70046103],,0
Still best media player for me but comes with some issue with new updates for ea. selecting a song but other also get seleceted automatically while making a playlist and recent play option is not like old version ... i hope you guys make it better with new update,VLC encountered an error with this media. Please try refreshing the media library,[0.60881495],0,,Terrible. It buffers all the time and I can literally watch nothing with this player.,"Video playback can fail to start, freezing the whole app",1,,"This app is amazing man, I have tried playing a movie in inbuilt players and share it player too, but the movie didn't played with audio. VLC fixed the issue. Thanks",VLC on Android often loses track of the network drive it's been reading,[0.67189515],,0
Still best media player for me but comes with some issue with new updates for ea. selecting a song but other also get seleceted automatically while making a playlist and recent play option is not like old version ... i hope you guys make it better with new update,Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.60528934],0,,Too slow...it takes lot of time to load the videos and video thumbnail doesn't load,Scrub backward quickly doesn't work (Android),0,,"Background play I love that background play is an option now, seeing that my phones video player doesn't have the best format adaptive capability. But the BGP doesn't last long and cuts out randomly back to the screen I'm using. I'm sure it will get better! Still a great tool for android!",VLC on Android often loses track of the network drive it's been reading,[0.7076584],,0
Some of my videos log when I'm connected to the internet and also some of videos don't show up in the folders,VLC on Android often loses track of the network drive it's been reading,[0.72134066],0,,It was 100x better before this new update. Now it's slow! Takes years to load videos and no categories,VLC stops streaming to chromecast after some minutes,0,,"Background play I love that background play is an option now, seeing that my phones video player doesn't have the best format adaptive capability. But the BGP doesn't last long and cuts out randomly back to the screen I'm using. I'm sure it will get better! Still a great tool for android!",VLC Android: The Play/Search history should eliminate duplicates,[0.6967443],,0
Some of my videos log when I'm connected to the internet and also some of videos don't show up in the folders,Vlc background service causing malfunction in other media players in android 2.3.4,[0.6768306],0,,Audio stops all of a sudden. Problem occurs while playing high quality and high FPS videos.,"Change Playback speed as low and restore,the video will not play smoothly",0,,"For 5 stars: * Enable pinch zoom * It constantly scans for new media when the phone wakes, despite it being disabled.",VLC android scans for media unconditionally for 4 hours before giving option to exclude folders,[0.6448489],,1
Some of my videos log when I'm connected to the internet and also some of videos don't show up in the folders,Error when opening VLC from another app,[0.6697917],0,,Favourite player but Could not find a way to prevent it crashing with Huawei emui 9. Reluctantly moved to mxplayer which doesn't have this issue,"Directories disappear if underlying folder is deleted, but can't be removed.",0,,"For 5 stars: * Enable pinch zoom * It constantly scans for new media when the phone wakes, despite it being disabled.","When playing an .mkv file in vlc for android version 1.3.2, movie get's cut every couple of seconds",[0.64443195],,0
The good part : no spam The bad part : at each restart it is going to waste resources to scan whatever even if you set it not to.,"Change Playback speed as low and restore,the video will not play smoothly",[0.73769367],0,,Sometimes app is not working so you need to close it completly and reopen it. Video thumbnails is always wrong and video name is also not showing.,Network stream fails to play due to aggressive caching,0,,It's crashing when I am streaming a video from youtube! 🙄,VLC crash after deleting a video,[0.7813848],,1
The good part : no spam The bad part : at each restart it is going to waste resources to scan whatever even if you set it not to.,Scrub backward quickly doesn't work (Android),[0.73638445],0,,I recently downloaded this app and I must say it's actually the best so far but the only problem is that when I add a subtitle it works but the speaker speaks before the subtitle appears it does not come at once with the speaker. Please I need reply,Error when opening VLC from another app,0,,It's crashing when I am streaming a video from youtube! 🙄,Android VLC: Crash while reproducing videos in hidden SurfaceView,[0.74611574],,1
The good part : no spam The bad part : at each restart it is going to waste resources to scan whatever even if you set it not to.,"""Play from start"" ignored after loop.",[0.7208849],0,,"I like the app. But there is problem I face. Though I delete a video from the phone, the clip still shows in the VLC Directory. That's very annoying.",VLC for Android hangs when focused for huge audio library and fast scrolling is glitchy,0,,"VLC player is not working fine now, starts player after trying 2-3 times.",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.6726285],,1
04/21/2019 = The new VCL update for Android sucks. It has my music files all messed up. If something is not broken don't fix it,Crashing Android app by playing a song via upnp with corrupt metadata,[0.8176099],0,,"current updated interface is not cool, taking too much time to scan local media","Change Playback speed as low and restore,the video will not play smoothly",0,,"VLC player is not working fine now, starts player after trying 2-3 times.","After plug in USB drive, VLC will not work normally and pop up the error message.",[0.6175727],,0
04/21/2019 = The new VCL update for Android sucks. It has my music files all messed up. If something is not broken don't fix it,[vlc for android] crash when playing mpeg-2+mpga(ts) stream,[0.81343687],0,,I can't download subtitles anymore bc the app will simply stop. why make it an option then if it just won't work??,Subtitles 'forgotten' if VLC loses focus,1,,"The app was working fantastically, until it was updated. For some reason it has trouble finding my video and audio files on my local storage. I travel a lot and I often download my media entertainments so I can be distracted on the go. Please fix issues because I love VLC!!! Been my go-to media player since 2012.",VLC for Android hangs when focused for huge audio library and fast scrolling is glitchy,[0.65600824],,0
04/21/2019 = The new VCL update for Android sucks. It has my music files all messed up. If something is not broken don't fix it,VLC for Android crashes when attempting to browse for media file,[0.8014606],1,,"My TV just updated to the latest 3.2.6 version. Now when set to Android TV UI app will exit when opening any browsing option. Internal, Network, favourites, etc, etc. Seems to work fine in normal UI mode. Just more difficult to use. And seems to have lost file skip functionality.","Builds after 1.8.020160104-106 for Android video will stop, audio continues",0,,"The app was working fantastically, until it was updated. For some reason it has trouble finding my video and audio files on my local storage. I travel a lot and I often download my media entertainments so I can be distracted on the go. Please fix issues because I love VLC!!! Been my go-to media player since 2012.",VLC on Android often loses track of the network drive it's been reading,[0.650954],,0
"This app is amazing man, I have tried playing a movie in inbuilt players and share it player too, but the movie didn't played with audio. VLC fixed the issue. Thanks",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.70046103],0,,Recording voices and videos it should not again I used to have this problem with it a couple years ago and then it stopped now it's doing it again please fix or update,Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,0,,"Why does this app seem to time out so quickly when playback is paused??? What's the point of Adding a folder to Favourites, if there's nowhere to view Favorites??? Why won't this app remember where it was in a playlist and allow for resuming from there?","After Appending songs to a playlist, then saving the playlist, the artist and album information is missing in the new playlist, except for this first song.",[0.7815095],,0
"This app is amazing man, I have tried playing a movie in inbuilt players and share it player too, but the movie didn't played with audio. VLC fixed the issue. Thanks",VLC on Android often loses track of the network drive it's been reading,[0.67189515],0,,"I just found 1 bug, when in landscape mode, the app icon is missing for some reason, please fix this :)",M3U file with HTTP links fails due to a bug in VLC GET request,0,,"Why does this app seem to time out so quickly when playback is paused??? What's the point of Adding a folder to Favourites, if there's nowhere to view Favorites??? Why won't this app remember where it was in a playlist and allow for resuming from there?",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.7544118],,1
"This app is amazing man, I have tried playing a movie in inbuilt players and share it player too, but the movie didn't played with audio. VLC fixed the issue. Thanks",Galaxy S2 with hardware acceleration: Video (but not audio) freezes after seeking,[0.6716785],0,,I used to love this app and swore by it but recently I've had nothing but issues with casting videos. It either stops or you lose the UI so can't control the vid.,Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,0,,"Recent update makes it useless, will be uninstalling. as mentioned by others, dropping in an album folder on phone no longer works as it's displays the whole albums contents as individual albums! useless.",Network stream fails to play due to aggressive caching,[0.78876764],,0
"Background play I love that background play is an option now, seeing that my phones video player doesn't have the best format adaptive capability. But the BGP doesn't last long and cuts out randomly back to the screen I'm using. I'm sure it will get better! Still a great tool for android!",VLC on Android often loses track of the network drive it's been reading,[0.7076584],0,,This is a great video player that can play files from phone storage and network shares but presently has some Chrome casting issues. Phone display keeps turning off preventing easy movie control and dropping the cast. Need a default option to keep screen on while casting. No subtitles during casting either. Would love to see these little issues fixed soon. Keep up the good work.,Video playback freezes on Android when trying to play big video files,0,,"Recent update makes it useless, will be uninstalling. as mentioned by others, dropping in an album folder on phone no longer works as it's displays the whole albums contents as individual albums! useless.",Accessing DLNA server fails to retrieve album's tracks,[0.7835549],,0
"Background play I love that background play is an option now, seeing that my phones video player doesn't have the best format adaptive capability. But the BGP doesn't last long and cuts out randomly back to the screen I'm using. I'm sure it will get better! Still a great tool for android!",VLC Android: The Play/Search history should eliminate duplicates,[0.6967443],0,,great app but background playing is a problem music stop when switch to another app,VLC for Android hangs when focused for huge audio library and fast scrolling is glitchy,0,,"I've been using VLC for years, desktop and android versions. Since the latest update, i've been having a little trouble with screen ratio not auto adjusting on my Acer Chromebook 15. Once I load a video it will play but the bottom of the screen is cut off (where the play button is) in which I have to manually press pause than play again to fix the aspect ratio of the screen size. (Not a big deal and I hope it makes sense the way I explained, I can send a picture however)","When playing an .mkv file in vlc for android version 1.3.2, movie get's cut every couple of seconds",[0.7638689],,0
"Background play I love that background play is an option now, seeing that my phones video player doesn't have the best format adaptive capability. But the BGP doesn't last long and cuts out randomly back to the screen I'm using. I'm sure it will get better! Still a great tool for android!",problem with playing videos (.flv ) when I try it from onother application on android,[0.6895952],1,,Thumbnail doesn't disappear when video is deleted,"Back button isn't locked when playback ""lock screen"" is active",0,,"I've been using VLC for years, desktop and android versions. Since the latest update, i've been having a little trouble with screen ratio not auto adjusting on my Acer Chromebook 15. Once I load a video it will play but the bottom of the screen is cut off (where the play button is) in which I have to manually press pause than play again to fix the aspect ratio of the screen size. (Not a big deal and I hope it makes sense the way I explained, I can send a picture however)",VLC on Android often loses track of the network drive it's been reading,[0.74541247],,0
"For 5 stars: * Enable pinch zoom * It constantly scans for new media when the phone wakes, despite it being disabled.",VLC android scans for media unconditionally for 4 hours before giving option to exclude folders,[0.6448489],1,,"This app has had really irritating problems for years, and I cannot even figure a way they haven't have fixed if ANY of the developers are actually using it. Sometimes videos will loop back to a certain point in the video when they're finished without the ab loop being turned on in any perceivable way. Sometimes it won't auto play the next item on a list. Sometimes it will always play a media from a certain point when starting it - yet it DOESNT properly save the last play location upon leaving",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,0,,"Overall app works good. But there's a big when I try to search for subtitles, it fails to load and keeps on showing downloading icon.",VLC on Android often loses track of the network drive it's been reading,[0.7138884],,0
"For 5 stars: * Enable pinch zoom * It constantly scans for new media when the phone wakes, despite it being disabled.","When playing an .mkv file in vlc for android version 1.3.2, movie get's cut every couple of seconds",[0.64443195],0,,"The update mentions multitasking shutdown fixed! They did a terrible job! whenever I open any media file from file manager using VLC, and switch tasks it abruptly shuts down! On top of all they plainly Lie about the update! Useless team .really disappointed!! phone: redmi note 5 pro!","VLC Android Crash always after some events (Folder scan preferences, for example)",1,,"Overall app works good. But there's a big when I try to search for subtitles, it fails to load and keeps on showing downloading icon.",Error when opening VLC from another app,[0.7132318],,0
