feedback,issue,distance,34/150,,,,9/50,,,,,,22/100
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,"Cannot run mochitests on my phone: ""ADBError: Only one instance of an application may be running at once"" (unexpected pidof output on some devices)",0.6130989,0,,"Firefox great as always in personal control, but horrible slow in the android departure.",slow loading in android,1,,,Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,"Since last update wont load proper page. Crrashes constantly,  runs bad scripts. Very frustrating.",0.6554425,0
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,Unable to stream to Roku from FireFox Beta on Android cell phone,0.6122216,0,,"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","Since the latest update FF does not clean private data upon quitting nor can I manually clean it! Approximately 25% of the videos that I try to watch I get a response that says, incorrect mime type load viewer!",0,,,Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,"Only happening with latest version, But keep getting FFbeta draining battery too fast",0.6507173,1
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication","Fennec Bookmark Management: Collect information on how many users manage bookmarks using folders (create folder, remove folder, move bookmarks/folders into folders)",0.794775,0,,"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.","When using The Time site,  comments are not displayed.  When clicking 'add a comment'  it jumps to the top of the pages.  This all works fine in mobile Chrome.",0,,,Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,All downloads fail. Retry button in Downloads tab works in some cases. Possibly related to Android App Protection.,0.7092091,1
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",Intermittent TEST-UNEXPECTED-FAIL | testSettingsMenuItems | Waiting for settings item ^Import from Android$ in section ^Customize$ - The ^Import from Android$ option is present in section ^Customize$,0.7868091,0,,Good browser but it is not possible tochange default download folder to external sd. Too bad.,Two default profiles in profile directory after moving fennec to sdcard,0,,,Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,"Firefox failed to play an embedded video on a website.then I checked for other websites ,and there too it did not work.I have all the recent/updated versions of required plugins.",0.68838584,0
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication","Firefox Accounts (Sign-Up) - The show/hide button corners are incorrect on pre-(Gingerbread, v12, 3.0) devices",0.7791172,0,,Browser doesn't work on home Depot website.,Firefox android doesn't display home page on start.,0,,,"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",ad shown in model popup whereas i configured over videojs and after completing ads model popup isn't closed. This issue just in firfox tablet version or sometimes ads where not shown,0.76929474,0
Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,"Since last update wont load proper page. Crrashes constantly,  runs bad scripts. Very frustrating.",0.6554425,0,,"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work",holding down on a screen tap doesn't always open the menu for copy/paste in firefox nightly. not fixed with a few tries of tapping,0,,,"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",Firefox Focus : Already loaded tabs are reloading while switching (excess data usage?). Pls fix.,0.76331043,0
Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,"Only happening with latest version, But keep getting FFbeta draining battery too fast",0.6507173,1,,Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,"Since last update wont load proper page. Crrashes constantly,  runs bad scripts. Very frustrating.",0,,,The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,"Quit function is not working. App closes, but tabs still there when you reopen app.",0.7728323,0
Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,"Install is failing on the Samsung store with ""Unable to install application due to error popup""",0.6449693,0,,"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!","After a search in Google and selecting ""request desktop site"" it reloads Google without the search",0,,,The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,Synced tabs icon is not displayed until the Tab Menu is closed and reopened,0.7309703,0
Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,All downloads fail. Retry button in Downloads tab works in some cases. Possibly related to Android App Protection.,0.7092091,1,,"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone","Search suggestions are disabled in normal browsing after going to Settings without choosing to turn off search suggestions and with ""Don't keep activities"" enabled",0,,,"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!","Firefox for android hides the top menu when scorlling and it doesn't show itself, nor are there any gestures to make it return on android 4+(phones not tablets as I've not checked them yet)",0.6266391,0
Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,"Firefox failed to play an embedded video on a website.then I checked for other websites ,and there too it did not work.I have all the recent/updated versions of required plugins.",0.68838584,0,,"Not the best browser, struggles to download, display video properly in player, ect unlike chrome does. Only reason I'll keep using it is adblock support",ad shown in model popup whereas i configured over videojs and after completing ads model popup isn't closed. This issue just in firfox tablet version or sometimes ads where not shown,0,,,"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!",No doorhanger on about: pages so you can't edit site settings,0.6217523,1
Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,"Install is failing on the Samsung store with ""Unable to install application due to error popup""",0.6853839,0,,Hurry up and wait. This app is incredibly slow. Photos and videos take forever to load and when they do load the quality is very poor.,A manifest.webapp file is downloaded and the web app is loading forever when trying to launch a web app,1,,,"Firefox great as always in personal control, but horrible slow in the android departure.",slow loading in android,0.6715163,1
"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",ad shown in model popup whereas i configured over videojs and after completing ads model popup isn't closed. This issue just in firfox tablet version or sometimes ads where not shown,0.76929474,0,,"Good app when it works, but it constantly crashes when starting up.",App crashes on startup,1,,,"Firefox great as always in personal control, but horrible slow in the android departure.",Youtube search extremely slow with Request desktop mode and new youtube layout,0.63803375,1
"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",Firefox Focus : Already loaded tabs are reloading while switching (excess data usage?). Pls fix.,0.76331043,0,,"This browser is great, and the sync feature is also useful. My only problem here is: I noticed that this browser takes a lot of battery (9.35% of my power consumption for the last 12 hours - and I only used the app for half an hour)","Cannot run mochitests on my phone: ""ADBError: Only one instance of an application may be running at once"" (unexpected pidof output on some devices)",0,,,"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","Since the latest update FF does not clean private data upon quitting nor can I manually clean it! Approximately 25% of the videos that I try to watch I get a response that says, incorrect mime type load viewer!",0.68319243,0
"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",Building fennec with android NDK r7 fails to run with SIGILL,0.7579466,0,,Good browser with great features. The scrolling speed is slow compared to chrome while also dropping fps count.but i use Firefox it Will be great if u cold fix these issues because this will make it perfect,"When using The Time site,  comments are not displayed.  When clicking 'add a comment'  it jumps to the top of the pages.  This all works fine in mobile Chrome.",0,,,"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","Sites with large images OR zooming in on smaller images, Firefox shuts down and dumps to home screen. I've tested this numerous times and made sure it was my zooming that triggered the crash (it was).",0.6798102,0
The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,"Quit function is not working. App closes, but tabs still there when you reopen app.",0.7728323,0,,"I use only Firefox. Some bugs: sometimes I press the go button to browse to a website after typing a url and nothing happens until I close that tab and try with a new one. Today, long pressing links only seems to highlight text(can't open in a new tab). The tab interface should have a faster way to switch. Sometimes android warns me that Firefox is draining my battery.","if on a web page one either zooms in using double tap or pinch and then clicks a link on the page, then use the back button to return to the previous page, Firefox will not display the page as it was previously zoomed in",1,,,"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.","When using The Time site,  comments are not displayed.  When clicking 'add a comment'  it jumps to the top of the pages.  This all works fine in mobile Chrome.",0.6979761,0
The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,Synced tabs icon is not displayed until the Tab Menu is closed and reopened,0.7309703,0,,"Been using Firefox since version 3 on windows and was happy to see they made the Android version as I rather stick to a browser I already know and trust. Best thing about this is being able to sync my tabs between my PC and smartphone and it's as fast on my phone even with multiple tabs open and does not drain my battery. Disappointed that no add-ons I installed works so far, but maybe that will improve in the future.","Sites with large images OR zooming in on smaller images, Firefox shuts down and dumps to home screen. I've tested this numerous times and made sure it was my zooming that triggered the crash (it was).",0,,,"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.",On Firefox for Android doesn't change the prediction while still writing instead it inserts what you write to the predicted text.,0.68505496,1
The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,"Closing application do not really close tab and when open application back, we have to close previous tabs before using app",0.71058095,0,,"Good for privacy as it allows privacy minded extensions but the UI is absolutely terrible from a poweruser's perspective. Simple gestures like drag to reload is missing. No way to copy only the text portion of a link. No way to open a new tab from the detailed context menu when inside the tabs view (can only launch new tab with the + icon), and more.","In an installed Open Web App on android, content opened in a new tab can't be accessed (when opened via context-menu or via author configuring their links to spawn new tabs in e.g. Twitter)",0,,,Good browser but it is not possible tochange default download folder to external sd. Too bad.,Two default profiles in profile directory after moving fennec to sdcard,0.71502143,0
"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!","Firefox for android hides the top menu when scorlling and it doesn't show itself, nor are there any gestures to make it return on android 4+(phones not tablets as I've not checked them yet)",0.6266391,0,,"almost all of addons are not available for installation? what the hell happened,I keep getting connection failed error.i can't even install adguard extension...",Cannot install old extension from addons site,1,,,Good browser but it is not possible tochange default download folder to external sd. Too bad.,Firefox for Android not syncing saved logins from Firefox desktop when master-password enabled.,0.7038208,0
"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!",No doorhanger on about: pages so you can't edit site settings,0.6217523,1,,I don't waste time with systems that don't work. Avoid the headaches don't waste time on this browser. Firefox not accepting my signin password so I cannot setup firefox as my browser. Firefox makes it almost impossible to get help.,"Since the latest update FF does not clean private data upon quitting nor can I manually clean it! Approximately 25% of the videos that I try to watch I get a response that says, incorrect mime type load viewer!",0,,,Browser doesn't work on home Depot website.,Firefox android doesn't display home page on start.,0.6362908,0
"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!","mp3 urls start playing loudly immediately, no way to configure or download instead.",0.6191032,0,,Not optimised for desktop modes like Samsung DeX. Scaling is terrible and there is no right-click functionality with a mouse. Will continue to use Samsung Internet instead.,HTML5 videos fullscreen is not disabled when minimizing the app - could lead to focusing other tabs without access to the awesomebar,0,,,Browser doesn't work on home Depot website.,"Flash does not work with Firefox Beta but does work with Firefox ""release""",0.61656183,0
"Firefox great as always in personal control, but horrible slow in the android departure.",slow loading in android,0.6715163,1,,"Browser is so slow at loading pages and crashes the majority of the time I use it. Most of the time I get so frustrated with it that I go and use chrome because I dont have any issuess when I use chrome and I hate chrome and would prefer not to use it. I like the desktop version of firefox, but this mobile version is garbage. I never knew how bad a browser could be until I used this one. Almost every time I try to go to a new page it either takes 5 minutes to load or doesnt load or crashes.","Sites with large images OR zooming in on smaller images, Firefox shuts down and dumps to home screen. I've tested this numerous times and made sure it was my zooming that triggered the crash (it was).",0,,,"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work",holding down on a screen tap doesn't always open the menu for copy/paste in firefox nightly. not fixed with a few tries of tapping,0.7294378,0
"Firefox great as always in personal control, but horrible slow in the android departure.",Youtube search extremely slow with Request desktop mode and new youtube layout,0.63803375,1,,"The browser always crash for no reason, this version is whacked I swear.",Tapping flash click to play will spawn the VKB for no reason,0,,,"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work","When the title bar is visible, clicking on hyperlink does not work. I need to click below the link to get it activated..",0.725899,1
"Firefox great as always in personal control, but horrible slow in the android departure.",Slow page loads on Firefox Mobile,0.6154423,1,,1. The menu of the selected text does not show all options which the google chrome does. 2. the Pul-down to refresh doesn't work.,Tapping the system search button while in the Settings menu does not open the Awesomescreen,0,,,Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,"Since last update wont load proper page. Crrashes constantly,  runs bad scripts. Very frustrating.",0.71526724,0
"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","Since the latest update FF does not clean private data upon quitting nor can I manually clean it! Approximately 25% of the videos that I try to watch I get a response that says, incorrect mime type load viewer!",0.68319243,0,,"Slow and with updates getting all the time more complicated to use. Still, is my go to browser, my only browser which I use when I need to trust the browser, f.ex shopping etc.","Nigthly in product pages use Firefox release branding, should use Nightly one (e.g. in onboarding, on about:firefox)",0,,,Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,Firefox Focus : Already loaded tabs are reloading while switching (excess data usage?). Pls fix.,0.70869434,1
"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","Sites with large images OR zooming in on smaller images, Firefox shuts down and dumps to home screen. I've tested this numerous times and made sure it was my zooming that triggered the crash (it was).",0.6798102,0,,"everytime I search directly in the address bar, either I need to do it again cause the browser doesn't detect the search, or I have to wait until the page is loaded to see if the web page was even doing anything in the first place. but otherwise, Mozilla is fantastic. Great mission. Good UI","if on a web page one either zooms in using double tap or pinch and then clicks a link on the page, then use the back button to return to the previous page, Firefox will not display the page as it was previously zoomed in",0,,,"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!","After a search in Google and selecting ""request desktop site"" it reloads Google without the search",0.6022739,0
"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","Firefox failed to play an embedded video on a website.then I checked for other websites ,and there too it did not work.I have all the recent/updated versions of required plugins.",0.6654156,0,,Videos or songs don't stop playing after you shut down the app. Have to force stop or turn volume off to stop.,Youtube videos pause when switching tab or turning off the screen,0,,,"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!",Unable to search Google News on Android because no keyboard pops up,0.60016346,0
"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.","When using The Time site,  comments are not displayed.  When clicking 'add a comment'  it jumps to the top of the pages.  This all works fine in mobile Chrome.",0.6979761,0,,"I'm trying to cast to my roku, but there is no casting tab when I try to browse movies online.",Fullscreen dialog does not appear when trying to go to fullscreen mode.,0,,,"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone","Search suggestions are disabled in normal browsing after going to Settings without choosing to turn off search suggestions and with ""Don't keep activities"" enabled",0.7345893,0
"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.",On Firefox for Android doesn't change the prediction while still writing instead it inserts what you write to the predicted text.,0.68505496,1,,"Not keen on firefox as a obile device browser. I was unable to download any pdf document, which as a uni student is very frustrating.",apk file downloaded in Firefox cannot be opened from Android download manager,0,,,"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone",Newly added search engine is not displayed in the quick search bar only after going to the search submenu from Settings,0.7289503,0
"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.",keyboard not switching to search mode when entering search terms in url bar,0.67965055,0,,was once best browser for android... now it got worse than before.... the extensions are not available for android ... when I hit on add-ons it shows me windows as platform...most extensions don't work... and flash support has been removed... after latest update it started to lag and crash on s9 plus android 9.0... Firefox was best for android...few years back.... did you have to mess it up like that?,"Firefox failed to play an embedded video on a website.then I checked for other websites ,and there too it did not work.I have all the recent/updated versions of required plugins.",0,,,"Not the best browser, struggles to download, display video properly in player, ect unlike chrome does. Only reason I'll keep using it is adblock support",ad shown in model popup whereas i configured over videojs and after completing ads model popup isn't closed. This issue just in firfox tablet version or sometimes ads where not shown,0.71702415,0
Good browser but it is not possible tochange default download folder to external sd. Too bad.,Two default profiles in profile directory after moving fennec to sdcard,0.71502143,0,,"It's the slowest app on the planet. I've used it for years, for its ability to copy a file into a pdf. But the initial speed was always slow. I have it paired with my weather app. now and it takes a whole minute to 2 minutes to work the radar function.","When I add a site to my homescreen it's ok for a few days then the symbol become the firefox symbol and I end up with a sea of Firefox symbols, why is this happening? It happen on my s3 and now my s5. Until this bug is fixed It's not worth using Firefox.",0,,,"Not the best browser, struggles to download, display video properly in player, ect unlike chrome does. Only reason I'll keep using it is adblock support","FF Beta (not FF) only shows main domain name (e.g., amazon.com vs amazon.com/gp/aw/d/B01054S5FM). Only can see full addr by touching it to edit, no longer seeing the page.",0.7146207,0
Good browser but it is not possible tochange default download folder to external sd. Too bad.,Firefox for Android not syncing saved logins from Firefox desktop when master-password enabled.,0.7038208,0,,Since the update the app crashes non stop and its so bad it messes up the crash report and the rest of my phone. It is straight trash someone should be fired for coding this garbage.,"Since the latest update FF does not clean private data upon quitting nor can I manually clean it! Approximately 25% of the videos that I try to watch I get a response that says, incorrect mime type load viewer!",0,,,Hurry up and wait. This app is incredibly slow. Photos and videos take forever to load and when they do load the quality is very poor.,A manifest.webapp file is downloaded and the web app is loading forever when trying to launch a web app,0.6402829,1
Good browser but it is not possible tochange default download folder to external sd. Too bad.,Convert the way to store preference of show url to  pref.js.,0.7015976,0,,crashes nearly every time I use it for an extended period.,Sync code is renewed each time I put the app in foreground,0,,,Hurry up and wait. This app is incredibly slow. Photos and videos take forever to load and when they do load the quality is very poor.,Takes longer than 40 seconds for awesomescreen results to show up on first load,0.6060642,1
Browser doesn't work on home Depot website.,Firefox android doesn't display home page on start.,0.6362908,0,,"Slow, bad ui, and crashes a LOT. Horrible replacement for chrome in it's current state, Opera is faster and more stable.",Android NDK r10c build failure: fatal error: sys/timeb.h: No such file or directory,0,,,"Good app when it works, but it constantly crashes when starting up.",App crashes on startup,0.66809183,1
Browser doesn't work on home Depot website.,"Flash does not work with Firefox Beta but does work with Firefox ""release""",0.61656183,0,,"It is the best browser for android, shame it started crashing after 2 minutes of usage since the last update. Edit: a popup blocker seems to cause crashing, 4 stars for now.",Firefox Beta 33 for android: topsites panel has not generated thumbnails since the Sept 5th update- displays only generic icon placeholders.,0,,,"Good app when it works, but it constantly crashes when starting up.",Firefox fails to run after converting to system app,0.65213805,1
Browser doesn't work on home Depot website.,"Marketplace app does not show in applications, only on home screen",0.61395097,0,,"I am trying to add an ad blocker and it leads to a page suggesting ads suitable for me. I dont really know what I am doing , except going round in circles!","Since the latest update FF does not clean private data upon quitting nor can I manually clean it! Approximately 25% of the videos that I try to watch I get a response that says, incorrect mime type load viewer!",0,,,"This browser is great, and the sync feature is also useful. My only problem here is: I noticed that this browser takes a lot of battery (9.35% of my power consumption for the last 12 hours - and I only used the app for half an hour)","Cannot run mochitests on my phone: ""ADBError: Only one instance of an application may be running at once"" (unexpected pidof output on some devices)",0.6704878,0
