feedback,issue,distance,,37/150,,,,14/50,,feedback,issue,distance,,39/100
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,Unable to close the app if webrtc is being used,[0.710793],,0,,"Firefox great as always in personal control, but horrible slow in the android departure.",Text Selector in Firefox for Android is Slow and Counter Productive.,1,,Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,Unable to close the app if webrtc is being used,[0.710793],,0
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,"Cannot correct email address of Firefox Account after creating an account, and unable to verify it",[0.68565136],,0,6,"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.",Android 7.1.2. It's most of the time even worse than in this picture: https://imgur.com/a/amXWr  Something like 40%. Had to switch to another browser in a meanwhile until it get fixed. Can I help you by sending some data or anything?,1,,Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,"Cannot correct email address of Firefox Account after creating an account, and unable to verify it",[0.68565136],,0
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication","Firefox Accounts reset password flow can confusingly lead to signing in on the browser, not the Android application",[0.67937326],,0,,"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.","since update to 52.0 long-tap on links doesn't open context menu, but only allows to copy selected text",0,,"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication","Firefox Accounts reset password flow can confusingly lead to signing in on the browser, not the Android application",[0.67937326],,0
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",Sometimes Firefox would require some permissions and don't ask for them,[0.6594273],,0,,Good browser but it is not possible tochange default download folder to external sd. Too bad.,"With ""don't keep activities"", possible to put the browser in a bad state where no pages load",0,,"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",Sometimes Firefox would require some permissions and don't ask for them,[0.6594273],,0
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",Firefox Accounts (Sign-Up) - Unimplemented re-send confirmation link,[0.65062207],,0,7,Browser doesn't work on home Depot website.,"display mode ""browser"" not supported",1,,"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",Firefox Accounts (Sign-Up) - Unimplemented re-send confirmation link,[0.65062207],,0
Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,Excessive battery usage,[0.6029842],,1,,"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work",Tapping on any search engine is unresponsive if all search engines are disabled,0,,Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,Excessive battery usage,[0.6029842],,1
Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,mdnsd - Firefox Android excessive battery usage,[0.5951351],,1,,Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,Custom Tabs load the page slow if the browser isn't in background,0,,Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,mdnsd - Firefox Android excessive battery usage,[0.5951351],,1
Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,"Talos ts_shutdown numbers look bogus, test takes >80 minutes",[0.5884665],,0,8,"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!",Back button doesn't work properly from about:accounts if not signed in to Sync,0,,Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,"Talos ts_shutdown numbers look bogus, test takes >80 minutes",[0.5884665],,0
Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,Download notification needed - Because automatical downloading starts without users' knowledge after tapping on pictures or opening some websites,[0.7355987],,0,,"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone","""Send Tab to Device"" screen intermittently lists no remote Sync devices and has disabled ""Send"" button",1,,Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,Download notification needed - Because automatical downloading starts without users' knowledge after tapping on pictures or opening some websites,[0.7355987],,0
Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,Facebook videos get 'video playback aborted due to a network error' overlay but play anyway,[0.72000384],,0,,"Not the best browser, struggles to download, display video properly in player, ect unlike chrome does. Only reason I'll keep using it is adblock support","Once Video is suspended by playing video in the Youtube app, it can't be restarted (and no video works)",1,,Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,Facebook videos get 'video playback aborted due to a network error' overlay but play anyway,[0.72000384],,0
Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,App update fails if Download folder doesn't exist,[0.71910703],,0,9,Hurry up and wait. This app is incredibly slow. Photos and videos take forever to load and when they do load the quality is very poor.,FF Mobile: [UX] Hard to close many tabs quickly because it is too easy to hit 'Undo' Close tab,0,,Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,App update fails if Download folder doesn't exist,[0.71910703],,0
"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.","[User Story] As an Android user, I want to change the name of a top sites item so i can more easily recover it later (mental queues)",[0.7354929],,0,,"Good app when it works, but it constantly crashes when starting up.",Auto-launch of downloads often launches the wrong app,0,,"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.","[User Story] As an Android user, I want to change the name of a top sites item so i can more easily recover it later (mental queues)",[0.7354929],,0
"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.","[Breakdown] As an Android user, I want to change the name of a top sites item so i can more easily recover it later (mental queues)",[0.72415596],,0,,"This browser is great, and the sync feature is also useful. My only problem here is: I noticed that this browser takes a lot of battery (9.35% of my power consumption for the last 12 hours - and I only used the app for half an hour)",Only getting half password stars on NYTimes login,0,,"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.","[Breakdown] As an Android user, I want to change the name of a top sites item so i can more easily recover it later (mental queues)",[0.72415596],,0
"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.","When I add a site to my homescreen it's ok for a few days then the symbol become the firefox symbol and I end up with a sea of Firefox symbols, why is this happening? It happen on my s3 and now my s5. Until this bug is fixed It's not worth using Firefox.",[0.7048217],,0,10,Good browser with great features. The scrolling speed is slow compared to chrome while also dropping fps count.but i use Firefox it Will be great if u cold fix these issues because this will make it perfect,Noticeable slowness in scrolling in Firefox compared to other browser on same system,1,,"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.","When I add a site to my homescreen it's ok for a few days then the symbol become the firefox symbol and I end up with a sea of Firefox symbols, why is this happening? It happen on my s3 and now my s5. Until this bug is fixed It's not worth using Firefox.",[0.7048217],,0
The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,"after sharing a page, Firefox reopens some other random page that was in a previously closed tab",[0.7352213],,0,,"I use only Firefox. Some bugs: sometimes I press the go button to browse to a website after typing a url and nothing happens until I close that tab and try with a new one. Today, long pressing links only seems to highlight text(can't open in a new tab). The tab interface should have a faster way to switch. Sometimes android warns me that Firefox is draining my battery.","when Firefox is not running and I send an intent to it from Google's home key swipe search, the website loads as the only tab, not a new one.",0,,The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,"after sharing a page, Firefox reopens some other random page that was in a previously closed tab",[0.7352213],,0
The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,Quitting firefox does not clear cache and history when clear-on-exit is set,[0.7215663],,0,,"Been using Firefox since version 3 on windows and was happy to see they made the Android version as I rather stick to a browser I already know and trust. Best thing about this is being able to sync my tabs between my PC and smartphone and it's as fast on my phone even with multiple tabs open and does not drain my battery. Disappointed that no add-ons I installed works so far, but maybe that will improve in the future.","When I add a site to my homescreen it's ok for a few days then the symbol become the firefox symbol and I end up with a sea of Firefox symbols, why is this happening? It happen on my s3 and now my s5. Until this bug is fixed It's not worth using Firefox.",0,,The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,Quitting firefox does not clear cache and history when clear-on-exit is set,[0.7215663],,0
The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,Opened pages are not rendered after reopening Firefox from background,[0.71291137],,1,11,"Good for privacy as it allows privacy minded extensions but the UI is absolutely terrible from a poweruser's perspective. Simple gestures like drag to reload is missing. No way to copy only the text portion of a link. No way to open a new tab from the detailed context menu when inside the tabs view (can only launch new tab with the + icon), and more.",Address bar can be selected and activates awesome screen although it is hidden and should not be there at all,0,,The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,Opened pages are not rendered after reopening Firefox from background,[0.71291137],,1
"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!",Opening large image kills the browser and home screen,[0.675546],,0,,"almost all of addons are not available for installation? what the hell happened,I keep getting connection failed error.i can't even install adguard extension...",no means to verify extension's authenticity when installing extension from a URL,1,,"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!",Opening large image kills the browser and home screen,[0.675546],,0
"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!",Incremental Scrolling is a horrible user experience,[0.6516444],,0,,I don't waste time with systems that don't work. Avoid the headaches don't waste time on this browser. Firefox not accepting my signin password so I cannot setup firefox as my browser. Firefox makes it almost impossible to get help.,On Facebook in comments YOU CAN NOT EDIT THE CURSER WILL NOT click and blink at the word being edited to fix a messed up typo .I thought by now Firefox would have fived the problem its really anoring you can't fix typos cause FIREFOX BUG .,0,,"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!",Incremental Scrolling is a horrible user experience,[0.6516444],,0
"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!","Full screen is black and ""the video playback was aborted due to corruption problem or because the video used features your browser did not support""",[0.64187783],,0,12,Not optimised for desktop modes like Samsung DeX. Scaling is terrible and there is no right-click functionality with a mouse. Will continue to use Samsung Internet instead.,Android Firefox - the 'urlbar-hiding-fullscreen-mode' doesn't work with 'fullheight-pages' that prevent touch scrolling,0,,"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!","Full screen is black and ""the video playback was aborted due to corruption problem or because the video used features your browser did not support""",[0.64187783],,0
"Firefox great as always in personal control, but horrible slow in the android departure.",Text Selector in Firefox for Android is Slow and Counter Productive.,[0.8049538],,1,,"Browser is so slow at loading pages and crashes the majority of the time I use it. Most of the time I get so frustrated with it that I go and use chrome because I dont have any issuess when I use chrome and I hate chrome and would prefer not to use it. I like the desktop version of firefox, but this mobile version is garbage. I never knew how bad a browser could be until I used this one. Almost every time I try to go to a new page it either takes 5 minutes to load or doesnt load or crashes.",Firefox for Android mobile has a massive bug  Because it keep going close while I am busy on a website,1,,"Firefox great as always in personal control, but horrible slow in the android departure.",Text Selector in Firefox for Android is Slow and Counter Productive.,[0.8049538],,1
"Firefox great as always in personal control, but horrible slow in the android departure.",Firefox Beta frequently closes itself on android 5.0 lollipop without error message,[0.7538613],,0,,"The browser always crash for no reason, this version is whacked I swear.",Opening large image kills the browser and home screen,0,,"Firefox great as always in personal control, but horrible slow in the android departure.",Firefox Beta frequently closes itself on android 5.0 lollipop without error message,[0.7538613],,0
"Firefox great as always in personal control, but horrible slow in the android departure.",Firefox app - loading page caused phone to slow,[0.747291],,0,13,1. The menu of the selected text does not show all options which the google chrome does. 2. the Pul-down to refresh doesn't work.,Menu button from Show me more (Sync settings) in Fx Android doesn't work,0,,"Firefox great as always in personal control, but horrible slow in the android departure.",Firefox app - loading page caused phone to slow,[0.747291],,0
"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.",Android 7.1.2. It's most of the time even worse than in this picture: https://imgur.com/a/amXWr  Something like 40%. Had to switch to another browser in a meanwhile until it get fixed. Can I help you by sending some data or anything?,[0.66978407],,1,,"Slow and with updates getting all the time more complicated to use. Still, is my go to browser, my only browser which I use when I need to trust the browser, f.ex shopping etc.",Custom Tabs load the page slow if the browser isn't in background,1,,"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.",Android 7.1.2. It's most of the time even worse than in this picture: https://imgur.com/a/amXWr  Something like 40%. Had to switch to another browser in a meanwhile until it get fixed. Can I help you by sending some data or anything?,[0.66978407],,1
"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","My addons aren't working correctly anymore, and when I try to log in to add-ons, wether from my android device or from PC, I can't",[0.6632869],,0,,"everytime I search directly in the address bar, either I need to do it again cause the browser doesn't detect the search, or I have to wait until the page is loaded to see if the web page was even doing anything in the first place. but otherwise, Mozilla is fantastic. Great mission. Good UI","Every time I minimise the browser and come back to browser it reloads the whole page ,as in use of more data",0,,"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","My addons aren't working correctly anymore, and when I try to log in to add-ons, wether from my android device or from PC, I can't",[0.6632869],,0
"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.",Disable proguard in the in-tree mozconfigs until it can more reliably build,[0.6444062],,0,14,Videos or songs don't stop playing after you shut down the app. Have to force stop or turn volume off to stop.,"Once Video is suspended by playing video in the Youtube app, it can't be restarted (and no video works)",0,,"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.",Disable proguard in the in-tree mozconfigs until it can more reliably build,[0.6444062],,0
"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.","since update to 52.0 long-tap on links doesn't open context menu, but only allows to copy selected text",[0.72628415],,0,,"I'm trying to cast to my roku, but there is no casting tab when I try to browse movies online.","[Roku] while one video is playing, weirdness happens when I search the web to start another video",0,,"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.","since update to 52.0 long-tap on links doesn't open context menu, but only allows to copy selected text",[0.72628415],,0
"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.",On Facebook in comments YOU CAN NOT EDIT THE CURSER WILL NOT click and blink at the word being edited to fix a messed up typo .I thought by now Firefox would have fived the problem its really anoring you can't fix typos cause FIREFOX BUG .,[0.7194917],,0,,"Not keen on firefox as a obile device browser. I was unable to download any pdf document, which as a uni student is very frustrating.",Bad experience with no Firefox browser installed,0,,"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.",On Facebook in comments YOU CAN NOT EDIT THE CURSER WILL NOT click and blink at the word being edited to fix a messed up typo .I thought by now Firefox would have fived the problem its really anoring you can't fix typos cause FIREFOX BUG .,[0.7194917],,0
"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.","Search suggestions are disabled in normal browsing after going to Settings without choosing to turn off search suggestions and with ""Don't keep activities"" enabled",[0.7150182],,0,15,was once best browser for android... now it got worse than before.... the extensions are not available for android ... when I hit on add-ons it shows me windows as platform...most extensions don't work... and flash support has been removed... after latest update it started to lag and crash on s9 plus android 9.0... Firefox was best for android...few years back.... did you have to mess it up like that?,Android 7.1.2. It's most of the time even worse than in this picture: https://imgur.com/a/amXWr  Something like 40%. Had to switch to another browser in a meanwhile until it get fixed. Can I help you by sending some data or anything?,0,,"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.","Search suggestions are disabled in normal browsing after going to Settings without choosing to turn off search suggestions and with ""Don't keep activities"" enabled",[0.7150182],,0
Good browser but it is not possible tochange default download folder to external sd. Too bad.,"With ""don't keep activities"", possible to put the browser in a bad state where no pages load",[0.7439664],,0,,"It's the slowest app on the planet. I've used it for years, for its ability to copy a file into a pdf. But the initial speed was always slow. I have it paired with my weather app. now and it takes a whole minute to 2 minutes to work the radar function.",My canvas html5 pages work fine until the last update. Now I can only see a white page. In desktop work fine.  I think is because the sound in my page.,0,,Good browser but it is not possible tochange default download folder to external sd. Too bad.,"With ""don't keep activities"", possible to put the browser in a bad state where no pages load",[0.7439664],,0
Good browser but it is not possible tochange default download folder to external sd. Too bad.,"Sites don't load, logcat says BrowserApp.selectedTab is null",[0.717208],,0,,Since the update the app crashes non stop and its so bad it messes up the crash report and the rest of my phone. It is straight trash someone should be fired for coding this garbage.,reloading the add-ons manager is ugly - perhaps disable it.,0,,Good browser but it is not possible tochange default download folder to external sd. Too bad.,"Sites don't load, logcat says BrowserApp.selectedTab is null",[0.717208],,0
Good browser but it is not possible tochange default download folder to external sd. Too bad.,"browser.js shouldn't send ""fromCache"":true flag when device is offline for tabs that couldn't load correctly (server not found, etc)",[0.70125484],,0,16,crashes nearly every time I use it for an extended period.,Repeated crashes,1,,Good browser but it is not possible tochange default download folder to external sd. Too bad.,"browser.js shouldn't send ""fromCache"":true flag when device is offline for tabs that couldn't load correctly (server not found, etc)",[0.70125484],,0
Browser doesn't work on home Depot website.,"display mode ""browser"" not supported",[0.72218466],,1,,"Slow, bad ui, and crashes a LOT. Horrible replacement for chrome in it's current state, Opera is faster and more stable.",Crash on stop attempt after display wake up - java.lang.NullPointerException @ org.mozilla.gecko.ChromeCast.end(ChromeCast.java:254),1,,Browser doesn't work on home Depot website.,"display mode ""browser"" not supported",[0.72218466],,1
Browser doesn't work on home Depot website.,"Sites don't load, logcat says BrowserApp.selectedTab is null",[0.7105082],,1,,"It is the best browser for android, shame it started crashing after 2 minutes of usage since the last update. Edit: a popup blocker seems to cause crashing, 4 stars for now.",Awesomescreen turns blank after the app has been open for too long,0,,Browser doesn't work on home Depot website.,"Sites don't load, logcat says BrowserApp.selectedTab is null",[0.7105082],,1
Browser doesn't work on home Depot website.,Request Desktop site does not work on Wikipedia,[0.70656425],,1,17,"I am trying to add an ad blocker and it leads to a page suggesting ads suitable for me. I dont really know what I am doing , except going round in circles!","Intermittent testReadingListProvider - TestUpdateItems | Date modified should have changed - didn't expect 1399491501493, but got it",0,,Browser doesn't work on home Depot website.,Request Desktop site does not work on Wikipedia,[0.70656425],,1
"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work",Tapping on any search engine is unresponsive if all search engines are disabled,[0.73695004],,0,,"Extremely high battery drain on my device. There are multiple people on forums everywhere complaining about this, I tried reinstalling, but that was a waste of time and, lost all my FF data because Sync didn't really synchronize my data. Back to finding another browser ffs.","Firefox 63.0.2 is showing a notification of a media file prompting to play which I never downloaded which is in a ""play queue"" which I can't find any documentation for, or setting to disable,  even though I closed all tabs.",0,,"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work",Tapping on any search engine is unresponsive if all search engines are disabled,[0.73695004],,0
"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work",The cursor can't move after change mail page.,[0.7330636],,0,,I am having an awful experience using Firefox on my android cell phone. Firefox keeps loading on my history pages that I have not accessed some of which are unacceptable sites. It also keeps disrupting my work flashing posts and adds. Everyday I have to Uninstal Firefox so that I can work on my cell. This does not happen on my table computer. What is going on is there a virus on this app? Getting very frustrated with Firefox.,Firefox for Android mobile has a massive bug  Because it keep going close while I am busy on a website,0,,"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work",The cursor can't move after change mail page.,[0.7330636],,0
