feedback,issue,distance,,,,,,,1 suggestion,,12/50,,,,,14/100,,,,Matching Bug Report,T5,Matching Bug Report,T5 nouns & verbs,Matching Bug Report,Sentence MiniLM,Matching Bug Report,Sentence MiniLM nouns & verbs
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,"My addons aren't working correctly anymore, and when I try to log in to add-ons, wether from my android device or from PC, I can't",0.73202056,0,,,,,,"Firefox great as always in personal control, but horrible slow in the android departure.","Firefox on android only capturing headset microphone (very low gain, inaudible at normal volumes)",1,,Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,"Since the latest update FF does not clean private data upon quitting nor can I manually clean it! Approximately 25% of the videos that I try to watch I get a response that says, incorrect mime type load viewer!",0.74525756,0,,,,TRUE,0.80248195,TRUE,0.63803375,TRUE,0.71461743,TRUE,0.6174818
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,Could not able to login to the application,0.72744906,0,,,,,,"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","Sites with large images OR zooming in on smaller images, Firefox shuts down and dumps to home screen. I've tested this numerous times and made sure it was my zooming that triggered the crash (it was).",0,,Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,"Since last update wont load proper page. Crrashes constantly,  runs bad scripts. Very frustrating.",0.7440864,0,,,,TRUE,0.83336973,TRUE,0.6154423,TRUE,0.6924752,TRUE,0.6091825
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication","Firefox Accounts (Sign-Up) - The show/hide button corners are incorrect on pre-(Gingerbread, v12, 3.0) devices",0.8032886,0,,,,,,"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.","When I add a site to my homescreen it's ok for a few days then the symbol become the firefox symbol and I end up with a sea of Firefox symbols, why is this happening? It happen on my s3 and now my s5. Until this bug is fixed It's not worth using Firefox.",0,,Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,Android 7.1.2. It's most of the time even worse than in this picture: https://imgur.com/a/amXWr  Something like 40%. Had to switch to another browser in a meanwhile until it get fixed. Can I help you by sending some data or anything?,0.82363796,0,,,,TRUE,0.8221152,TRUE,0.68505496,TRUE,0.5359441,TRUE,0.60847676
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",Intermittent TEST-UNEXPECTED-FAIL | testSettingsMenuItems | Waiting for settings item ^Import from Android$ in section ^Customize$ - The ^Import from Android$ option is present in section ^Customize$,0.79879355,0,,,,,,Good browser but it is not possible tochange default download folder to external sd. Too bad.,"Mapbox demo totally unusable in Firefox, works in the default browser (SkiaGL)",0,,Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,On Facebook in comments YOU CAN NOT EDIT THE CURSER WILL NOT click and blink at the word being edited to fix a messed up typo .I thought by now Firefox would have fived the problem its really anoring you can't fix typos cause FIREFOX BUG .,0.8098085,0,,,,TRUE,0.812506,TRUE,0.725899,TRUE,0.7632798,TRUE,0.4956206
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication","Fennec Bookmark Management: Collect information on how many users manage bookmarks using folders (create folder, remove folder, move bookmarks/folders into folders)",0.79838413,0,,,,,,Browser doesn't work on home Depot website.,Firefox android doesn't display home page on start.,0,,"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",Android 7.1.2. It's most of the time even worse than in this picture: https://imgur.com/a/amXWr  Something like 40%. Had to switch to another browser in a meanwhile until it get fixed. Can I help you by sending some data or anything?,0.7842439,0,,,,TRUE,0.79583806,TRUE,0.70869434,TRUE,0.75436586,TRUE,0.5994337
Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,"Since the latest update FF does not clean private data upon quitting nor can I manually clean it! Approximately 25% of the videos that I try to watch I get a response that says, incorrect mime type load viewer!",0.74525756,0,,,,,,"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work",On Facebook in comments YOU CAN NOT EDIT THE CURSER WILL NOT click and blink at the word being edited to fix a messed up typo .I thought by now Firefox would have fived the problem its really anoring you can't fix typos cause FIREFOX BUG .,0,,"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",ad shown in model popup whereas i configured over videojs and after completing ads model popup isn't closed. This issue just in firfox tablet version or sometimes ads where not shown,0.7838112,0,,,,TRUE,0.7928065,TRUE,0.7127286,TRUE,0.71233535,TRUE,0.58106655
Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,"Since last update wont load proper page. Crrashes constantly,  runs bad scripts. Very frustrating.",0.7440864,0,,,,,,Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,"Since last update wont load proper page. Crrashes constantly,  runs bad scripts. Very frustrating.",1,,The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,"Quit function is not working. App closes, but tabs still there when you reopen app.",0.84796965,0,,,,TRUE,0.77629346,TRUE,0.6402829,TRUE,0.61977494,TRUE,0.56078553
Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,"Only happening with latest version, But keep getting FFbeta draining battery too fast",0.7380252,1,,,,,,"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!",On Facebook in comments YOU CAN NOT EDIT THE CURSER WILL NOT click and blink at the word being edited to fix a messed up typo .I thought by now Firefox would have fived the problem its really anoring you can't fix typos cause FIREFOX BUG .,0,,The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,"Closing application do not really close tab and when open application back, we have to close previous tabs before using app",0.79774994,0,,,,TRUE,0.74303025,TRUE,0.6060642,TRUE,0.6162351,TRUE,0.6381398
Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,Android 7.1.2. It's most of the time even worse than in this picture: https://imgur.com/a/amXWr  Something like 40%. Had to switch to another browser in a meanwhile until it get fixed. Can I help you by sending some data or anything?,0.82363796,0,,,,,,"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone","Firefox 63.0.2 is showing a notification of a media file prompting to play which I never downloaded which is in a ""play queue"" which I can't find any documentation for, or setting to disable,  even though I closed all tabs.",0,,"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!","Firefox for android hides the top menu when scorlling and it doesn't show itself, nor are there any gestures to make it return on android 4+(phones not tablets as I've not checked them yet)",0.79235417,1,,,,TRUE,0.8173363,TRUE,0.60366935,TRUE,0.6138226,TRUE,0.5812155
Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,On Facebook in comments YOU CAN NOT EDIT THE CURSER WILL NOT click and blink at the word being edited to fix a messed up typo .I thought by now Firefox would have fived the problem its really anoring you can't fix typos cause FIREFOX BUG .,0.8098085,0,,,,,,"Not the best browser, struggles to download, display video properly in player, ect unlike chrome does. Only reason I'll keep using it is adblock support","Firefox android app don't reference the systems colors correctly, backgrounds is updating and text is not. This is app issue. See Screenshot to understand better",0,,"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!","Firefox failed to play an embedded video on a website.then I checked for other websites ,and there too it did not work.I have all the recent/updated versions of required plugins.",0.77722126,0,,,,FALSE,0.81190604,TRUE,0.66809183,TRUE,0.6587475,TRUE,0.5830481
Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,"Since the latest update FF does not clean private data upon quitting nor can I manually clean it! Approximately 25% of the videos that I try to watch I get a response that says, incorrect mime type load viewer!",0.7985126,0,,,,,,Hurry up and wait. This app is incredibly slow. Photos and videos take forever to load and when they do load the quality is very poor.,Load website is taking much longer then other browsers. It starts loading and halfway on the loading bar it stops from 3-5 seconds and starts again.,1,,"Firefox great as always in personal control, but horrible slow in the android departure.","Firefox on android only capturing headset microphone (very low gain, inaudible at normal volumes)",0.75407916,1,,,,FALSE,0.8011219,TRUE,0.65213805,TRUE,0.591541,TRUE,0.64183515
"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",Android 7.1.2. It's most of the time even worse than in this picture: https://imgur.com/a/amXWr  Something like 40%. Had to switch to another browser in a meanwhile until it get fixed. Can I help you by sending some data or anything?,0.7842439,0,,,,,,"Good app when it works, but it constantly crashes when starting up.","Quit function is not working. App closes, but tabs still there when you reopen app.",0,,"Firefox great as always in personal control, but horrible slow in the android departure.","Mapbox demo totally unusable in Firefox, works in the default browser (SkiaGL)",0.7502912,0,,,,FALSE,0.70851994,TRUE,0.63887376,TRUE,0.53688353,TRUE,0.6298843
"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",ad shown in model popup whereas i configured over videojs and after completing ads model popup isn't closed. This issue just in firfox tablet version or sometimes ads where not shown,0.7838112,0,,,,,,"This browser is great, and the sync feature is also useful. My only problem here is: I noticed that this browser takes a lot of battery (9.35% of my power consumption for the last 12 hours - and I only used the app for half an hour)","Since the latest update FF does not clean private data upon quitting nor can I manually clean it! Approximately 25% of the videos that I try to watch I get a response that says, incorrect mime type load viewer!",0,,"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","Sites with large images OR zooming in on smaller images, Firefox shuts down and dumps to home screen. I've tested this numerous times and made sure it was my zooming that triggered the crash (it was).",0.8136196,0,,,,FALSE,0.82669747,TRUE,0.8402283,TRUE,0.6292399,TRUE,0.6384982
"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.","When I add a site to my homescreen it's ok for a few days then the symbol become the firefox symbol and I end up with a sea of Firefox symbols, why is this happening? It happen on my s3 and now my s5. Until this bug is fixed It's not worth using Firefox.",0.78095233,0,,,,,,Good browser with great features. The scrolling speed is slow compared to chrome while also dropping fps count.but i use Firefox it Will be great if u cold fix these issues because this will make it perfect,Android 7.1.2. It's most of the time even worse than in this picture: https://imgur.com/a/amXWr  Something like 40%. Had to switch to another browser in a meanwhile until it get fixed. Can I help you by sending some data or anything?,1,,"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","When I add a site to my homescreen it's ok for a few days then the symbol become the firefox symbol and I end up with a sea of Firefox symbols, why is this happening? It happen on my s3 and now my s5. Until this bug is fixed It's not worth using Firefox.",0.8040294,0,,,,FALSE,0.8034276,TRUE,0.69373965,TRUE,0.62291646,TRUE,0.585624
The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,"Quit function is not working. App closes, but tabs still there when you reopen app.",0.84796965,0,,,,,,"I use only Firefox. Some bugs: sometimes I press the go button to browse to a website after typing a url and nothing happens until I close that tab and try with a new one. Today, long pressing links only seems to highlight text(can't open in a new tab). The tab interface should have a faster way to switch. Sometimes android warns me that Firefox is draining my battery.","When I add a site to my homescreen it's ok for a few days then the symbol become the firefox symbol and I end up with a sea of Firefox symbols, why is this happening? It happen on my s3 and now my s5. Until this bug is fixed It's not worth using Firefox.",0,,"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.","When I add a site to my homescreen it's ok for a few days then the symbol become the firefox symbol and I end up with a sea of Firefox symbols, why is this happening? It happen on my s3 and now my s5. Until this bug is fixed It's not worth using Firefox.",0.82319987,0,,,,FALSE,0.749772,TRUE,0.6865677,TRUE,0.68447655,TRUE,0.5774646
The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,"Closing application do not really close tab and when open application back, we have to close previous tabs before using app",0.79774994,0,,,,,,"Been using Firefox since version 3 on windows and was happy to see they made the Android version as I rather stick to a browser I already know and trust. Best thing about this is being able to sync my tabs between my PC and smartphone and it's as fast on my phone even with multiple tabs open and does not drain my battery. Disappointed that no add-ons I installed works so far, but maybe that will improve in the future.","Sites with large images OR zooming in on smaller images, Firefox shuts down and dumps to home screen. I've tested this numerous times and made sure it was my zooming that triggered the crash (it was).",0,,"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.","when Firefox is not running and I send an intent to it from Google's home key swipe search, the website loads as the only tab, not a new one.",0.8139372,0,,,,FALSE,0.73202056,TRUE,0.66979676,TRUE,0.6780039,TRUE,0.5702678
The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,"Regression: Sometimes thumbnails in the tabs drawer are not updated, they expire",0.7858269,0,,,,,,"Good for privacy as it allows privacy minded extensions but the UI is absolutely terrible from a poweruser's perspective. Simple gestures like drag to reload is missing. No way to copy only the text portion of a link. No way to open a new tab from the detailed context menu when inside the tabs view (can only launch new tab with the + icon), and more.","In an installed Open Web App on android, content opened in a new tab can't be accessed (when opened via context-menu or via author configuring their links to spawn new tabs in e.g. Twitter)",1,,Good browser but it is not possible tochange default download folder to external sd. Too bad.,"Mapbox demo totally unusable in Firefox, works in the default browser (SkiaGL)",0.79938865,0,,,,FALSE,0.72744906,TRUE,0.64119,TRUE,0.59619,TRUE,0.5636933
"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!","Firefox for android hides the top menu when scorlling and it doesn't show itself, nor are there any gestures to make it return on android 4+(phones not tablets as I've not checked them yet)",0.79235417,1,,,,,,"almost all of addons are not available for installation? what the hell happened,I keep getting connection failed error.i can't even install adguard extension...","Firefox failed to play an embedded video on a website.then I checked for other websites ,and there too it did not work.I have all the recent/updated versions of required plugins.",0,,Good browser but it is not possible tochange default download folder to external sd. Too bad.,"Firefox failed to play an embedded video on a website.then I checked for other websites ,and there too it did not work.I have all the recent/updated versions of required plugins.",0.7865277,0,,,,FALSE,0.8032886,TRUE,0.68723047,TRUE,0.71312153,TRUE,0.6143019
"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!","Firefox failed to play an embedded video on a website.then I checked for other websites ,and there too it did not work.I have all the recent/updated versions of required plugins.",0.77722126,0,,,,,,I don't waste time with systems that don't work. Avoid the headaches don't waste time on this browser. Firefox not accepting my signin password so I cannot setup firefox as my browser. Firefox makes it almost impossible to get help.,On Facebook in comments YOU CAN NOT EDIT THE CURSER WILL NOT click and blink at the word being edited to fix a messed up typo .I thought by now Firefox would have fived the problem its really anoring you can't fix typos cause FIREFOX BUG .,0,,Browser doesn't work on home Depot website.,Firefox android doesn't display home page on start.,0.8421546,0,,,,FALSE,0.79879355,TRUE,0.6376353,TRUE,0.6569941,TRUE,0.59374356
"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!",Android 7.1.2. It's most of the time even worse than in this picture: https://imgur.com/a/amXWr  Something like 40%. Had to switch to another browser in a meanwhile until it get fixed. Can I help you by sending some data or anything?,0.7602486,0,,,,,,Not optimised for desktop modes like Samsung DeX. Scaling is terrible and there is no right-click functionality with a mouse. Will continue to use Samsung Internet instead.,HTML5 videos fullscreen is not disabled when minimizing the app - could lead to focusing other tabs without access to the awesomebar,0,,Browser doesn't work on home Depot website.,Firefox Beta doesn't show mobile versions of websites.,0.7994606,0,,,,FALSE,0.79838413,TRUE,0.563223,TRUE,0.61673003,TRUE,0.5700736
"Firefox great as always in personal control, but horrible slow in the android departure.","Firefox on android only capturing headset microphone (very low gain, inaudible at normal volumes)",0.75407916,1,,,,,,"Browser is so slow at loading pages and crashes the majority of the time I use it. Most of the time I get so frustrated with it that I go and use chrome because I dont have any issuess when I use chrome and I hate chrome and would prefer not to use it. I like the desktop version of firefox, but this mobile version is garbage. I never knew how bad a browser could be until I used this one. Almost every time I try to go to a new page it either takes 5 minutes to load or doesnt load or crashes.","Sites with large images OR zooming in on smaller images, Firefox shuts down and dumps to home screen. I've tested this numerous times and made sure it was my zooming that triggered the crash (it was).",1,,"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work",On Facebook in comments YOU CAN NOT EDIT THE CURSER WILL NOT click and blink at the word being edited to fix a messed up typo .I thought by now Firefox would have fived the problem its really anoring you can't fix typos cause FIREFOX BUG .,0.8318211,0,,,,FALSE,0.74525756,TRUE,0.66818184,TRUE,0.607865,TRUE,0.5903134
"Firefox great as always in personal control, but horrible slow in the android departure.","Mapbox demo totally unusable in Firefox, works in the default browser (SkiaGL)",0.7502912,0,,,,,,"The browser always crash for no reason, this version is whacked I swear.","Full screen is black and ""the video playback was aborted due to corruption problem or because the video used features your browser did not support""",0,,"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work","browser.js shouldn't send ""fromCache"":true flag when device is offline for tabs that couldn't load correctly (server not found, etc)",0.8138058,0,,,,FALSE,0.7440864,TRUE,0.5518935,TRUE,0.5996408,TRUE,0.5831073
"Firefox great as always in personal control, but horrible slow in the android departure.","Page start playing sound, even with Firefox for Android in the background.",0.746436,0,,,,,,1. The menu of the selected text does not show all options which the google chrome does. 2. the Pul-down to refresh doesn't work.,"When using The Time site,  comments are not displayed.  When clicking 'add a comment'  it jumps to the top of the pages.  This all works fine in mobile Chrome.",0,,Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,"Since last update wont load proper page. Crrashes constantly,  runs bad scripts. Very frustrating.",0.8073905,1,,,,FALSE,0.82363796,TRUE,0.73451054,TRUE,0.59279734,TRUE,0.5011363
"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","Sites with large images OR zooming in on smaller images, Firefox shuts down and dumps to home screen. I've tested this numerous times and made sure it was my zooming that triggered the crash (it was).",0.8136196,0,,,,,,"Slow and with updates getting all the time more complicated to use. Still, is my go to browser, my only browser which I use when I need to trust the browser, f.ex shopping etc.","Since the latest update FF does not clean private data upon quitting nor can I manually clean it! Approximately 25% of the videos that I try to watch I get a response that says, incorrect mime type load viewer!",0,,Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,Firefox Focus : Already loaded tabs are reloading while switching (excess data usage?). Pls fix.,0.7954047,0,,,,FALSE,0.8098085,TRUE,0.707726,TRUE,0.523124,TRUE,0.5206159
