feedback,issue,distance,17��150,,,,5/50,,,feedback,issue,distance,12/100
"Everything all right but two small things - it is very uncomfortable for me that there is no delete option inside message, and I can't share multiple photos at once.",After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,0.7578532,0,,"Don't use unless you want to lose your messages. Terrible backup restoration support. The backup file has to be in a particular directory on the first launch, or it doesn't even show the option for restoring a backup.",[4.25.1] Signal crashes when trying to use shortcuts with a launcher that doesn't support it.,0,,,"good for privacy but a bunch of glitches. on rare occasion, it will suddenly send me a few hours' worth of texts - and not in chronological order either. i believe it's because Signal spontaneously relies on my phone's data being switched on to receive messages, despite that the senders are not fellow Signal users nor sending me encrypted messages. also it occasionally shuts down because of some error, making me lose whatever i was composing.",I figured out the problem and was able to install signal-desktop successfully. It turned out that my system was in a weird state after upgrading from Debian `jessie` to `stretch`. So nothing was or is wrong with signal-desktop and I'm sorry for the noise.,0.78627956,0
"Everything all right but two small things - it is very uncomfortable for me that there is no delete option inside message, and I can't share multiple photos at once.","profiles: the ""share profile banner"" takes so much space that the quick reply function does not even display the first unread message",0.7556263,0,6,"Keep seeing reviews that the update messed up the app. I didnt have the app before the update so cant comment on that. The app seems to be working fine for me. I like the interface and settings available. Calls routed through their servers arent super clear though, but you can choose to use your provider.","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0,,,"good for privacy but a bunch of glitches. on rare occasion, it will suddenly send me a few hours' worth of texts - and not in chronological order either. i believe it's because Signal spontaneously relies on my phone's data being switched on to receive messages, despite that the senders are not fellow Signal users nor sending me encrypted messages. also it occasionally shuts down because of some error, making me lose whatever i was composing.",HTC One M8 - crashes when I try to send encrypted msgs.  (non-encrypted is fine),0.7791409,0
"It never saves my groups or the group name, making it very irritating to text my family. You also can't send more than one photo. -Moto G7, Android 9.",The Android share signal link links to only an ios download and isn't smarter. [ easy ish fix ],0.79101783,0,,"My signal app keeps crashing when I try to open it. I contacted support twice over the past 2 weeks, but haven't received any response. I get the impression that signal deleted my data somehow. Nice that privacy is the highest priority, but it's also nice to still have your data.",After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,0,,,"General a good secure app, voice calls sometimes glitches.","Android Auto - No audible alerts for secure msg, SMS alerts even when muted.",0.72007596,0
"It never saves my groups or the group name, making it very irritating to text my family. You also can't send more than one photo. -Moto G7, Android 9.",HTC One M8 - crashes when I try to send encrypted msgs.  (non-encrypted is fine),0.7903077,0,,"Excellent application that can bring encryption and privacy to the masses. I would love to see integrated: OTR (OFF THE RECORD) messaging capabilities to add the ultimate privacy experience. Small issue: messages sent using android API don't show up in history but work. Makes conversations had after sending a message using voice commands a bit confusing. But because they work i didn't penalize you, unless it's not fixed.. then i will adjust. 😉","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0,,,"General a good secure app, voice calls sometimes glitches.",Huge battery drain when on cellular data and no Google Play services,0.7171708,0
"It never saves my groups or the group name, making it very irritating to text my family. You also can't send more than one photo. -Moto G7, Android 9.","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0.76940024,0,7,Messages tend to send out of order in group chats. The recovery key is hit or miss. I lost a lot of conversations after doing a restore. Definitely used to be better.,"Incoming calls over VPN take extremely long to ""connect"" (85-250s). (the VPN in question works well with other VoIP, i.e. plaintext calls with Groundwire + callcentric)",0,,,"it is a good app. i am mostly satisfied with it but sometimes, the notifications would not work; so, I would not know that someone messaged me until I open the app. it might have been fixed because it hasn't been happening in the last month or so. Would recommended.",I figured out the problem and was able to install signal-desktop successfully. It turned out that my system was in a weird state after upgrading from Debian `jessie` to `stretch`. So nothing was or is wrong with signal-desktop and I'm sorry for the noise.,0.7910198,0
"good for privacy but a bunch of glitches. on rare occasion, it will suddenly send me a few hours' worth of texts - and not in chronological order either. i believe it's because Signal spontaneously relies on my phone's data being switched on to receive messages, despite that the senders are not fellow Signal users nor sending me encrypted messages. also it occasionally shuts down because of some error, making me lose whatever i was composing.",I figured out the problem and was able to install signal-desktop successfully. It turned out that my system was in a weird state after upgrading from Debian `jessie` to `stretch`. So nothing was or is wrong with signal-desktop and I'm sorry for the noise.,0.78627956,0,,i message my boyfriend with this exclusively instead of text. love it. calls are spotty but they sound terrific when it works. not a huge fan of the video chat since it doesn't rotate to landscape and you cant move your selfie-cam window,"Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0,,,"it is a good app. i am mostly satisfied with it but sometimes, the notifications would not work; so, I would not know that someone messaged me until I open the app. it might have been fixed because it hasn't been happening in the last month or so. Would recommended.","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0.7858636,0
"good for privacy but a bunch of glitches. on rare occasion, it will suddenly send me a few hours' worth of texts - and not in chronological order either. i believe it's because Signal spontaneously relies on my phone's data being switched on to receive messages, despite that the senders are not fellow Signal users nor sending me encrypted messages. also it occasionally shuts down because of some error, making me lose whatever i was composing.",HTC One M8 - crashes when I try to send encrypted msgs.  (non-encrypted is fine),0.7791409,0,,Connection issues. Keep getting kicked off on call. Callers soind robotic most of the time. Not very reliable. Text messaging works well though.,Disappearing time on header glitched if I open chat horizontally while using larger fonts,0,,,Opened up my SMSes today and was locked out from them by Signal. It is insisting I create a pin so it can upload data to their cloud servers. I feel like they have violated my trust.,I figured out the problem and was able to install signal-desktop successfully. It turned out that my system was in a weird state after upgrading from Debian `jessie` to `stretch`. So nothing was or is wrong with signal-desktop and I'm sorry for the noise.,0.7649959,0
"good for privacy but a bunch of glitches. on rare occasion, it will suddenly send me a few hours' worth of texts - and not in chronological order either. i believe it's because Signal spontaneously relies on my phone's data being switched on to receive messages, despite that the senders are not fellow Signal users nor sending me encrypted messages. also it occasionally shuts down because of some error, making me lose whatever i was composing.","Incoming calls over VPN take extremely long to ""connect"" (85-250s). (the VPN in question works well with other VoIP, i.e. plaintext calls with Groundwire + callcentric)",0.7736651,0,8,"So here's a really basic issue: playback pauses as soon as the screen is turned off, regardless of whether this is due to locking the screen. My phone turns off the screen if I hold it next to my cheek. This makes listening to audio-messages in private without headphones nigh-impossible.",We've removed the blue color from the checkmarks in favor of filling the checkmarks in to indicate that a message was read. Not using blue gives us a little more wiggle room to play with bubble colors in the future.,0,,,Opened up my SMSes today and was locked out from them by Signal. It is insisting I create a pin so it can upload data to their cloud servers. I feel like they have violated my trust.,"Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0.74915797,0
"General a good secure app, voice calls sometimes glitches.","Android Auto - No audible alerts for secure msg, SMS alerts even when muted.",0.72007596,0,,"Photos don't come out right, even when sent/recieved from non-signal users. Will bump this back up to 5 stars when fixed :)",[SOLVED] Signal doesn't add itself as account in Settings/ Accounts and can't be added either (greyed out) -> no contacts,0,,,Is the notification dot supposed to work? is annoying it doesnt show when there are unread messages. In general I feel Signal is worse at highlighting unread threads. I am also lacking a way to Mark as Unread for later.,After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,0.7802656,1
"General a good secure app, voice calls sometimes glitches.",Huge battery drain when on cellular data and no Google Play services,0.7171708,0,,what is going on with group chats... I don't seem to be getting them consistently. some I get some I don't. I can't get group chats if I don't start them.... what's up?,"Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0,,,Is the notification dot supposed to work? is annoying it doesnt show when there are unread messages. In general I feel Signal is worse at highlighting unread threads. I am also lacking a way to Mark as Unread for later.,"Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0.7569847,0
"General a good secure app, voice calls sometimes glitches.","Contact check prooves only Phone Numbers and not E-Mail, etc.",0.6970211,0,9,Was fine for plain text messages but when I received a vCard for a contact it froze my Samsung Note 8. Had to switch to a different app that could handle MMS.,"i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",0,,,"Don't use unless you want to lose your messages. Terrible backup restoration support. The backup file has to be in a particular directory on the first launch, or it doesn't even show the option for restoring a backup.",[4.25.1] Signal crashes when trying to use shortcuts with a launcher that doesn't support it.,0.78818357,0
"it is a good app. i am mostly satisfied with it but sometimes, the notifications would not work; so, I would not know that someone messaged me until I open the app. it might have been fixed because it hasn't been happening in the last month or so. Would recommended.",I figured out the problem and was able to install signal-desktop successfully. It turned out that my system was in a weird state after upgrading from Debian `jessie` to `stretch`. So nothing was or is wrong with signal-desktop and I'm sorry for the noise.,0.7910198,0,,Call gets dropped frequently. Most of the time if someone calls me I am only notified after they hang up as a missed call. Same happens if I call them too. They don't get the call and just get a missed call notification.,"Other party cannot see my video when I call them. When they call me, everything works fine.",0,,,"Don't use unless you want to lose your messages. Terrible backup restoration support. The backup file has to be in a particular directory on the first launch, or it doesn't even show the option for restoring a backup.","Signal can't be updated if the persistent ""Background connection enabled"" notification is hidden.",0.7746762,0
"it is a good app. i am mostly satisfied with it but sometimes, the notifications would not work; so, I would not know that someone messaged me until I open the app. it might have been fixed because it hasn't been happening in the last month or so. Would recommended.","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0.7858636,0,,"I received odd texts after installing this app. Will not use as a default, too scary.",I am not able to compile the textsecure code in eclipse android..... to many errors,0,,,"Keep seeing reviews that the update messed up the app. I didnt have the app before the update so cant comment on that. The app seems to be working fine for me. I like the interface and settings available. Calls routed through their servers arent super clear though, but you can choose to use your provider.","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0.7992573,0
"it is a good app. i am mostly satisfied with it but sometimes, the notifications would not work; so, I would not know that someone messaged me until I open the app. it might have been fixed because it hasn't been happening in the last month or so. Would recommended.",After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,0.78113306,0,10,"Really like the app and have managed to get friends and family to move over to get away from the large FB owned message app BUT what's the problem with calls? My phone doesn't ring, it only shows missed calls. I've done everything to try and rectify this but nothing works. Do I really need to go back to the data thieves?","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0,,,"Keep seeing reviews that the update messed up the app. I didnt have the app before the update so cant comment on that. The app seems to be working fine for me. I like the interface and settings available. Calls routed through their servers arent super clear though, but you can choose to use your provider.",After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,0.79120415,0
Opened up my SMSes today and was locked out from them by Signal. It is insisting I create a pin so it can upload data to their cloud servers. I feel like they have violated my trust.,I figured out the problem and was able to install signal-desktop successfully. It turned out that my system was in a weird state after upgrading from Debian `jessie` to `stretch`. So nothing was or is wrong with signal-desktop and I'm sorry for the noise.,0.7649959,0,,Messages sent from none signal subscribers (like my bank) seem to take 10 to 15 minutes to arrive. Sometimes even longer.,"Incoming calls over VPN take extremely long to ""connect"" (85-250s). (the VPN in question works well with other VoIP, i.e. plaintext calls with Groundwire + callcentric)",0,,,"My signal app keeps crashing when I try to open it. I contacted support twice over the past 2 weeks, but haven't received any response. I get the impression that signal deleted my data somehow. Nice that privacy is the highest priority, but it's also nice to still have your data.",After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,0.78646415,0
Opened up my SMSes today and was locked out from them by Signal. It is insisting I create a pin so it can upload data to their cloud servers. I feel like they have violated my trust.,"Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0.74915797,0,,"I enjoy the app but I never get a notification when I receive a message, even though I adjusted my settings.",Sometimes I don't receive Signal Messages until I open the app,1,,,"My signal app keeps crashing when I try to open it. I contacted support twice over the past 2 weeks, but haven't received any response. I get the impression that signal deleted my data somehow. Nice that privacy is the highest priority, but it's also nice to still have your data.",I'm having problems sending unsecured SMS. I've included the debug log. Thanks.,0.7844135,0
Opened up my SMSes today and was locked out from them by Signal. It is insisting I create a pin so it can upload data to their cloud servers. I feel like they have violated my trust.,I'm having problems sending unsecured SMS. I've included the debug log. Thanks.,0.7402778,0,11,"Notifications often do not clear after reading messages. Chat itself works well but this bug is quite annoying. Update: months later this bug is actually worse, notifications still often remain after hours.","Attach any document (image, audio) causes crash with message: Unfortunately, Documents has stopped.",0,,,"Excellent application that can bring encryption and privacy to the masses. I would love to see integrated: OTR (OFF THE RECORD) messaging capabilities to add the ultimate privacy experience. Small issue: messages sent using android API don't show up in history but work. Makes conversations had after sending a message using voice commands a bit confusing. But because they work i didn't penalize you, unless it's not fixed.. then i will adjust. 😉","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0.8138291,0
Is the notification dot supposed to work? is annoying it doesnt show when there are unread messages. In general I feel Signal is worse at highlighting unread threads. I am also lacking a way to Mark as Unread for later.,After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,0.7802656,1,,Forced to use a PIN number. Which I don't want to use. Deleted the app because it froze and when I reinstalled it all my messages were gone. Lost a ton of information. Garbage.,I figured out the problem and was able to install signal-desktop successfully. It turned out that my system was in a weird state after upgrading from Debian `jessie` to `stretch`. So nothing was or is wrong with signal-desktop and I'm sorry for the noise.,0,,,"Excellent application that can bring encryption and privacy to the masses. I would love to see integrated: OTR (OFF THE RECORD) messaging capabilities to add the ultimate privacy experience. Small issue: messages sent using android API don't show up in history but work. Makes conversations had after sending a message using voice commands a bit confusing. But because they work i didn't penalize you, unless it's not fixed.. then i will adjust. 😉",HTC One M8 - crashes when I try to send encrypted msgs.  (non-encrypted is fine),0.7970324,0
Is the notification dot supposed to work? is annoying it doesnt show when there are unread messages. In general I feel Signal is worse at highlighting unread threads. I am also lacking a way to Mark as Unread for later.,"Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0.7569847,0,,Earlier this app used to run very smoothly but from past few days as soon as I'm opening this app it immediately colses by itself. What is wrong has happened. Just fix it,I figured out the problem and was able to install signal-desktop successfully. It turned out that my system was in a weird state after upgrading from Debian `jessie` to `stretch`. So nothing was or is wrong with signal-desktop and I'm sorry for the noise.,0,,,Messages tend to send out of order in group chats. The recovery key is hit or miss. I lost a lot of conversations after doing a restore. Definitely used to be better.,"Incoming calls over VPN take extremely long to ""connect"" (85-250s). (the VPN in question works well with other VoIP, i.e. plaintext calls with Groundwire + callcentric)",0.7580873,0
Is the notification dot supposed to work? is annoying it doesnt show when there are unread messages. In general I feel Signal is worse at highlighting unread threads. I am also lacking a way to Mark as Unread for later.,We've removed the blue color from the checkmarks in favor of filling the checkmarks in to indicate that a message was read. Not using blue gives us a little more wiggle room to play with bubble colors in the future.,0.75574946,0,12,So confusing! Most messages are significantly delayed and it's hard to tell who they're from and how to respond to the right person.,texts from another user are coming encrypted and i can't read them.,0,,,Messages tend to send out of order in group chats. The recovery key is hit or miss. I lost a lot of conversations after doing a restore. Definitely used to be better.,We've removed the blue color from the checkmarks in favor of filling the checkmarks in to indicate that a message was read. Not using blue gives us a little more wiggle room to play with bubble colors in the future.,0.75774926,0
"Don't use unless you want to lose your messages. Terrible backup restoration support. The backup file has to be in a particular directory on the first launch, or it doesn't even show the option for restoring a backup.",[4.25.1] Signal crashes when trying to use shortcuts with a launcher that doesn't support it.,0.78818357,0,,"App closes every time I try to read a message or send one. Have cleared cache, all data and restarted it. Can't add numbers or send messages. Very strange.",After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,0,,,i message my boyfriend with this exclusively instead of text. love it. calls are spotty but they sound terrific when it works. not a huge fan of the video chat since it doesn't rotate to landscape and you cant move your selfie-cam window,"Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0.79940176,0
"Don't use unless you want to lose your messages. Terrible backup restoration support. The backup file has to be in a particular directory on the first launch, or it doesn't even show the option for restoring a backup.","Signal can't be updated if the persistent ""Background connection enabled"" notification is hidden.",0.7746762,0,,Never fails even when no regular phone signal. Update to my opinion of this app. Has become very user unfriendly. Won't let you use the app unless you meet their demands every 2 seconds while you are trying to use it. I am uninstalling it.,"Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0,,,i message my boyfriend with this exclusively instead of text. love it. calls are spotty but they sound terrific when it works. not a huge fan of the video chat since it doesn't rotate to landscape and you cant move your selfie-cam window,"Can't make or receive calls with iPhones, missed calls appear but not like other cases have read alot of breads here, possibly compatibility problem with Huawei p20 pro",0.76874155,0
"Don't use unless you want to lose your messages. Terrible backup restoration support. The backup file has to be in a particular directory on the first launch, or it doesn't even show the option for restoring a backup.","Signal 4.58.5 creates backups it cannot restore: ""Cannot restore backup from newer version of Signal""",0.7745285,0,13,"Update, after one year use. No favorite or star tool for needed messages.Forward them to the notes to self. I had issues with uploading media, documents, photos or videos. It doesn't allow uploading multiple ones, and sometimes the app freezes on uploading and holds on all following messages. For unknowns reasons, the calling service does not connect. I have these issues in multiple countries, including the US, and multiple devices, Android or iOS.","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",0,,,Connection issues. Keep getting kicked off on call. Callers soind robotic most of the time. Not very reliable. Text messaging works well though.,Disappearing time on header glitched if I open chat horizontally while using larger fonts,0.7553765,0
