feedback,issue,distance,,28/150
04/21/2019 = The new VCL update for Android sucks. It has my music files all messed up. If something is not broken don't fix it,VLC for Android crash triggers video playback failure device-wide,[0.68118966],,0
04/21/2019 = The new VCL update for Android sucks. It has my music files all messed up. If something is not broken don't fix it,Crashing Android app by playing a song via upnp with corrupt metadata,[0.67904747],,0
04/21/2019 = The new VCL update for Android sucks. It has my music files all messed up. If something is not broken don't fix it,A particular file cause crashing the player (Android),[0.6752726],,0
"This app is amazing man, I have tried playing a movie in inbuilt players and share it player too, but the movie didn't played with audio. VLC fixed the issue. Thanks",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.73344976],,0
"This app is amazing man, I have tried playing a movie in inbuilt players and share it player too, but the movie didn't played with audio. VLC fixed the issue. Thanks",problem with playing videos (.flv ) when I try it from onother application on android,[0.6740582],,0
"This app is amazing man, I have tried playing a movie in inbuilt players and share it player too, but the movie didn't played with audio. VLC fixed the issue. Thanks",Videos fail to played by VLC player after the firsttime,[0.6727364],,0
"Background play I love that background play is an option now, seeing that my phones video player doesn't have the best format adaptive capability. But the BGP doesn't last long and cuts out randomly back to the screen I'm using. I'm sure it will get better! Still a great tool for android!",VLC for Android hangs when focused for huge audio library and fast scrolling is glitchy,[0.6327172],,0
"Background play I love that background play is an option now, seeing that my phones video player doesn't have the best format adaptive capability. But the BGP doesn't last long and cuts out randomly back to the screen I'm using. I'm sure it will get better! Still a great tool for android!",Android: Changed playback speed is forgotten after app is sent to background,[0.6160763],,0
"Background play I love that background play is an option now, seeing that my phones video player doesn't have the best format adaptive capability. But the BGP doesn't last long and cuts out randomly back to the screen I'm using. I'm sure it will get better! Still a great tool for android!",Vlc background service causing malfunction in other media players in android 2.3.4,[0.59905225],,0
"For 5 stars: * Enable pinch zoom * It constantly scans for new media when the phone wakes, despite it being disabled.","VLC Android Crash always after some events (Folder scan preferences, for example)",[0.55925095],,1
"For 5 stars: * Enable pinch zoom * It constantly scans for new media when the phone wakes, despite it being disabled.",VLC encountered an error with this media. Please try refreshing the media library,[0.550238],,0
"For 5 stars: * Enable pinch zoom * It constantly scans for new media when the phone wakes, despite it being disabled.",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.5466718],,0
It's crashing when I am streaming a video from youtube! 🙄,VLC crash after deleting a video,[0.716513],,1
It's crashing when I am streaming a video from youtube! 🙄,YouTube video doesn't play anymore,[0.68555444],,1
It's crashing when I am streaming a video from youtube! 🙄,Android VLC crash when seeking mp4 videos,[0.6783693],,1
"VLC player is not working fine now, starts player after trying 2-3 times.",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.6874151],,1
"VLC player is not working fine now, starts player after trying 2-3 times.",VLC Android (1.3.1): HLS Streaming is not working,[0.6653671],,1
"VLC player is not working fine now, starts player after trying 2-3 times.","After plug in USB drive, VLC will not work normally and pop up the error message.",[0.6605189],,0
"The app was working fantastically, until it was updated. For some reason it has trouble finding my video and audio files on my local storage. I travel a lot and I often download my media entertainments so I can be distracted on the go. Please fix issues because I love VLC!!! Been my go-to media player since 2012.",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.6965071],,0
"The app was working fantastically, until it was updated. For some reason it has trouble finding my video and audio files on my local storage. I travel a lot and I often download my media entertainments so I can be distracted on the go. Please fix issues because I love VLC!!! Been my go-to media player since 2012.",VLC on Android often loses track of the network drive it's been reading,[0.6191318],,0
"The app was working fantastically, until it was updated. For some reason it has trouble finding my video and audio files on my local storage. I travel a lot and I often download my media entertainments so I can be distracted on the go. Please fix issues because I love VLC!!! Been my go-to media player since 2012.",VLC encountered an error with this media. Please try refreshing the media library,[0.61513203],,0
"Why does this app seem to time out so quickly when playback is paused??? What's the point of Adding a folder to Favourites, if there's nowhere to view Favorites??? Why won't this app remember where it was in a playlist and allow for resuming from there?",Android: Changed playback speed is forgotten after app is sent to background,[0.7241529],,1
"Why does this app seem to time out so quickly when playback is paused??? What's the point of Adding a folder to Favourites, if there's nowhere to view Favorites??? Why won't this app remember where it was in a playlist and allow for resuming from there?",Podcast stops playing when VLC player goes to background,[0.6339488],,0
"Why does this app seem to time out so quickly when playback is paused??? What's the point of Adding a folder to Favourites, if there's nowhere to view Favorites??? Why won't this app remember where it was in a playlist and allow for resuming from there?","While playing files, either mp4 or flv, the player randomly stops",[0.6327202],,0
"Recent update makes it useless, will be uninstalling. as mentioned by others, dropping in an album folder on phone no longer works as it's displays the whole albums contents as individual albums! useless.",Delete a media also erase last playlist,[0.6523829],,0
"Recent update makes it useless, will be uninstalling. as mentioned by others, dropping in an album folder on phone no longer works as it's displays the whole albums contents as individual albums! useless.",Deleting a playlist deletes the first track's file as well,[0.5729004],,0
"Recent update makes it useless, will be uninstalling. as mentioned by others, dropping in an album folder on phone no longer works as it's displays the whole albums contents as individual albums! useless.","Video playback can fail to start, freezing the whole app",[0.57179534],,0
"I've been using VLC for years, desktop and android versions. Since the latest update, i've been having a little trouble with screen ratio not auto adjusting on my Acer Chromebook 15. Once I load a video it will play but the bottom of the screen is cut off (where the play button is) in which I have to manually press pause than play again to fix the aspect ratio of the screen size. (Not a big deal and I hope it makes sense the way I explained, I can send a picture however)",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.72680557],,0
"I've been using VLC for years, desktop and android versions. Since the latest update, i've been having a little trouble with screen ratio not auto adjusting on my Acer Chromebook 15. Once I load a video it will play but the bottom of the screen is cut off (where the play button is) in which I have to manually press pause than play again to fix the aspect ratio of the screen size. (Not a big deal and I hope it makes sense the way I explained, I can send a picture however)",VLC on Android often loses track of the network drive it's been reading,[0.70983446],,0
"I've been using VLC for years, desktop and android versions. Since the latest update, i've been having a little trouble with screen ratio not auto adjusting on my Acer Chromebook 15. Once I load a video it will play but the bottom of the screen is cut off (where the play button is) in which I have to manually press pause than play again to fix the aspect ratio of the screen size. (Not a big deal and I hope it makes sense the way I explained, I can send a picture however)",VLC for Android video playback halts after few seconds,[0.6650456],,0
"Overall app works good. But there's a big when I try to search for subtitles, it fails to load and keeps on showing downloading icon.",VLC on Android often loses track of the network drive it's been reading,[0.5948979],,0
"Overall app works good. But there's a big when I try to search for subtitles, it fails to load and keeps on showing downloading icon.",problem with playing videos (.flv ) when I try it from onother application on android,[0.58589035],,0
"Overall app works good. But there's a big when I try to search for subtitles, it fails to load and keeps on showing downloading icon.",VLC for Android 2.0.x track control by single-button headset not working,[0.58361983],,0
"Actually expect better than this from VLC. Mainly, issues with playlists make this a less than ideal choice. For one LARGE list, all entries were duplicated! I could just remove one but it removes both, thinking they are the same. Plays them all twice tho. Other glitches too like not remembering random play order etc make it frustrating to use. Oh yes, apparently a database is used for the playlists too so no easy way to manage or backup or transfer. And, no answers from support.",VLC for Android hangs when focused for huge audio library and fast scrolling is glitchy,[0.53814787],,0
"Actually expect better than this from VLC. Mainly, issues with playlists make this a less than ideal choice. For one LARGE list, all entries were duplicated! I could just remove one but it removes both, thinking they are the same. Plays them all twice tho. Other glitches too like not remembering random play order etc make it frustrating to use. Oh yes, apparently a database is used for the playlists too so no easy way to manage or backup or transfer. And, no answers from support.",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.53433484],,0
"Actually expect better than this from VLC. Mainly, issues with playlists make this a less than ideal choice. For one LARGE list, all entries were duplicated! I could just remove one but it removes both, thinking they are the same. Plays them all twice tho. Other glitches too like not remembering random play order etc make it frustrating to use. Oh yes, apparently a database is used for the playlists too so no easy way to manage or backup or transfer. And, no answers from support.",Network stream fails to play due to aggressive caching,[0.5291532],,0
"Full of bugs. After the the time sleeper turns the app off, it won't play anything more without closing the app from the app settings. Also, it runs continously on the background even after closed (whether with sleep timer or by any other means) . Can't swipe it off from the notification scroll down bar, and keeps consuming battery.","Tap the bubble when set jump to time, the VLC will be stopped.",[0.63207114],,0
"Full of bugs. After the the time sleeper turns the app off, it won't play anything more without closing the app from the app settings. Also, it runs continously on the background even after closed (whether with sleep timer or by any other means) . Can't swipe it off from the notification scroll down bar, and keeps consuming battery.",Android: Changed playback speed is forgotten after app is sent to background,[0.63102686],,0
"Full of bugs. After the the time sleeper turns the app off, it won't play anything more without closing the app from the app settings. Also, it runs continously on the background even after closed (whether with sleep timer or by any other means) . Can't swipe it off from the notification scroll down bar, and keeps consuming battery.",Crashes after having used the Sleep Timer on Android,[0.60113084],,0
"The subtitles barely works, keeps saying an error occured, try again in few seconds. Sad",Scrub backward quickly doesn't work (Android),[0.58869684],,0
"The subtitles barely works, keeps saying an error occured, try again in few seconds. Sad","Change Playback speed as low and restore,the video will not play smoothly",[0.5851838],,0
"The subtitles barely works, keeps saying an error occured, try again in few seconds. Sad",Lockscreen control does not resume playing after pausing.,[0.5414171],,0
Terrible. It buffers all the time and I can literally watch nothing with this player.,Video is being played properly but display is blank,[0.5320503],,0
Terrible. It buffers all the time and I can literally watch nothing with this player.,Player doesn't allow fastforwarding or rewinding when playing files,[0.5149274],,0
Terrible. It buffers all the time and I can literally watch nothing with this player.,Can't play videos continuesly,[0.4853564],,1
Too slow...it takes lot of time to load the videos and video thumbnail doesn't load,"Change Playback speed as low and restore,the video will not play smoothly",[0.70317763],,1
Too slow...it takes lot of time to load the videos and video thumbnail doesn't load,Streaming multicast - Player receiving video stream stops when next video starts via playlist on streaming VLC encoder (audio continues),[0.5670353],,0
Too slow...it takes lot of time to load the videos and video thumbnail doesn't load,Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.53691185],,1
It was 100x better before this new update. Now it's slow! Takes years to load videos and no categories,"Builds after 1.8.020160104-106 for Android video will stop, audio continues",[0.54666823],,0
It was 100x better before this new update. Now it's slow! Takes years to load videos and no categories,"Change Playback speed as low and restore,the video will not play smoothly",[0.52730924],,0
It was 100x better before this new update. Now it's slow! Takes years to load videos and no categories,stream playback speed locked to over 100%,[0.49158293],,0
Audio stops all of a sudden. Problem occurs while playing high quality and high FPS videos.,Forgets video when paused while playing as audio,[0.7743884],,1
Audio stops all of a sudden. Problem occurs while playing high quality and high FPS videos.,Audio delay after resuming backgrounded video,[0.7674725],,1
Audio stops all of a sudden. Problem occurs while playing high quality and high FPS videos.,Sorting of audio lost following screen refresh,[0.7652205],,1
Favourite player but Could not find a way to prevent it crashing with Huawei emui 9. Reluctantly moved to mxplayer which doesn't have this issue,VLC Android loses play position when multi-tasking,[0.46790975],,0
Favourite player but Could not find a way to prevent it crashing with Huawei emui 9. Reluctantly moved to mxplayer which doesn't have this issue,"After plug in USB drive, VLC will not work normally and pop up the error message.",[0.46528798],,0
Favourite player but Could not find a way to prevent it crashing with Huawei emui 9. Reluctantly moved to mxplayer which doesn't have this issue,android x86 target does not build anymore on x86_64 linux host,[0.43987268],,0
Sometimes app is not working so you need to close it completly and reopen it. Video thumbnails is always wrong and video name is also not showing.,"Video playback can fail to start, freezing the whole app",[0.70916355],,1
Sometimes app is not working so you need to close it completly and reopen it. Video thumbnails is always wrong and video name is also not showing.,"After plug in USB drive, VLC will not work normally and pop up the error message.",[0.690866],,0
Sometimes app is not working so you need to close it completly and reopen it. Video thumbnails is always wrong and video name is also not showing.,"Change Playback speed as low and restore,the video will not play smoothly",[0.6807112],,0
I recently downloaded this app and I must say it's actually the best so far but the only problem is that when I add a subtitle it works but the speaker speaks before the subtitle appears it does not come at once with the speaker. Please I need reply,"After Appending songs to a playlist, then saving the playlist, the artist and album information is missing in the new playlist, except for this first song.",[0.6073979],,0
I recently downloaded this app and I must say it's actually the best so far but the only problem is that when I add a subtitle it works but the speaker speaks before the subtitle appears it does not come at once with the speaker. Please I need reply,Error when opening VLC from another app,[0.6045644],,0
I recently downloaded this app and I must say it's actually the best so far but the only problem is that when I add a subtitle it works but the speaker speaks before the subtitle appears it does not come at once with the speaker. Please I need reply,"After plug in USB drive, VLC will not work normally and pop up the error message.",[0.59761107],,0
"I like the app. But there is problem I face. Though I delete a video from the phone, the clip still shows in the VLC Directory. That's very annoying.",VLC for Android hangs when focused for huge audio library and fast scrolling is glitchy,[0.6994199],,0
"I like the app. But there is problem I face. Though I delete a video from the phone, the clip still shows in the VLC Directory. That's very annoying.",problem with playing videos (.flv ) when I try it from onother application on android,[0.6578524],,0
"I like the app. But there is problem I face. Though I delete a video from the phone, the clip still shows in the VLC Directory. That's very annoying.",VLC crash after deleting a video,[0.6558465],,0
"current updated interface is not cool, taking too much time to scan local media",Network stream fails to play due to aggressive caching,[0.61423504],,0
"current updated interface is not cool, taking too much time to scan local media","Change Playback speed as low and restore,the video will not play smoothly",[0.56213105],,0
"current updated interface is not cool, taking too much time to scan local media",vout doesn't adapt to mid-stream AR changes,[0.56055546],,0
I can't download subtitles anymore bc the app will simply stop. why make it an option then if it just won't work??,"Tap the bubble when set jump to time, the VLC will be stopped.",[0.6280445],,0
I can't download subtitles anymore bc the app will simply stop. why make it an option then if it just won't work??,Lockscreen control does not resume playing after pausing.,[0.6202593],,0
I can't download subtitles anymore bc the app will simply stop. why make it an option then if it just won't work??,Subtitles 'forgotten' if VLC loses focus,[0.6095383],,1
"My TV just updated to the latest 3.2.6 version. Now when set to Android TV UI app will exit when opening any browsing option. Internal, Network, favourites, etc, etc. Seems to work fine in normal UI mode. Just more difficult to use. And seems to have lost file skip functionality.","VLC for Android,dropping frames while playing HLS Stream",[0.6784514],,0
"My TV just updated to the latest 3.2.6 version. Now when set to Android TV UI app will exit when opening any browsing option. Internal, Network, favourites, etc, etc. Seems to work fine in normal UI mode. Just more difficult to use. And seems to have lost file skip functionality.",Android: Changed playback speed is forgotten after app is sent to background,[0.67024976],,0
"My TV just updated to the latest 3.2.6 version. Now when set to Android TV UI app will exit when opening any browsing option. Internal, Network, favourites, etc, etc. Seems to work fine in normal UI mode. Just more difficult to use. And seems to have lost file skip functionality.","android navigation bar, shown after a click, shifts and resizes full-screen video",[0.6590867],,0
Recording voices and videos it should not again I used to have this problem with it a couple years ago and then it stopped now it's doing it again please fix or update,"During audio playback, a call stops playback instead of pausing and resuming when done",[0.6734762],,0
Recording voices and videos it should not again I used to have this problem with it a couple years ago and then it stopped now it's doing it again please fix or update,Sorting of audio lost following screen refresh,[0.6632703],,0
Recording voices and videos it should not again I used to have this problem with it a couple years ago and then it stopped now it's doing it again please fix or update,Audio delay after resuming backgrounded video,[0.65815175],,0
"I just found 1 bug, when in landscape mode, the app icon is missing for some reason, please fix this :)",Error when opening VLC from another app,[0.62306976],,0
"I just found 1 bug, when in landscape mode, the app icon is missing for some reason, please fix this :)",Android: Changed playback speed is forgotten after app is sent to background,[0.61499834],,0
"I just found 1 bug, when in landscape mode, the app icon is missing for some reason, please fix this :)","After Appending songs to a playlist, then saving the playlist, the artist and album information is missing in the new playlist, except for this first song.",[0.5818189],,0
I used to love this app and swore by it but recently I've had nothing but issues with casting videos. It either stops or you lose the UI so can't control the vid.,Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.6560675],,0
I used to love this app and swore by it but recently I've had nothing but issues with casting videos. It either stops or you lose the UI so can't control the vid.,"After plug in USB drive, VLC will not work normally and pop up the error message.",[0.6017717],,0
I used to love this app and swore by it but recently I've had nothing but issues with casting videos. It either stops or you lose the UI so can't control the vid.,VLC on Android often loses track of the network drive it's been reading,[0.5726384],,0
This is a great video player that can play files from phone storage and network shares but presently has some Chrome casting issues. Phone display keeps turning off preventing easy movie control and dropping the cast. Need a default option to keep screen on while casting. No subtitles during casting either. Would love to see these little issues fixed soon. Keep up the good work.,Can't load subtitles when casting on chromecast,[0.6447491],,1
This is a great video player that can play files from phone storage and network shares but presently has some Chrome casting issues. Phone display keeps turning off preventing easy movie control and dropping the cast. Need a default option to keep screen on while casting. No subtitles during casting either. Would love to see these little issues fixed soon. Keep up the good work.,Video casts choppy with VLC 3.0.11 Android to Chromecast,[0.6420225],,1
This is a great video player that can play files from phone storage and network shares but presently has some Chrome casting issues. Phone display keeps turning off preventing easy movie control and dropping the cast. Need a default option to keep screen on while casting. No subtitles during casting either. Would love to see these little issues fixed soon. Keep up the good work.,Streaming to chromecast with delay and interrupts,[0.62972045],,1
great app but background playing is a problem music stop when switch to another app,Android: Changed playback speed is forgotten after app is sent to background,[0.7731429],,0
great app but background playing is a problem music stop when switch to another app,VLC crashes when screen turns off while listening music,[0.69248843],,1
great app but background playing is a problem music stop when switch to another app,Headphone Controls not working correctly (works on other apps),[0.6825132],,0
Thumbnail doesn't disappear when video is deleted,Back button isn't locked when playback "lock screen" is active,[0.6148635],,0
Thumbnail doesn't disappear when video is deleted,Forgets video when paused while playing as audio,[0.58214295],,0
Thumbnail doesn't disappear when video is deleted,"Change Playback speed as low and restore,the video will not play smoothly",[0.57677805],,0
"This app has had really irritating problems for years, and I cannot even figure a way they haven't have fixed if ANY of the developers are actually using it. Sometimes videos will loop back to a certain point in the video when they're finished without the ab loop being turned on in any perceivable way. Sometimes it won't auto play the next item on a list. Sometimes it will always play a media from a certain point when starting it - yet it DOESNT properly save the last play location upon leaving",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.7458429],,0
"This app has had really irritating problems for years, and I cannot even figure a way they haven't have fixed if ANY of the developers are actually using it. Sometimes videos will loop back to a certain point in the video when they're finished without the ab loop being turned on in any perceivable way. Sometimes it won't auto play the next item on a list. Sometimes it will always play a media from a certain point when starting it - yet it DOESNT properly save the last play location upon leaving","After plug in USB drive, VLC will not work normally and pop up the error message.",[0.6422069],,0
"This app has had really irritating problems for years, and I cannot even figure a way they haven't have fixed if ANY of the developers are actually using it. Sometimes videos will loop back to a certain point in the video when they're finished without the ab loop being turned on in any perceivable way. Sometimes it won't auto play the next item on a list. Sometimes it will always play a media from a certain point when starting it - yet it DOESNT properly save the last play location upon leaving",VLC on Android often loses track of the network drive it's been reading,[0.6248435],,0
"The update mentions multitasking shutdown fixed! They did a terrible job! whenever I open any media file from file manager using VLC, and switch tasks it abruptly shuts down! On top of all they plainly Lie about the update! Useless team .really disappointed!! phone: redmi note 5 pro!",Network stream fails to play due to aggressive caching,[0.59640366],,0
"The update mentions multitasking shutdown fixed! They did a terrible job! whenever I open any media file from file manager using VLC, and switch tasks it abruptly shuts down! On top of all they plainly Lie about the update! Useless team .really disappointed!! phone: redmi note 5 pro!","Tap the bubble when set jump to time, the VLC will be stopped.",[0.5825114],,0
"The update mentions multitasking shutdown fixed! They did a terrible job! whenever I open any media file from file manager using VLC, and switch tasks it abruptly shuts down! On top of all they plainly Lie about the update! Useless team .really disappointed!! phone: redmi note 5 pro!",Delete a media also erase last playlist,[0.550956],,0
Everything is perfectly alright. The only problem i am facing is the full characters of any video is not shown in the playlist due to which it is hard to find a video especially in a playlist etc of any course downloaded from youtube.,Playing video files shared with a FileProvider doesn't work with VLC,[0.63163877],,0
Everything is perfectly alright. The only problem i am facing is the full characters of any video is not shown in the playlist due to which it is hard to find a video especially in a playlist etc of any course downloaded from youtube.,YouTube video doesn't play anymore,[0.6184653],,0
Everything is perfectly alright. The only problem i am facing is the full characters of any video is not shown in the playlist due to which it is hard to find a video especially in a playlist etc of any course downloaded from youtube.,can't play htaccess protected videos on high dpi smartphone,[0.5898733],,0
"All things are good but when delete a video from your phone especially whatsapp video , vlc still show these videos. When you try to play these videos vlc shows video not found . Please fix this .",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.7183069],,0
"All things are good but when delete a video from your phone especially whatsapp video , vlc still show these videos. When you try to play these videos vlc shows video not found . Please fix this .",Streaming multicast - Player receiving video stream stops when next video starts via playlist on streaming VLC encoder (audio continues),[0.7100328],,0
"All things are good but when delete a video from your phone especially whatsapp video , vlc still show these videos. When you try to play these videos vlc shows video not found . Please fix this .",VLC crash after deleting a video,[0.7032813],,0
"Guys, I have a problem with my android smart TV. When i tried to download subtitles in my TV, it loads but doesnot download inspite of having a good internet connection.",problem with playing videos (.flv ) when I try it from onother application on android,[0.73063886],,0
"Guys, I have a problem with my android smart TV. When i tried to download subtitles in my TV, it loads but doesnot download inspite of having a good internet connection.",VLC on Android often loses track of the network drive it's been reading,[0.71085924],,0
"Guys, I have a problem with my android smart TV. When i tried to download subtitles in my TV, it loads but doesnot download inspite of having a good internet connection.",VLC for Android crashes when attempting to browse for media file,[0.6942501],,0
"Good app. Good to have Chromecast support. Bug when trying to add song to playlist , tapping on the three dots moves the scroll bar and the song to be added is list from screen view. Fix this bug please and I will bump up the review to 5 stars",Crashing Android app by playing a song via upnp with corrupt metadata,[0.6024375],,0
