feedback,issue,distance,,23/150,,,,,,,,,17/100,,,Matching Bug Result,Firefox,Matching Bug Result,Nextcloud,Matching Bug Result,Signal,Matching Bug Result,VLC,Matching Bug Result,TOTAL
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,"""No video with supported format or MIME type found"" is not localized and is hard to understand for users",[0.85044706],0,,"Firefox great as always in personal control, but horrible slow in the android departure.",FF Mobile: [UX] Hard to close many tabs quickly because it is too easy to hit 'Undo' Close tab,0,,,Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,"Talos ts_shutdown numbers look bogus, test takes >80 minutes",[0.8104981],0,,,TRUE,0.7985867,TRUE,0.8490796,TRUE,0.8248254,TRUE,0.7813848,TRUE,0.7985867
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,"My addons aren't working correctly anymore, and when I try to log in to add-ons, wether from my android device or from PC, I can't",[0.8454777],0,,"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","""Setting up Nightly..."" displays on every startup due to slow device storage",0,,,Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,Switching away from Firefox causes it to unload almost 100% of the time,[0.7622597],0,,,TRUE,0.78952456,TRUE,0.84806114,TRUE,0.8083209,TRUE,0.74611574,TRUE,0.78952456
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",Share>Copy to Clipboard copies a random link when used in the embedded version of firefox.,[0.8215986],0,,"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.","Firefox in PWA mode has incorrect referrer for iframes, it's always `start_url` from the manifest rather than current one",0,,,Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,On Facebook in comments YOU CAN NOT EDIT THE CURSER WILL NOT click and blink at the word being edited to fix a messed up typo .I thought by now Firefox would have fived the problem its really anoring you can't fix typos cause FIREFOX BUG .,[0.81770456],0,,,TRUE,0.88713163,TRUE,0.9487189,TRUE,0.7969291,TRUE,0.7233592,TRUE,0.88713163
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication","Privacy leak reproducing an html5 video, even if in private browsing. Firefox puts a notification in the android notification bar with page title. This notification appears in android notifications log, even if you browsed in private mode",[0.81787753],0,,Good browser but it is not possible tochange default download folder to external sd. Too bad.,"browser.js shouldn't send ""fromCache"":true flag when device is offline for tabs that couldn't load correctly (server not found, etc)",0,,,Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,Action is missing on tapping on any button from Privacy Coach add-on page after disable and re-enable the add-on,[0.8175384],0,,,TRUE,0.84585124,TRUE,0.9442621,TRUE,0.77556884,TRUE,0.6726285,TRUE,0.84585124
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication","Sending non-URL content from other apps to Firefox Sync shows ""There was a problem sending your tab""",[0.8123524],0,,Browser doesn't work on home Depot website.,Request Desktop site doesn't work on Wikipedia,1,,,"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",Changing Android language settings does not change everything i Firefox for Android (for example : about:),[0.7830008],0,,,TRUE,0.77761424,TRUE,0.92343426,TRUE,0.7878542,TRUE,0.7544118,TRUE,0.77761424
Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,"Talos ts_shutdown numbers look bogus, test takes >80 minutes",[0.8104981],0,,"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work",SHARP devices cannot get crash dump due to not working PTRACE.,0,,,"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",Firefox for Android should be clearer when failing to install add-ons compatible only with desktop version,[0.7812677],0,,,TRUE,0.79408157,TRUE,0.9097304,TRUE,0.78389686,TRUE,0.70257986,TRUE,0.79408157
Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,Switching away from Firefox causes it to unload almost 100% of the time,[0.7622597],0,,Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,Mozilla enters some bad loops and does'nt work,0,,,The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,"On some pages, back button navigation does not work until I restart Firefox",[0.87901264],0,,,TRUE,0.8295083,TRUE,0.8885114,TRUE,0.76207525,TRUE,0.75546885,TRUE,0.8295083
Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,Firefox Nightly for Android crashes every 10 minutes,[0.73548204],0,,"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!",pages become unresponsive on low end phone models making it difficult to use,0,,,The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,Tabs are not restored correctly when restarting Firefox after swiping it out of recents,[0.8603326],1,,,TRUE,0.8274627,TRUE,0.6837468,TRUE,0.77596647,TRUE,0.71199423,TRUE,0.8274627
Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,On Facebook in comments YOU CAN NOT EDIT THE CURSER WILL NOT click and blink at the word being edited to fix a messed up typo .I thought by now Firefox would have fived the problem its really anoring you can't fix typos cause FIREFOX BUG .,[0.81770456],0,,"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone","Cannot run mochitests on my phone: ""ADBError: Only one instance of an application may be running at once"" (unexpected pidof output on some devices)",0,,,"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!",[touchevents] Scrolling doesn't work at all on CooksIllustrated.com website,[0.87107444],0,,,TRUE,0.76497376,TRUE,0.8284984,TRUE,0.71703434,TRUE,0.7846899,TRUE,0.76497376
Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,Action is missing on tapping on any button from Privacy Coach add-on page after disable and re-enable the add-on,[0.8175384],0,,"Not the best browser, struggles to download, display video properly in player, ect unlike chrome does. Only reason I'll keep using it is adblock support","""This app is incompatible with your  HTC Desire"" But it's on the list of supported phones.",0,,,"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!","Google Images is severely broken, leading to wrong selected image, no page navigation, image glyphs on swipes",[0.85568976],1,,,TRUE,0.81680405,TRUE,0.8483151,TRUE,0.8239591,TRUE,0.7732083,TRUE,0.81680405
Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,"[Android Q] After configuring my Firefox Account, Sync says ""Your account needs to be verified. Tap to resend verification email."" (But there's never any email or option to send one.)",[0.8109337],0,,Hurry up and wait. This app is incredibly slow. Photos and videos take forever to load and when they do load the quality is very poor.,Apps are super slow when installed and run from Marketplace,1,,,"Firefox great as always in personal control, but horrible slow in the android departure.",FF Mobile: [UX] Hard to close many tabs quickly because it is too easy to hit 'Undo' Close tab,[0.7656392],0,,,TRUE,0.78967714,TRUE,0.83354104,TRUE,0.838844,TRUE,0.68865883,TRUE,0.78967714
"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",Changing Android language settings does not change everything i Firefox for Android (for example : about:),[0.7830008],0,,"Good app when it works, but it constantly crashes when starting up.",Auto-launch of downloads often launches the wrong app,0,,,"Firefox great as always in personal control, but horrible slow in the android departure.",the splash screen with Firefox logo makes the app feel slow,[0.76308036],1,,,TRUE,0.7810787,TRUE,0.73571354,TRUE,0.6921258,TRUE,0.77653193,TRUE,0.7810787
"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",Firefox for Android should be clearer when failing to install add-ons compatible only with desktop version,[0.7812677],0,,"This browser is great, and the sync feature is also useful. My only problem here is: I noticed that this browser takes a lot of battery (9.35% of my power consumption for the last 12 hours - and I only used the app for half an hour)","Firefox for android is slow when try to open the first web page, the wait time is more than 1 minute",0,,,"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","""Setting up Nightly..."" displays on every startup due to slow device storage",[0.76992655],0,,,TRUE,0.77655363,TRUE,0.70038843,TRUE,0.7872617,TRUE,0.7765287,TRUE,0.77655363
"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",[Fennec] Turn RTL support on and fix a few oustanding issues for Android >= 4.2,[0.7749866],0,,Good browser with great features. The scrolling speed is slow compared to chrome while also dropping fps count.but i use Firefox it Will be great if u cold fix these issues because this will make it perfect,[meta] Make user experience in Firefox better than Stock,0,,,"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","When I add a site to my homescreen it's ok for a few days then the symbol become the firefox symbol and I end up with a sea of Firefox symbols, why is this happening? It happen on my s3 and now my s5. Until this bug is fixed It's not worth using Firefox.",[0.75705016],0,,,FALSE,0.8655933,TRUE,0.8046361,TRUE,0.77705646,TRUE,0.77223617,TRUE,0.771804
The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,"On some pages, back button navigation does not work until I restart Firefox",[0.87901264],0,,"I use only Firefox. Some bugs: sometimes I press the go button to browse to a website after typing a url and nothing happens until I close that tab and try with a new one. Today, long pressing links only seems to highlight text(can't open in a new tab). The tab interface should have a faster way to switch. Sometimes android warns me that Firefox is draining my battery.","if on a web page one either zooms in using double tap or pinch and then clicks a link on the page, then use the back button to return to the previous page, Firefox will not display the page as it was previously zoomed in",0,,,"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.","Firefox in PWA mode has incorrect referrer for iframes, it's always `start_url` from the manifest rather than current one",[0.8437635],0,,,FALSE,0.8493283,TRUE,0.8152677,TRUE,0.8955691,TRUE,0.70019114,TRUE,0.76817214
The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,Tabs are not restored correctly when restarting Firefox after swiping it out of recents,[0.8603326],1,,"Been using Firefox since version 3 on windows and was happy to see they made the Android version as I rather stick to a browser I already know and trust. Best thing about this is being able to sync my tabs between my PC and smartphone and it's as fast on my phone even with multiple tabs open and does not drain my battery. Disappointed that no add-ons I installed works so far, but maybe that will improve in the future.",On Firefox for Android doesn't change the prediction while still writing instead it inserts what you write to the predicted text.,0,,,"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.",On Facebook in comments YOU CAN NOT EDIT THE CURSER WILL NOT click and blink at the word being edited to fix a messed up typo .I thought by now Firefox would have fived the problem its really anoring you can't fix typos cause FIREFOX BUG .,[0.83984673],0,,,FALSE,0.68784845,TRUE,0.7341255,TRUE,0.8637552,TRUE,0.6470854,TRUE,0.7512155
The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,"Firefox failed to play an embedded video on a website.then I checked for other websites ,and there too it did not work.I have all the recent/updated versions of required plugins.",[0.8528862],0,,"Good for privacy as it allows privacy minded extensions but the UI is absolutely terrible from a poweruser's perspective. Simple gestures like drag to reload is missing. No way to copy only the text portion of a link. No way to open a new tab from the detailed context menu when inside the tabs view (can only launch new tab with the + icon), and more.","./mach should use `adb` from `.mozbuild` as setup through ./mach bootstrap, not try to find it in $PATH and fail with cryptic error messages (ADBError: [Errno 2] No such file or directory: adb is not executable.)",0,,,Good browser but it is not possible tochange default download folder to external sd. Too bad.,"browser.js shouldn't send ""fromCache"":true flag when device is offline for tabs that couldn't load correctly (server not found, etc)",[0.87480974],0,,,FALSE,0.64029837,TRUE,0.8077847,TRUE,0.85998344,FALSE,0.7269925,TRUE,0.8098813
"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!",[touchevents] Scrolling doesn't work at all on CooksIllustrated.com website,[0.87107444],0,,"almost all of addons are not available for installation? what the hell happened,I keep getting connection failed error.i can't even install adguard extension...",Several robocop tests fail with: resource name: 'browser_toolbar' is not found!,0,,,Good browser but it is not possible tochange default download folder to external sd. Too bad.,"With ""don't keep activities"", possible to put the browser in a bad state where no pages load",[0.8741462],0,,,FALSE,0.91532826,TRUE,0.74775624,TRUE,0.7549616,FALSE,0.6585368,TRUE,0.89046764
"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!","Google Images is severely broken, leading to wrong selected image, no page navigation, image glyphs on swipes",[0.85568976],1,,I don't waste time with systems that don't work. Avoid the headaches don't waste time on this browser. Firefox not accepting my signin password so I cannot setup firefox as my browser. Firefox makes it almost impossible to get help.,On Facebook in comments YOU CAN NOT EDIT THE CURSER WILL NOT click and blink at the word being edited to fix a messed up typo .I thought by now Firefox would have fived the problem its really anoring you can't fix typos cause FIREFOX BUG .,0,,,Browser doesn't work on home Depot website.,Request Desktop site doesn't work on Wikipedia,[0.9225447],1,,,FALSE,0.9143672,FALSE,0.8108754,FALSE,0.81069565,FALSE,0.65402913,TRUE,0.85490113
"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!",Firefox Beta is not working at all.  Enter subject or address and nothing shows up on screen.,[0.85435176],0,,Not optimised for desktop modes like Samsung DeX. Scaling is terrible and there is no right-click functionality with a mouse. Will continue to use Samsung Internet instead.,"Lightweight theme previews do not work on Firefox for Android, breaking the preview/install flow",0,,,Browser doesn't work on home Depot website.,A tab's parent ID doesn't get saved in session store,[0.91414165],0,,,FALSE,0.9131682,FALSE,0.80925727,FALSE,0.80782545,FALSE,0.63959765,TRUE,0.77891904
"Firefox great as always in personal control, but horrible slow in the android departure.",FF Mobile: [UX] Hard to close many tabs quickly because it is too easy to hit 'Undo' Close tab,[0.7656392],0,,"Browser is so slow at loading pages and crashes the majority of the time I use it. Most of the time I get so frustrated with it that I go and use chrome because I dont have any issuess when I use chrome and I hate chrome and would prefer not to use it. I like the desktop version of firefox, but this mobile version is garbage. I never knew how bad a browser could be until I used this one. Almost every time I try to go to a new page it either takes 5 minutes to load or doesnt load or crashes.",Running xpcshell-test or mochitest-chrome locally usually fails on clean install due to silent pushDir failure,0,,,"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work",SHARP devices cannot get crash dump due to not working PTRACE.,[0.8644779],0,,,FALSE,0.87501407,FALSE,0.7925657,FALSE,0.79322284,FALSE,0.54978794,TRUE,0.7315086
"Firefox great as always in personal control, but horrible slow in the android departure.",the splash screen with Firefox logo makes the app feel slow,[0.76308036],1,,"The browser always crash for no reason, this version is whacked I swear.",06/03/2012 build instantly crashes every time: Unable to instantiate in loader,1,,,"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work","Don't save thumbnails from pages with ""Cache-Control: no-store"", and HTTPS pages when HTTPS disk caching is disabled",[0.86142653],0,,,FALSE,0.85044706,FALSE,0.767033,FALSE,0.73717314,FALSE,0.74913734,TRUE,0.8070321
"Firefox great as always in personal control, but horrible slow in the android departure.",Firefox 45.0.1 crashes very often on my LG E460 (Android 4.1.2). It did the same even with previous versions.,[0.7608535],0,,1. The menu of the selected text does not show all options which the google chrome does. 2. the Pul-down to refresh doesn't work.,Websites found through Google searches do not display correctly. (WAS: TMobile website text entry fields do not show up),0,,,Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,Mozilla enters some bad loops and does'nt work,[0.8474766],0,,,FALSE,0.8454777,FALSE,0.7561376,FALSE,0.7944573,FALSE,0.74106324,TRUE,0.8530482
"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","""Setting up Nightly..."" displays on every startup due to slow device storage",[0.76992655],0,,"Slow and with updates getting all the time more complicated to use. Still, is my go to browser, my only browser which I use when I need to trust the browser, f.ex shopping etc.",Youtube search extremely slow with Request desktop mode and new youtube layout,0,,,Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,Very poor performance when scrolling through a select list,[0.84466445],0,,,FALSE,0.8215986,FALSE,0.7450168,FALSE,0.7819573,FALSE,0.7403945,TRUE,0.8490796
"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","When I add a site to my homescreen it's ok for a few days then the symbol become the firefox symbol and I end up with a sea of Firefox symbols, why is this happening? It happen on my s3 and now my s5. Until this bug is fixed It's not worth using Firefox.",[0.75705016],0,,"everytime I search directly in the address bar, either I need to do it again cause the browser doesn't detect the search, or I have to wait until the page is loaded to see if the web page was even doing anything in the first place. but otherwise, Mozilla is fantastic. Great mission. Good UI","Visit http://peacekeeper.futuremark.com/,then click ""test your browser go"",it will always pop up the window""Are you sure? This page asks you to confirm that you want to leave - data you entered could not be saved.""after running some tests.",0,,,"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!",pages become unresponsive on low end phone models making it difficult to use,[0.831921],0,,,FALSE,0.81787753,FALSE,0.736696,FALSE,0.77288806,FALSE,0.70985055,TRUE,0.84806114
"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.",Data loss: Sometimes (version upgrades?) I lose most but not all (recent tabs come back) of my session history,[0.7537919],0,,Videos or songs don't stop playing after you shut down the app. Have to force stop or turn volume off to stop.,Exiting youtube player fullscreen mode causes the app to be unresponsive and eventually display a Force close dialog,0,,,"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!",Pinned preloaded thumbnails aren't refreshing with the website when visited,[0.82441795],0,,,FALSE,0.8123524,FALSE,0.76477027,FALSE,0.8410134,FALSE,0.74625474,TRUE,0.9487189
"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.","Firefox in PWA mode has incorrect referrer for iframes, it's always `start_url` from the manifest rather than current one",[0.8437635],0,,"I'm trying to cast to my roku, but there is no casting tab when I try to browse movies online.","The keyboard is not triggered when tapping on Search button, after accessing youtube.com from Top Sites panel",0,,,"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone","Cannot run mochitests on my phone: ""ADBError: Only one instance of an application may be running at once"" (unexpected pidof output on some devices)",[0.8360183],0,,,FALSE,0.8104981,FALSE,0.7333847,FALSE,0.8391046,FALSE,0.71586305,TRUE,0.9442621
"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.",On Facebook in comments YOU CAN NOT EDIT THE CURSER WILL NOT click and blink at the word being edited to fix a messed up typo .I thought by now Firefox would have fived the problem its really anoring you can't fix typos cause FIREFOX BUG .,[0.83984673],0,,"Not keen on firefox as a obile device browser. I was unable to download any pdf document, which as a uni student is very frustrating.",Unable to build Firefox for Android : arm-linux-androideabi/bin/ld: fatal error: libxul.so: mmap: failed to allocate 1047420952 bytes for output file: Cannot allocate memory,0,,,"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone","Setting cookie lifetimePolicy to 1 fails with Aurora, causes website not to load",[0.81448984],0,,,FALSE,0.7622597,FALSE,0.73678344,FALSE,0.837356,FALSE,0.7014377,TRUE,0.92343426
