nothing,bug,vcl
,"Minimize the need to restart API server when changing GUI settings, refuse requests while restart is ongoing.",
,Better restart message,
,Master folder exception patterns,
,"""Watch for Changes"" does not work if the folder is at the root of the Windows drive.",
,Announce IPv6 ULA,
,[Feature] Show connection type in Remote Devices,
,Share Folder Button,
,Compression option on folders,
,Set limit on storage usage per folder,
,"out of sync files - please provide the ""other device""",
,Allow editing Folder Path if path is missing,
,Scope ID should be filtered out of IPv6 addresses when using Remote GUI,
,Add UPnP support for IPv6,
,BEP: Consider adding a field in Hello to indicate whether the device intends to keep the connection open,
,"Need ""connection doctor"" feature.",
,Add support for syncing ownership of files,
,Show more entries in recent changes modal,
,Refactor out cmd/syncthing,
,No indication in GUI that Syncthing has been shut down,
,"GUI ""Out of sync"" modal oscillates between pages after rapid page switches",
,Implement a performance display/diagnosis suite,
,Don't skip tests related to symlinks on windows,
,Move footer links to header,
,"""fatal error: concurrent map iteration and map write"" in folderSummaryService",
,Be able to run Syncthing as a windows service,
,Excessive RAM usage when syncing large folders,
,New files are not shared between downloading devices,
,"During scanning, there is incorrect 0% suffix being shown on label",
,stcrashreceiver uses too much memory,
,"Timed out local discovery entries are exposed in the discovery API, should not be",
,cmd/strelaysrv: Chroot service,
,Refactor model to handle multiple device connections,
,Display status of folders for remote devices,
,Sync extended file attributes on supported file systems,
,/rest/db/file (and some other db request) don't works for paused folder,
,Show likely status of disconnected devices,
,Ignore some files by default?,
,"GUI ""Out of sync"" modal loses folders when page count becomes lower than current page number",
,Config cleanup: attributes vs elements,
,STUN should periodically perform re-discovery,
,Improve clarity of upload/download rates for other device,
,Last File Received -> Last File Sent,
,panic: runtime error: invalid memory address or nil pointer dereference,
,panic: device present in global list but missing as device/fileinfo entry when dropping device/folder,
,CLI command -upgrade-to should do a restart,
,Issue while syncing large filesets  on windows,
,Use decentralized discovery (DHT),
,iframe embedding using foreign host not working due to cookie policies,
,Remote encrypted share isn't synced for the first time,
,"""Default Folder"" label should be localised (instead of being hard-coded to English)",
,[Android] Renaming file uppercase causes both files to be deleted,
,Folders with custom icons not deletable on Windows,
,Staggered File Versioning - intervals as parameters,
,Sort folders/devices on status,
,Record more performance metrics,
,Check for writes to open files which are replaced by Syncthing,
,Show time remaining when syncing to/from remote devices,
,Relay pool srv map: circles in the wrong place,
,Default folder per shared device,
,Pre and Post commands / hooks,
,Usage Reporting for Syncthing Wrappers,
,Build relay functionality into syncthing itself,
,Folder grouping proposal,
,Consider storing certificate and key in OS X Keychain,
,Add PCP support,
,Add the number of sync conflicts to the UI,
,Occasional kqueue related crash on OpenBSD.,
,relaypoolsrv: Track relayed data for a fixed time window,
,Syncthing panic not shown on GUI,
,Console messages should be translatable,
,"Publish container images to github's container repo, in addition to docker-hub",
,Adding UPnP mapping which already exists causes UPnP logic to fail,
,Remember previously used / discovered device addresses and retry them,
,Do not touch .stignore on saving folder config when ignore patterns have not changed,
,TLS handshake ... connection reset by peer,
,KCP problems - master issue,
,There may be something weird with the upgrade old file handling,
,GUI folder/device status rows should handle longer values nicer,
,Path completion in new folder dialog does not work anymore,
,Folder quota / size limits,
,Status indicators in web interface are not intuitive.,
,Dir/symlink updates overwrite conflicts & unscanned files,
,UPnP Port Mapping fails on Linux,
,Tries to overwrite folder root,
,[Enhancement] Backup Current Configuration,
,Inconsistent handling of empty folder path,
,mkdir : no such file or directory,
,panic: fsync: invalid argument,
,syncthing cli --help doesn't work without a valid home path with cert.pem,
,fix URL,
,Global State & Local State match until syncing starts,
,Password Auth to add Devices/Folders,
,"Mac OS El Capitain Master folder synching on Linux generates ""out of sync""",
,Add a trouble-shot center,
,panic: bug: tried to put impossible block cap 174459,
,"add ""last synced"" info",
,Implement delta-only index exchange at connect,
,Advice：the identification of folder equivalence,
,Config change in UI taking a long time when scanning on slow storage,
,Proposal: Support absolute include paths in .stignore,
,GUI is messed up,
,Could not start syncThing,
,dpkg: error processing package syncthing-relaysrv (--configure),
,Shared Clipboard - copy and paste across devices,
,"could ""x makes no progress"" give more information. log file is difficult to find...",
,Docker image keeps exiting with exit 0,
,panics in failure reporting,
,"""has mismatching index ID for us"" on almost every restart",
,auto delete Changes in Client Folder,
,Panic due to non-existing entry in a global list,
,Make defaults more privacy focused,
,"New folder dialog shows ""{%device%} wants to share folder ""{%folder%}""",
,No UPnP gateway detected on a UPnP enabled device,
,Leaking goroutines through model and leveldb,
,Reset folder index from GUI,
,Leading and trailing spaces stripped from GUI password,
,Implement feature to discard a subset of ignored files on folder deletion,
,Panic on OS X,
,Global discovery not reconnecting,
,Download and Upload Rate information from remote device incorrect,
,Only prompt adding device is cert name is syncthing,
,'out of memory' on Raspberry Pi during index,
,Command line to launch browser only,
,"repeatedly says ""Authentication Required"", won't accept my password",
,SyncThing and files.,
,disable sync-conflict generation on specific folders (enh),
,"Clicking ""Rescan"" does nothing (because of 403 error)",
,Upgrade code needs to be smarter,
,Folder isn't making progress on Win7,
,Modifying config during first scan corrupts folder state,
,"toggle 'pause' button multiple times on share, seems to confuse synthings",
,Syncthing crashes with corrupted CURRENT file on Windows,
,release file missing,
,panic: Incorrect number of slots; 8 != 16,
,GUI always reports 0% CPU on Linux and Windows,
,Data race in trashcan versioning,
,File Collision issue,
,Outdated thrift dependency through quic-go,
,godep restore fails for xdr and goleveldb,
,Performance regression in memory use,
,Support paging on jobQueue.Jobs,
,remote devices always Disconnected,
,Use defaults for missing fields on the config rest API,
,"Can't create new repo in Webgui; ""Save"" button is ignored in 0.9.7 on Window ""Create Repo""",
,Spurious sync-conflict files created,
,Initial sync of mostly synchronized folder,
,Router is recognized as an invalid device,
,sha256 could use faster implementation where available,
,feature request: Add option to sync .stignore,
,Provide docker-compose.yml example in README,
,config: We should limit the number of conflict files by default,
,Editing an introduced node fails,
,Panic when folder disappears while scanning,
,"Out of sync: failed to remove dirs, files on winxp (busy error)",
,3Shake vulnerability,
,syncthing changes permissions for files sync from android,
,"Folder ""Up to Date"" still shows ""Out of Sync""",
,Remote completion on untrusted devices is incorrect,
,Add new kind of ignore pattern for folders containing special files (eg. CACHEDIR.TAG),
,"comma in front of ""shared with""-list",
,"Panic in ""pfilter"" package on 32 bit architectures",
,display last changed/synced files,
,Add Icons for Master Folder,
,"Emit ""added"" instead of ""modified"" event when a deleted files is created again",
,Consider making folder IDs case insensitive,
,feature: hide ignored files from list of unsynced files,
,Add a Notice if other nodes used a differend version on syncthing...,
,[0.9.19/OS X 10.9.4] panic: deadlock detected,
,Feature suggestion: Make share and device list organizable,
,LAN sync throughput regression,
,Build OpenBSD-arm64 request,
,symlinksEnabled = false: symlinks are still syncing,
,"""Cannot open database"" when home dir is on a USB stick",
,Index updates lost,
,[usability] Rename nodes / repositories to something more easily understood,
,Please move the debian folder,
,Add the possibility to share a single file instead of only a folder,
,building on dragonfly bsd - only minor changes required,
,Prevent binding the GUI to a privileged port,
,Version 0.10.29 panic: leveldb/table: corruption on data-block,
,"I was trying to be able to personalize a little the main page of the application, made for computer. Could you help me? Thank you",
,advanced selective sync,
,"Consider setting ""LimitNOFILE"" on systemd service",
,"root on symlinked path causes panic when using ""Watch for changes""",
,Linux folders permissions,
,syncthing-inotify service fails with exit code 1 when there are no folders,
,"Default ""this node"" name to $(hostname -s)?",
,UPnP port mapping failure,
,.desktop files: desktop-entry-lacks-keywords-entry,
,Partial/manual repositories,
,"There is some changes, but not syncing",
,Spurious unexpected directory in untrusted folder,
,Impossible to run non-release builds without deadlock detectors,
,Include Patterns,
,"Index ""out of sync with reality"" on receive-encrypted folder",
,Out of sync while not out of sync.,
,Improve local discovery reaction time at startup,
,Symlink support,
,Discourse is offline,
,Discovery tooltip looks ugly,
,windows: Crash.,
,Self built version wants to downgrade,
,/rest/system/reset call generates invalid json,
,bind LocalAnnounceAddress to interface,
,"0.9.17 -> 0.9.18 Version	{""arch"":""amd64"",""longVersion"":""",
,lib/model: panic: bug: ClusterConfig called on closed or nonexistent connection,
,macOS panic in FS watcher setup,
,Default path,
,Syncthing 1.3.3 fails to synchronize large files,
,gui: Display folder/device name in modal,
,Synchronization does not work at all Android <> Linux,
,Should auto-dismiss Warning notifications when no longer applicable.,
,Different sha512sums value in version 0.13.10,
,Add scheduled time instead of random intervals,
,Let people run relay's,
,In fedora 31 syncthing does not start at sign in.,
,"gui: CSRF cookie expiring can cause UI to remain out of sync but look ""live""",
,Generate HTTPS certificates accepted by iOS 13 / macOS Catalina,
,Syncthing appears to generate two DeviceConnected events per connection,
,option to create case insensitive entry in ignore patterns,
,"""dynamic"" does not seem to work on OpenBSD.",
,check how syncthing behaves with mismatched character sets,
,Syncing single large file caused error on recipient,
,"INFO: Folder ""xxxxxxx"" error is cleared, restarting",
,syncthing -upgrade exits with 0 when an upgrade is not necessary,
,Files in directory named .stversions (not at folder root) cannot be synced,
,retracted,
,Allow to group folders and machines in categories,
,runtime: unexpected return pc,
,irreversible Local Additions after re-adding the same folder as Receive Only,
,Disappearing files,
,length scanning for new 1.2TB tree.,
,Repository is showing as unknown and panic: deadlock detected,
,discosrv: Database field length issue,
,Full File Versioning - keep X versions and auto-delete after Y days,
,Panic on Raspberry Pi,
,Upgrading from v1.19.2 to v1.20.x now requires chmod for syncing files,
,API Key vulnerability?,
,"Different files in path, depending how I look for the files",
,FATAL: Upgrade: couldn't fetch release information,
,"Data requests block each other, and some API requests, due to casefs lock contention",
,Error handling root synced folder symbolic link when ~ used for path on Linux,
,panic: close of closed channel in utils/service.Stop(),
,panic: cannot start without repo after adding node to cluster,
,Verioner cleanup looks at the wrong time,
,lib/config: TestReplaceCommit fails randomly,
,Temp file removed on broken connection,
,400% CPU usage for several minutes when connecting,
,Syncthing systemwide service panic.,
,Disabled Upgrade forces full reload,
,strelaysrv can't propely unmarshall a response when joining a pool,
,Problem with migrating database,
,global@https://<domain>: Post https://<domain>: remote error: tls: illegal parameter,
,Ongoing panic crashes on Win 7 x64 running inside SyncTrazor,
,Missing string from Transifex,
,Device list display broken in Advanced settings,
,"Feature: Add ""initial seeding mode""",
,"Add an option to follow symlinks instead of syncing them ""as is""",
,Syncthing(Pulse) to act as Remote Desktop to,
,Cannot connect to a Synchthing peer unless I have an active SSH connection to it,
,Files not deleted properly when one side has ignore permissions set,
,Unable to compile cmd/syncthing,
,macos release should include installer,
,Syncthing Owncloud App,
,"Make number of items in ""Recent Changes"" configurable",
,Free space error message is unintelligeble,
,"""Automatic upgrades"" web GUI option in pre-release versions is misleading",
,Upgrade on Linux with multi instances.,
,Enhancement Request,
,Syncthing Issues in FreeNAS,
,Consider if ignore caching can be refactored to use less RAM,
,Deleting a folder containing a symlink results in a permanently out of sync on windows,
,Unable to sync config files between PulseEffects installs on two different machines via Syncthing,
,GUI improvement - Devices in folder,
,[REST] Request to add /rest/ignores2 API,
,Ability to add a comment or description to nodes,
,Ask the peer for hostname if Name is not specified,
,Deadlock involving model.fmut and folder.watchMut,
,Connections with static addresses without port fail,
,Files with ampersands in name ignored by .stfolder?,
,Syncthing Linux: Syslog events,
,Syncthing squashes UTF-8 combining characters in filenames,
,Adding Korean as a language to the project,
,Broken software,
,Show version of each node in web interface,
,Connection fail creates higher file index,
,Table formatting issues in the new UI,
,"badly formatted ""insufficient disk space"" message",
,syncthing service using nssm,
,cmd/stdiscosrv: Not enough traffic breaks replication between discovery servers,
,error: unknown flag --log-max-files,
,"lib/model: Incorrect ""Unexpected folder"" messages when folders are paused locally",
,gui: Refresh loop can start twice,
,support symlink,
,partialy dupplicate transfer on copying big file,
,Free space check before downloading a file should take free space limit into account.,
,Windows exe isn't properly version tagged,
,gui: Missing icon in footer,
,Panic Log,
,"tests in TestCopyRange fail on ppc64le with ""inappropriate ioctl for device""",
,One way sync,
,Feature Suggestion: Connect anonymously or by key,
,Please build binary for mipsel,
,Button for Lan ONLY,
,syncthing-inotify + syncthing causes full rescan of folder instead of subs,
,global server,
,"UI shows folders to sync as ""Del""",
,"'WARNING: Unexpected repository ID ""default"" sent from node'",
,"Sync percentages stuck with ""Repository Master"" setting",
,Human readable errors on attempted deletion of non-empty directory,
,Wrong file size,
,Re-use as many existing file pieces as possible,
,Automatic disabling of syncing syncthings temp and index files,
,Introducer Feature & Connection Limits,
,Syncthing-GTK 0.8.3: UI-settings -> 'Use traditional window header' sometimes ignored,
,Wrong port forwarding causes ID issues,
,Syncthing switches off verbose logging after receiving sync event,
,Renaming a folder during sync creates two folders,
,Sparse files with zero blocks are not closed when pulling,
,Remove pending folders if remote device no longer announces them,
,100% CPU every minute on watch setup retry,
,Scalable logo,
,Connection error in the GUI every 30 secs,
,Gui to modify .stignore,
,Adding new receive-encrypted folder drops connection with an error,
,Ignore by default hidden system files and other hidden Windows file,
,INFO: Puller () dst create: open file exists,
,"Backup: Format device, want to use same id + settings as before",
,Partially sync,
,Run sync as superuser,
,[Feature request] Split config into version control-friendly dotfiles,
,Ignored folder share attempts stick around for too long,
,Disable Webfrontend -Use Flag,
,In sync percentage > 100%,
,exeption for  for i386 runtime,
,Update prometheus/common/expfmt to pass tests on go1.11,
,Syncthing not working on a Raspberry PI behind an nginx reverse proxy,
,Encrypted folder fails to serve files < 1024 bytes,
,Slice bounds out of range on disconnect,
,gui: Show remote device completion for partial transfers,
,Android needs special handling for the relay pool thing,
,Unhelpful error message about Android not allowing syncing to external storage,
,Illegal instruction on armv5 processor,
,Change instructions when a panic happens,
,Panic after POST /rest/system/reset,
,"Tired about hitting ""Override changes""",
,POST rest/config Forbidden (403) when using HTTP GUI,
,Folder no longer stopped on error,
,When I want to remove a remote machine it returns to reboot of syncthing.,
,[v0.12] panic: runtime error: integer divide by zero,
,"""directory not empty"" (When internet goes down?)",
,Improvements to Syncthing device management,
,Is there any plans to add character escaping in ignore patterns in windows?,
,A way to really sync ignore patterns,
,Update to the new prometheus client API,
,.net,
,Virtual machine clone contains duplicate device ID and there is no well-documented fix,
,Expired certificate warning during update,
,TypeError: Cannot read property 'SYN_LANG' of null (GUI),
,"Building from git, get offered an ""Upgrade"" button to downgrade to latest tag.",
,Ask for confirmation before reverting/overriding a folder,
,Prevent constant sync of the file user continuously works with.,
,Test,
,"panic ""Snapshot(): database is closed"" on start after wiping database",
,multi-user world with server storage,
,memory use,
,Allow setting http subdirectory for web UI,
,fatal error: concurrent map read and map write,
,ST not able to re-use existing temp data from another ST instance,
,Add a option in folders that can explain what a folder it is.,
,blank settings,
,Sharing directory request,
,Partial Sync with BitTorrent folder and inotify,
,Scan on absolute path creates incorrect absolute duplicate file infos,
,Use BIP39 to represent device IDs as a 24 word list,
,TCP port 0 is announced in the LAN beacon,
,How to make it work on CentOS?,
,Wrong usage help regarding home path,
,"Improve device status for ""unused"" devices",
,Global Announcement after Disabling Option,
,Last Scan in WebUI displayed in UTC,
,KCP connection attempts block the connection service,
,"[ENHANCEMENT] Sync ""Share With Devices"" Settings",
,Sync-conflict on all files in all synced folders after automatic update,
,"License issue, incompatible with secondary licenses",
,"""folder path missing"" after network share is offline for a few minutes",
,Show data remaining to be synced for remote devices,
,"""Auto accept folders"" doesn't work, deadlocks.",
,Problem updating v0.9.0 to v0.9.1 on Raspberry Pi,
,Consider always running the monitor process,
,Deadlock on folder unsubscribe,
,Initial index exchange longer than ping timeout => No sync,
,Web UI JS error due to missing folder attribute in global change list,
,GUI theme not changing on WebKit-based/like browsers,
,SyncThing Protocol Definition link on syncthing.net is broken,
,Relay connecting is broken (1.2.1-rc.1),
,No event exposed for remote device start/stop syncing,
,can not delete repository,
,"Should warn about multiple folders with same path, nested folder paths",
,"Syncthing don't remove the pull request sync tmp when ""no space left on device""",
,Keep .stversions in sync on all machines,
,lib/model: Filter out invalid symlinks on windows,
,Folder isn't making progress,
,Three way network - two nodes failing to connect,
,panic just after initial scan of 16GB 100K+ item repository,
,Switch to HTTPS causes APT to fail,
,puller: Stale .syncthing.tmp files left behind,
,Folder created in Android fail to sync,
,Files with invalid file names should fail louder,
,Support running syncthing Docker image as non-root user,
,Ignore Patterns ignored,
,Override changes shows very often,
,Sharing the first folder to an untrusted device on an established connection sends plain-text,
,Index reset should result in conflicts to resolve,
,Relay pool server permanent relays incorrect handling,
,cmd/stdiscosrv: Should not allow localhost addresses,
,Stuck at 0%,
,Cannot connect computer with mobile Phone,
,Parent directories of unignored files keep being included and immediately ignored again,
,TestInternalScan fails on OpenBSD,
,OPen leveldb failed IO error: /XX/XX/XX Invalid argument,
,Skip temporary file creation if lacking permissions,
,v0.14.33 macOS binary is not signed properly (adhoc sig?),
,Changing BW limits should not involve a restart,
,8 files will not sync,
,suggestion: open ignore patterns directly from web gui,
,feature: new global change event: move/rename,
,"KCP ""resolved external address"" log spam",
,Many many index.html.N files created in my home directory,
,Files on deduplicated NTFS volumes are ignored by scanner,
