rating,time,software_type,author,country_id,language,content,url,version,Sentiment(From Appbot),review,,,,
5,2022-06-01T02:35:07.000Z,google_play,Shudman C,134,en,"A bit slow at resolving other nodes at times, the UI doesn't show the most 
recent info half the time — but it's reliable when it comes to keeping 
files in sync.",https://appbot.co/apps/1392427-syncthing/reviews/2852886409,None,mixed,Doesn't connect,,,It doesn't always start when plugged into AC power when set to only run on AC for battery savings.,review+N5:N13
1,2022-05-30T02:10:55.000Z,google_play,Namor,134,en,"R/W folder is ""out of sync"" and just sits there and does nothing.",https://appbot.co/apps/1392427-syncthing/reviews/2852886416,None,negative,Extreme power usage for no reason has drained my battery twice this week alone. Honestly a non-starter at this point...,,,"Started freezing and crashing immediately while trying to synchronize a few GiB over WiFi. Finally deleted several GiB from the source thanks to lousy defaults, poor UI, and general unreliability. Don't use for anything at all valuable until you're sure all your settings are perfect and everything is backed up twice over.",
2,2022-05-30T00:54:55.000Z,google_play,Francesco Celadini,145,it,"Bug Motorola con Android 12 indipendente dalle impostazioni alla seconda o terza apertura dell'app appare l'avviso ""syncthing è disabilitato""",https://appbot.co/apps/1392427-syncthing/reviews/2852896118,None,negative,Why do you need my precise location???,,,Version 18.3 keeps crashing. Fix?,
4,2022-05-27T07:08:40.000Z,google_play,Max Azzor,145,it,"A volte (raramente) sullo smartphone si blocca e non si avvia (accade solo sullo smartphone e non sul tablet). Comunque il servizio è molto comodo, efficiente ed efficace. Unica nota è che l'interfaccia web ha molte più impostazioni ed informazioni a disposizione.",https://appbot.co/apps/1392427-syncthing/reviews/2852896120,None,positive,"Used to work well. Has android 12 broken it? When trying to sync photos from my Pixel 6pro to Pixel 2, when choosing the photos folder on the 6Pro and touching the toggle switch for the Pixel 2, the request to setup a folder to match on the Pixel 2 is not received by the Pixel 2. It's works the other way round, but that's not what I need.",,,,
5,2022-05-26T17:27:22.000Z,google_play,Geoffrey Galagaran,134,en,I wish I can sync my life together,https://appbot.co/apps/1392427-syncthing/reviews/2852886419,None,positive,"Used to work very well, now it doesn't work at all. 2021-Oct: stuck ""Syncthing is taking very long to load. Use the logs to check for any errors. Clicked ""Open Log"" and the logs are empty. Watched it eat more ram over five minutes while it was still ""loading."" Tried rebooting my phone, tried re-installing Syncthing. I'm sad that I can't use Syncthing anymore.",,,"I was only looking for a way to send a folder from one device to another. Looking for options I stumble upon this app. I thought it will easily sync both my device but I soon as I open it, I have no idea what to do. Checked out some tutorials but it doesn't seem to connect with my other device. Overall, this app is for advance users. UI is clean & easy to navigate but everything else is not newbie friendly, so I'll pass on this one.",
5,2022-05-26T05:29:06.000Z,google_play,bone burner,134,en,"SYNCTHING PLATFORMS= GO, WINDOWS, macOS, LINUX, ANDROID, BSD & SOLARIS. FEATURES= - DISTRIBUTED P2P SYNC -AUTOMATIC NAT TRAVERSAL -ENCRYPTION - CUSTOM TOPOLOGY (STAR, FULL MESH, MIXED), ONLY CLIENT NEEDED= YES",https://appbot.co/apps/1392427-syncthing/reviews/2852886422,None,mixed,I love th desktop version but the app keeps stopping.,,,"Can't fathom where the heck to get a 'device id' for a server directory. Very hard to find help, not well structured.",
3,2022-05-23T15:41:24.000Z,google_play,Filippo Di Lascia,145,it,L'app è favolosa ma da un po' di tempo il battery drain è spaventoso!! E nonostante ciò spesso bisogna aprirla per avviare la sincronizzazione,https://appbot.co/apps/1392427-syncthing/reviews/2852896122,None,negative,"Does not sync, never seen such a user unfriendly app",,,Doesn't connect,
5,2022-05-16T20:52:11.000Z,google_play,Matthias Bendewald,139,de,"Etwas unintuitive am Anfang, funktioniert aber gut",https://appbot.co/apps/1392427-syncthing/reviews/2852896489,None,neutral,"Bad, why does it not allow write access to an androids sd card?",,,Extreme power usage for no reason has drained my battery twice this week alone. Honestly a non-starter at this point...,
5,2022-05-16T08:00:12.000Z,google_play,Detlef Tente,139,en,Many thanks!!,https://appbot.co/apps/1392427-syncthing/reviews/2852896491,None,positive,"After restart, username password resets back to default like syncthing, which is very bad & annoying. So make it to remember like in pc & mac.",,,Why do you need my precise location???,
5,2022-05-10T20:14:26.000Z,google_play,John Smith,134,en,Amazing! Great software!,https://appbot.co/apps/1392427-syncthing/reviews/2852886433,None,positive,Couldn't get it to work syncing a tiny text file with Ubuntu.... It kept getting stuck on 89% and creating an empty file. Can't trust it if it's so wobbly straight out the gate!,,,"Used to work well. Has android 12 broken it? When trying to sync photos from my Pixel 6pro to Pixel 2, when choosing the photos folder on the 6Pro and touching the toggle switch for the Pixel 2, the request to setup a folder to match on the Pixel 2 is not received by the Pixel 2. It's works the other way round, but that's not what I need.",
2,2022-05-09T14:37:50.000Z,google_play,Brian Chase,134,en,The only way I can get it to sync is to restart the daemon,https://appbot.co/apps/1392427-syncthing/reviews/2852886440,None,negative,"recording to a flash drive on non-rooted devices does not work. this is not an android problem, it is specifically so made by the developer. the program is useless. the author removes negative reviews",,,"Used to work very well, now it doesn't work at all. 2021-Oct: stuck ""Syncthing is taking very long to load. Use the logs to check for any errors. Clicked ""Open Log"" and the logs are empty. Watched it eat more ram over five minutes while it was still ""loading."" Tried rebooting my phone, tried re-installing Syncthing. I'm sad that I can't use Syncthing anymore.",
5,2022-05-08T18:02:50.000Z,google_play,Torben Immisch,132,en,Nice sync tool,https://appbot.co/apps/1392427-syncthing/reviews/2852896445,None,positive,Was hoping to not have to go the linux route to get this on a chromebook.,,,I love th desktop version but the app keeps stopping.,
4,2022-05-05T10:54:04.000Z,google_play,Daniel TJH,134,en,Keep having out of sync message on android. Both android and pc is on. struck at 56% 8 gb for days. pls help,https://appbot.co/apps/1392427-syncthing/reviews/2852886442,None,mixed,It looks very interesting but it's too much difficult,,,"Does not sync, never seen such a user unfriendly app",
5,2022-05-04T13:47:02.000Z,google_play,LDCV,139,en,"Works as intended, that's all I need",https://appbot.co/apps/1392427-syncthing/reviews/2852896493,None,positive,"Might be a good app. But it says it will not even start when power save modus is on, which is default on my phone because it's way fast enough...",,,"Super, merci !",
5,2022-04-30T14:29:19.000Z,google_play,joyan fernandes,134,en,So far so good,https://appbot.co/apps/1392427-syncthing/reviews/2852886450,None,positive,"Painful, a real pain to get it to work but took hours of fiddling. Upgraded laptop and it never worked again. Given up. Wouldn't waste my time again.",,,"Bad, why does it not allow write access to an androids sd card?",
5,2022-04-29T21:38:35.000Z,google_play,A Google user,134,en,"After 3 years I tried it again. Now it works very well, at great speed, no problem with it in the last 2 weeks. Very useful and better (if it keeps working like that) than Resilio Sync because it has better speed and has no bug in renaming files. Thanks to the developers!",https://appbot.co/apps/1392427-syncthing/reviews/2852886452,None,neutral,Doesn't work for me. Changes made on my server are transferred to my Android 11 device without issues. But Changes made on my android doesn't transfer to my server. Besides that my android device gets extremely hot while it tries to sync with my server. So this makes this app useless. Since if I make a change on the phone side it stays in sync transfer status forever and using way too much processor power draining my battery. This issue was already mentioned on the synthetic forum.,,,"After restart, username password resets back to default like syncthing, which is very bad & annoying. So make it to remember like in pc & mac.",
5,2022-04-27T00:13:44.000Z,google_play,WAYMAN ROSS,134,en,GREAT INDEED !! ! !! 26/4/22 WAYMAN,https://appbot.co/apps/1392427-syncthing/reviews/2852886465,None,positive,All app have write access in sd card root folder Except the sycthing. Phone/OS : Poco MIUI. -----PLEASE FIX THIS ---------------in other apps there will be apopup for the permission page but it is not asking in this app,,,Couldn't get it to work syncing a tiny text file with Ubuntu.... It kept getting stuck on 89% and creating an empty file. Can't trust it if it's so wobbly straight out the gate!,
5,2022-04-26T22:25:40.000Z,google_play,Shivansu,134,en,Most useful app on the Play Store rn. My favourite OpenSource app.,https://appbot.co/apps/1392427-syncthing/reviews/2852886468,None,positive,Doesnt sync sdcard,,,Ich habe es vor Jahren schon mal versucht. Keine Ahnung wie man die APP einrichtet. Ist wohl für Nerds entwickelt...,
5,2022-04-23T03:45:25.000Z,google_play,Garry Huang,129,ja,好用,https://appbot.co/apps/1392427-syncthing/reviews/2852895906,None,positive,Impossible d'ajouter mon PC dans l'app mobile. Sur le pc synctrayzor ajoute le mobile mais le déconnecte immédiatement comme 'inutilisé'. Aucune synchronisation entre les classeurs définis (même id). L'accès au mobile par ftp depuis le pc est beaucoup plus facile et fonctionne avec plusieurs applis (Winscp permet l'automatisation).,,,"recording to a flash drive on non-rooted devices does not work. this is not an android problem, it is specifically so made by the developer. the program is useless. the author removes negative reviews",
5,2022-04-13T15:35:25.000Z,google_play,G & G,145,it,"La sua icona, assolutamente descrittiva, sintetizza in un'immagine quel che può fare, e lo fa bene.... Unica caratteristica incomprensibile: la cartella con dicitura ""inattivo"", quando - a guardare la barra laterale - qualche upload è attualmente in corso",https://appbot.co/apps/1392427-syncthing/reviews/2852896125,None,mixed,Works but destroys battery. Going to try the fork instead that is on the store,,,Was hoping to not have to go the linux route to get this on a chromebook.,
5,2022-04-11T12:13:29.000Z,google_play,Boris Brodski,139,en,Top synching and backup app!,https://appbot.co/apps/1392427-syncthing/reviews/2852896497,None,positive,How about letting me sync to my SD card without having to connect to wifi or Mobil data. Garbage.,,,It looks very interesting but it's too much difficult,
5,2022-04-10T16:53:48.000Z,google_play,Ruel,134,en,"thanks so much again. just want to say this works great when syncing from my oneplus nord n10 to my chromebook (syncthing on both) and to my macbook (syncthing from website) and to my iphone (mobius syncthing). best if keep simple -- like one folder to sync. i tried adding more folders to sync, but syncthing kept stopping at different %s. so, you cannot do too much??? oh well. so, for my purposes, got to keep it simple to only one folder (although that can have a subfolder). thx!",https://appbot.co/apps/1392427-syncthing/reviews/2852886475,None,neutral,completely and utterly confusing ... installed ... expect 1 nominate files/folders to sync 2 nominate sync location/device 3 set sync type/frequency 4 go got ... still not sure what the f@#$ i got ... basically appears to be useless for what it's intended to do ... can't be i know but interface is so bad it might as well be useless,,,"Might be a good app. But it says it will not even start when power save modus is on, which is default on my phone because it's way fast enough...",
5,2022-04-07T03:45:33.000Z,google_play,N *,134,en,Takes some setting up. Still has some bugs. Mostly though it works very well. It is open-source.,https://appbot.co/apps/1392427-syncthing/reviews/2852886477,None,positive,crazy amount of battery usage even when disabled,,,"Painful, a real pain to get it to work but took hours of fiddling. Upgraded laptop and it never worked again. Given up. Wouldn't waste my time again.",
3,2022-04-06T02:35:57.000Z,google_play,彙康施,305,en,Cannot even config without network!? I'm not sure how this is a good idea.,https://appbot.co/apps/1392427-syncthing/reviews/2852896253,None,negative,"This app is sweet. I love the syncthing service. But the android app could be better. The biggest issue is, data can be sent from another device only to this 1 folder in Android (Android>data>com.nutomic.....>files). It'd be a lot cooler if both ways transfer and sync were possible in any location of our choice. Also, it'd b better if caldav & cardav sync was implemented. Ik you guys won't be doing it, still. Finally. It'd be convenient if a independent sync toggle were there on the quick menu.",,,Doesn't work for me. Changes made on my server are transferred to my Android 11 device without issues. But Changes made on my android doesn't transfer to my server. Besides that my android device gets extremely hot while it tries to sync with my server. So this makes this app useless. Since if I make a change on the phone side it stays in sync transfer status forever and using way too much processor power draining my battery. This issue was already mentioned on the synthetic forum.,
1,2022-04-03T08:33:02.000Z,google_play,Oli Cansdale,134,en,Not syncing files. It says 900MB/900MB done but the folder is 200GB...,https://appbot.co/apps/1392427-syncthing/reviews/2852886483,None,negative,"Trash app, one single folder shared with 120 MB and 50 files - drained the battery to 30% by just having it open.",,,All app have write access in sd card root folder Except the sycthing. Phone/OS : Poco MIUI. -----PLEASE FIX THIS ---------------in other apps there will be apopup for the permission page but it is not asking in this app,
1,2022-04-03T05:49:13.000Z,google_play,Klaus Forster,134,en,"Does show ""Loading ..."" on a Chromebook since hours after installation. I am not even able to configure a cloud share.",https://appbot.co/apps/1392427-syncthing/reviews/2852886487,None,negative,"Highly insecure. Using Netguard, as soon as I turned Wifi access on, a bunch of IP addresses flooded into the access attempt section.",,,Doesnt sync sdcard,
5,2022-04-02T23:37:37.000Z,google_play,Dennis,134,en,"Fantastico, works flawlessly",https://appbot.co/apps/1392427-syncthing/reviews/2852886490,None,positive,Into double-digit incidents of app erasing edits in most-recently updated file. Can no longer take the chance of using.,,,Impossible d'ajouter mon PC dans l'app mobile. Sur le pc synctrayzor ajoute le mobile mais le déconnecte immédiatement comme 'inutilisé'. Aucune synchronisation entre les classeurs définis (même id). L'accès au mobile par ftp depuis le pc est beaucoup plus facile et fonctionne avec plusieurs applis (Winscp permet l'automatisation).,
1,2022-04-02T01:26:34.000Z,google_play,Mike Hare,134,en,No longer works with large files on Android.,https://appbot.co/apps/1392427-syncthing/reviews/2852886494,None,negative,"Inutilisable avec une carte sd (Android 8.0), l'application ne sait pas demander les droits d'écriture...",,,Ho problemi di battery drain gravi.,
5,2022-03-30T21:15:34.000Z,google_play,Abdulrahman Babusail,134,en,Excellent!,https://appbot.co/apps/1392427-syncthing/reviews/2852886496,None,positive,No external sdcard access.Worthless.,,,Works but destroys battery. Going to try the fork instead that is on the store,
3,2022-03-29T23:24:49.000Z,google_play,Billy Tarter,134,en,"Sadly, this is nonfunctional on ASUS Chromebox 4, Intel Core i5 with 8GB RAM (2021 model). Fails to load, just keeps spinning and spinning...",https://appbot.co/apps/1392427-syncthing/reviews/2852886498,None,negative,Extremely hard to use,,,How about letting me sync to my SD card without having to connect to wifi or Mobil data. Garbage.,
5,2022-03-23T04:02:49.000Z,google_play,Scott Hansen,134,en,"Has been working flawlessly for years syncing phones, laptops and servers!",https://appbot.co/apps/1392427-syncthing/reviews/2852886502,None,positive,Why the hell do I have to enable all the sync and power settings so that I can check setting. Good God this is so basic even windows has it figured out. I remembered now why I started using syncthing-fork. It wasn't stupid. Unfortunately it hasn't been updated to Android 11 yet.,,,completely and utterly confusing ... installed ... expect 1 nominate files/folders to sync 2 nominate sync location/device 3 set sync type/frequency 4 go got ... still not sure what the f@#$ i got ... basically appears to be useless for what it's intended to do ... can't be i know but interface is so bad it might as well be useless,
5,2022-03-20T19:14:25.000Z,google_play,H.K Wigmostad,134,en,excellent,https://appbot.co/apps/1392427-syncthing/reviews/2852886505,None,positive,It is hard to use. And especially why does folder names turn to white? They create so much confusion.,,,crazy amount of battery usage even when disabled,
5,2022-03-20T13:49:16.000Z,google_play,Paul Wild,134,en,Great app. Works well to sync files between your devices. Be sure to check out their website so you can get it on other operating systems.,https://appbot.co/apps/1392427-syncthing/reviews/2852886509,None,positive,"works or not in unpredictable ways. disconnect while transfering, sometimes refuses to start asking for more permissions, sometimes does not recognize other computers, i spent hours in frustration and finally found countless people having similar issues with it, and a development team hell bent on silencing critics rather than fixing issues. Don't waste your time.",,,"This app is sweet. I love the syncthing service. But the android app could be better. The biggest issue is, data can be sent from another device only to this 1 folder in Android (Android>data>com.nutomic.....>files). It'd be a lot cooler if both ways transfer and sync were possible in any location of our choice. Also, it'd b better if caldav & cardav sync was implemented. Ik you guys won't be doing it, still. Finally. It'd be convenient if a independent sync toggle were there on the quick menu.",
4,2022-03-15T01:07:20.000Z,google_play,gdeveloper3,134,en,"Works great, a bit hard to manuever thou.",https://appbot.co/apps/1392427-syncthing/reviews/2852886511,None,positive,I just wanted to rsync photos to my Linux box but it won't. Seems like I have to install something on the pc. It's got ssh. That should suffice.,,,Non siscarica,
4,2022-03-14T21:34:12.000Z,google_play,Ahmad Saeid,134,en,"Good app. Would be great if there was an option to run the app or the syncing during a specified time period, when computer is on for example, to reduce the significant battery drain this app causes. Using automate to kill the app at specific time requires root access, otherwise it would've been perfect.",https://appbot.co/apps/1392427-syncthing/reviews/2852886513,None,mixed,It doesn't work. Try to open it and it says that it's disabled. Really? HTF do u ENABLE it? Deleting it.,,,"Trash app, one single folder shared with 120 MB and 50 files - drained the battery to 30% by just having it open.",
4,2022-03-12T00:24:48.000Z,google_play,Mathis Koblin,134,en,So far great. Only seems to use quite a bit of battery when I leave it running on mobile data. It would be great if I could disable the notification and run it scheduled.,https://appbot.co/apps/1392427-syncthing/reviews/2852886515,None,neutral,Still can not write to ext sd card. Beside these major issues it is working very well. Maybe you can spend some time on this feature please.,,,"Highly insecure. Using Netguard, as soon as I turned Wifi access on, a bunch of IP addresses flooded into the access attempt section.",
4,2022-03-08T12:31:14.000Z,google_play,AX,134,en,"Update 1.19.1 somehow broke the ability to display the folders with the most file explorers. Google Files, My files from Samsung, CX Explorer Otherwise it's a great app, sync is fast and reliable",https://appbot.co/apps/1392427-syncthing/reviews/2852886518,None,neutral,"After installing the app, it reported it was disabled. With no information on the error message why the whole app was disabled, or what to do.",,,Into double-digit incidents of app erasing edits in most-recently updated file. Can no longer take the chance of using.,
5,2022-03-08T06:41:52.000Z,google_play,Gavin Cole,134,en,Fantastic. I have Syncthing on multiple devices and computers. When I connect to my home WiFi it automatically syncs my camera roll.,https://appbot.co/apps/1392427-syncthing/reviews/2852886519,None,neutral,Can not write to SD card. Constantly says it is disabled and refuses to run.,,,"Inutilisable avec une carte sd (Android 8.0), l'application ne sait pas demander les droits d'écriture...",
5,2022-03-07T13:17:21.000Z,google_play,Exhilaratingly Awesome,134,en,One of a kind app. Thank you and keep up the good work!,https://appbot.co/apps/1392427-syncthing/reviews/2852886530,None,positive,"Syncthing works great under both Windows and LINUX but the Android version seems not ready for prime time: Syncing to/from SD card does not work and it is very hard to figure out what is going on in case of sync problems. Once external storage is supported I 'll be happy to try it again. For now, I need a different solution.",,,No external sdcard access.Worthless.,
5,2022-03-06T05:55:36.000Z,google_play,Gregory Punshon,134,en,"Very flexible, solid.",https://appbot.co/apps/1392427-syncthing/reviews/2852886531,None,positive,"Stopped syncing new files from PC node after recent update, but correctly removes files if they removed from source.",,,Extremely hard to use,
5,2022-03-03T05:49:24.000Z,google_play,Torsten Flottmann,139,de,"Perfekt, nach kurzer Einarbeitung.",https://appbot.co/apps/1392427-syncthing/reviews/2852896503,None,positive,,,,Why the hell do I have to enable all the sync and power settings so that I can check setting. Good God this is so basic even windows has it figured out. I remembered now why I started using syncthing-fork. It wasn't stupid. Unfortunately it hasn't been updated to Android 11 yet.,
5,2022-02-26T07:25:19.000Z,google_play,Shubhamkar Ayare,134,en,"Did not work on Lineage OS 14 (unofficial) [SM-T705]. Otherwise, Neat, Free and Private on Official Marshmallow [SM-T705], as well as other devices ever since!",https://appbot.co/apps/1392427-syncthing/reviews/2852886628,None,neutral,,,,It is hard to use. And especially why does folder names turn to white? They create so much confusion.,
5,2022-02-24T04:37:16.000Z,google_play,Retnuh 1,134,zh,"如果这个软件可以添加蓝牙网络和无线电网络同步文件 , 不依赖互联网同步文件 , 那就更好了",https://appbot.co/apps/1392427-syncthing/reviews/2852886630,None,positive,,,,"works or not in unpredictable ways. disconnect while transfering, sometimes refuses to start asking for more permissions, sometimes does not recognize other computers, i spent hours in frustration and finally found countless people having similar issues with it, and a development team hell bent on silencing critics rather than fixing issues. Don't waste your time.",
5,2022-02-22T03:21:44.000Z,google_play,Andres Sanchez,134,en,Excelente,https://appbot.co/apps/1392427-syncthing/reviews/2852886632,None,positive,,,,trop peu d'infos sur le fonctionnement.. ergonomie basique,
3,2022-02-19T15:58:51.000Z,google_play,Ben Milford,134,en,It doesn't always start when plugged into AC power when set to only run on AC for battery savings.,https://appbot.co/apps/1392427-syncthing/reviews/2852886635,None,negative,,,,I just wanted to rsync photos to my Linux box but it won't. Seems like I have to install something on the pc. It's got ssh. That should suffice.,
5,2022-02-18T10:55:07.000Z,google_play,Roman Popov,134,en,Excellent app! I was able to setup automatic synchronization of my music collection to my phone. Previously it was very painful process of copying everything manually.,https://appbot.co/apps/1392427-syncthing/reviews/2852886637,None,mixed,,,,"Toutes mes modifications effacées le paramétrage étant bloqué sur ""recevoir seulement"" sur la machine où je travaillais !!!! (malgré mes tentatives de modifier le paramétrage)",
5,2022-02-11T11:18:46.000Z,google_play,Brandon Gabbard,134,en,Best universal sync option available,https://appbot.co/apps/1392427-syncthing/reviews/2852886638,None,neutral,,,,It doesn't work. Try to open it and it says that it's disabled. Really? HTF do u ENABLE it? Deleting it.,
5,2022-02-08T17:51:12.000Z,google_play,Ritobrata Ghosh,134,en,"Absolutely fantastic. This app has no complications, no need of account creation, and none of your data is ever stored in company server. I don't know what more can be asked from an app! I am absolutely delighted to use Syncthing, and will continue to do so as long as possible. Great work by devs, and kudos to them for not tanking it by being greedy and selling users' data!",https://appbot.co/apps/1392427-syncthing/reviews/2852886651,None,neutral,,,,Can not write to SD card. Constantly says it is disabled and refuses to run.,
5,2022-02-08T12:26:59.000Z,google_play,Jonathan Mesiano-Crookston,134,en,"Syncthing Silk just killed from the market, so moved back to Felix's great open source. No major issues",https://appbot.co/apps/1392427-syncthing/reviews/2852886653,None,neutral,,,,"Sul mio S6 Edge plus non parte neanche, sul tablet Galaxy dice che si è sincronizzato con il pc ma di fatto non trasferisce neanche un file. Ho scritto una mail per segnalare il problema, all'indirizzo fornito da Google play, ma il recipient non è configurato per accettare posta!!!!",
5,2022-02-08T10:28:53.000Z,google_play,Pete Warby,134,en,Brilliant. I back up my photos and documents automatically whatever I am and have built a setup where it syncs across sites for me and my brother so we have off site storage across two sites. It's just brilliant and works 100% of the time without any fiddling,https://appbot.co/apps/1392427-syncthing/reviews/2852886658,None,positive,,,,Still can not write to ext sd card. Beside these major issues it is working very well. Maybe you can spend some time on this feature please.,
5,2022-02-08T08:01:45.000Z,google_play,Le Tiger,139,lb,Funzt,https://appbot.co/apps/1392427-syncthing/reviews/2852896507,None,positive,,,,Une usine à gaz rapidement désinstallée est remplacé par synk me,
1,2022-02-07T21:29:57.000Z,google_play,Stéphane Martin,138,fr,"La dernière mise à jour a bloqué toute synchro tant qu'on ne faisait pas une reconstruction obligatoire de la base de donnée. Je n'ai eu aucune alerte comme quoi il fallait le faire et ne l'ai remarqué que parce qu' j'ai vu que mes fichiers n'étaient pas à jour et ait lancé l'appli sur Android. Le bouton de reconstruction plantait l'appli et ne faisait rien. J'ai été obligé de supprimer les données de l'appli, recréer entièrement tous les dossiers de synchronisation, attendre que tout se resynchronise depuis le serveur, puis refaire manuellement les modifications de fichiers depuis la dernière synchronisation fonctionnelle. C'est une catastrophe en terme de fiabilité si les mises à jour risquent de planter la synchro sans prévenir.",https://appbot.co/apps/1392427-syncthing/reviews/2852895542,None,negative,,,,So retarded! It synced my entire phone with my laptop instead of syncing one folder from my laptop to my phone!,
5,2022-02-07T15:38:44.000Z,google_play,Rob Nelson,134,en,"Effing awesome. Once you install this app (and the corresponding server version), it almost takes care of itself. I wouldn't recommend this without a good foundation of knowledge of networks/networking. Also need to know something about servers and whatever server you're going to throw this on! Otherwise, magnificent app!",https://appbot.co/apps/1392427-syncthing/reviews/2852886663,None,neutral,,,,"After installing the app, it reported it was disabled. With no information on the error message why the whole app was disabled, or what to do.",
5,2022-02-06T00:28:20.000Z,google_play,Fab No,139,de,"Eine der sehr wenigen, für mich mittlerweile essentiellen Apps. Super!",https://appbot.co/apps/1392427-syncthing/reviews/2852896509,None,positive,,,,"langsam, und kann auf sd karte nicht zugreifen. daher sinnlos",
